statistic	pval	effect_equal_donor	effect_pooled_counts	n_features	n_celltypes	n_donors	min_donors_per_celltype	max_donors_per_celltype	gene	qval	sig
0.0012091330835582	0.0001	0.2028423964594488	0.1847572362278244	25	7	18	7	18	ENSG00000000419	0.0006010844748858	True
0.003852184135857	0.0001	0.3818644492917607	0.4154234654234654	28	7	18	4	18	ENSG00000001630	0.0006010844748858	True
7.4069934828228e-05	0.0001	0.0388692611332469	0.0536970609368594	5	7	18	4	18	ENSG00000002330	0.0006010844748858	False
0.0010355308726092	0.0001	0.123255826116119	0.0848907744712097	14	7	18	5	18	ENSG00000002549	0.0006010844748858	False
0.0009987498877365	0.0001	0.2229062521264222	0.2273746990753118	29	7	19	9	19	ENSG00000002586	0.0006010844748858	True
0.0005012973352239	0.0001	0.1237761335128604	0.1867775595856917	24	7	19	4	19	ENSG00000002834	0.0006010844748858	False
0.0015040265026267	0.0001	0.2805006854863683	0.3130642716917633	16	7	19	6	19	ENSG00000003056	0.0006010844748858	True
0.0058028601733345	0.0001	0.3870080851252141	0.3761808492972053	70	7	19	12	19	ENSG00000003402	0.0006010844748858	True
0.022912266772865	0.0001	0.3851594036769973	0.3622596812789276	30	7	18	5	18	ENSG00000004455	0.0006010844748858	True
0.0125530611952681	0.0001	0.2994017550262423	0.3065406209511012	13	6	13	4	9	ENSG00000004468	0.0006010844748858	True
0.0015027053432909	0.0001	0.1709104252727381	0.1852656647263934	15	3	17	7	17	ENSG00000005249	0.0006010844748858	False
0.0007698519458741	0.0001	0.2147911021612925	0.2544842303902394	96	7	19	13	19	ENSG00000005483	0.0006010844748858	True
0.0079340612418309	0.0001	0.4695276689754977	0.3839235070091564	44	7	18	5	18	ENSG00000005893	0.0006010844748858	True
0.0070288420329387	0.0001	0.3452364893700827	0.2454370002757099	31	6	16	3	15	ENSG00000006125	0.0006010844748858	True
0.0016242007550249	0.0001	0.1635535921935567	0.1498771498771498	17	7	17	4	16	ENSG00000006451	0.0006010844748858	False
0.0313674957688719	0.0001	0.5564725826996413	0.5467571644042232	33	5	10	4	9	ENSG00000006607	0.0006010844748858	True
0.0012694612904903	0.0001	0.1626399430482779	0.3637563923814892	52	7	19	7	19	ENSG00000007168	0.0006010844748858	False
0.0010900575223516	0.0001	0.0977775444346334	0.0691036395686721	8	5	17	4	16	ENSG00000007541	0.0006010844748858	False
0.0042646008860145	0.0001	0.3190301644012684	0.3842769984820957	40	7	19	5	19	ENSG00000008083	0.0006010844748858	True
0.0099517750583252	0.0001	0.578644359832664	0.5842243641260092	28	3	13	4	13	ENSG00000008441	0.0006010844748858	True
0.0016759654307421	0.0001	0.1955610583342857	0.2140412295999375	32	7	19	4	19	ENSG00000008513	0.0006010844748858	False
0.0007765585394771	0.0001	0.1914614362558948	0.173292896227288	50	7	19	11	19	ENSG00000008952	0.0006010844748858	False
6.287520020899409e-07	0.0001	0.0097501182566729	0.0032047768025286	22	7	19	14	19	ENSG00000008988	0.0006010844748858	False
0.0020221116723765	0.0001	0.1964693546013549	0.2515938964414671	32	7	19	9	19	ENSG00000009307	0.0006010844748858	False
0.0009147664204446	0.0001	0.1189926344099859	0.1256078072369712	7	7	19	5	18	ENSG00000009790	0.0006010844748858	False
