run	study	species	platform	identity_group	facts_path	facts_exists	facts_rows	sampled_rows	admitted_rows	non_null_3p	non_null_5p	polyasite_tier_values	polya_values	polya_conflict_values	classification_values	assignment_type_values	reference_build_values	count_unit_values	status
SRR30639543	GSE276974	human	ONT	barcode_resolved	/gpfs/home/fuzc/Seq_Database/scLong/results/science_first/phase1_resolved_reads_v4/SRR30639543/resolved_read_facts.parquet	False													MISSING_FACTS
SRR30639544	GSE276974	human	ONT	barcode_resolved	/gpfs/home/fuzc/Seq_Database/scLong/results/science_first/phase1_resolved_reads_v4/SRR30639544/resolved_read_facts.parquet	False													MISSING_FACTS
SRR30639545	GSE276974	human	ONT	barcode_resolved	/gpfs/home/fuzc/Seq_Database/scLong/results/science_first/phase1_resolved_reads_v4/SRR30639545/resolved_read_facts.parquet	True	197232595	200000	90572	95299	95299	"{""E1_POLYA_CONSISTENT_3P"": 90136, ""__NULL__"": 4701, ""E0_OBSERVED_ONLY"": 5163}"	"{""True"": 90139, ""__NULL__"": 9140, ""False"": 721}"	"{""False"": 100000}"	"{""FSM"": 75456, ""ISM"": 10300, ""NNC"": 3804, ""__NULL__"": 4701, ""INTERGENIC"": 2843, ""NIC"": 259, ""CLASSIFICATION_AMBIGUOUS"": 47, ""GENIC"": 501, ""CLASSIFICATION_UNKNOWN"": 27, ""ANTISENSE"": 306, ""GENIC_INTRON"": 1689, ""MONO_EXON_MATCH"": 67}"	"{""unique"": 76877, ""ambiguous"": 8928, ""inconsistent_non_intronic"": 2516, ""__NULL__"": 3961, ""noninformative"": 5179, ""inconsistent"": 1959, ""unique_minor_difference"": 70, ""inconsistent_ambiguous"": 510}"	"{""GRCh38"": 100000}"	"{""READ"": 100000}"	OK
SRR30639546	GSE276974	human	ONT	barcode_resolved	/gpfs/home/fuzc/Seq_Database/scLong/results/science_first/phase1_resolved_reads_v4/SRR30639546/resolved_read_facts.parquet	False													MISSING_FACTS
SRR30639548	GSE276974	human	ONT	barcode_resolved	/gpfs/home/fuzc/Seq_Database/scLong/results/science_first/phase1_resolved_reads_v4/SRR30639548/resolved_read_facts.parquet	True	218904606	200000	87929	95360	95360	"{""E1_POLYA_CONSISTENT_3P"": 85862, ""E0_OBSERVED_ONLY"": 9498, ""__NULL__"": 4640}"	"{""True"": 85869, ""False"": 5428, ""__NULL__"": 8703}"	"{""False"": 100000}"	"{""NIC"": 4706, ""FSM"": 32565, ""ISM"": 26218, ""NNC"": 20273, ""CLASSIFICATION_AMBIGUOUS"": 814, ""GENIC_INTRON"": 6904, ""GENIC"": 1022, ""__NULL__"": 4640, ""MONO_EXON_MATCH"": 1984, ""ANTISENSE"": 686, ""INTERGENIC"": 5, ""CLASSIFICATION_UNKNOWN"": 183}"	"{""inconsistent"": 5206, ""inconsistent_non_intronic"": 2723, ""unique"": 23170, ""unique_minor_difference"": 2890, ""ambiguous"": 38027, ""inconsistent_ambiguous"": 19281, ""noninformative"": 8641, ""__NULL__"": 61, ""intergenic"": 1}"	"{""GRCh38"": 100000}"	"{""READ"": 100000}"	OK
SRR30639549	GSE276974	human	ONT	barcode_resolved	/gpfs/home/fuzc/Seq_Database/scLong/results/science_first/phase1_resolved_reads_v4/SRR30639549/resolved_read_facts.parquet	False													MISSING_FACTS
SRR30639550	GSE276974	human	ONT	barcode_resolved	/gpfs/home/fuzc/Seq_Database/scLong/results/science_first/phase1_resolved_reads_v4/SRR30639550/resolved_read_facts.parquet	True	4817081	200000	62110	88639	88639	"{""__NULL__"": 11361, ""E0_OBSERVED_ONLY"": 28460, ""E1_POLYA_CONSISTENT_3P"": 60179}"	"{""__NULL__"": 36606, ""True"": 60193, ""False"": 3201}"	"{""False"": 100000}"	"{""__NULL__"": 11361, ""GENIC_INTRON"": 25405, ""ISM"": 20277, ""NIC"": 4106, ""FSM"": 12255, ""GENIC"": 1004, ""INTERGENIC"": 516, ""NNC"": 19647, ""ANTISENSE"": 1138, ""CLASSIFICATION_AMBIGUOUS"": 526, ""CLASSIFICATION_UNKNOWN"": 153, ""MONO_EXON_MATCH"": 3612}"	"{""__NULL__"": 6113, ""noninformative"": 30351, ""ambiguous"": 8302, ""inconsistent"": 8331, ""unique"": 25930, ""intergenic"": 142, ""inconsistent_non_intronic"": 10445, ""unique_minor_difference"": 2805, ""inconsistent_ambiguous"": 7581}"	"{""GRCh38"": 100000}"	"{""READ"": 100000}"	OK
SRR30639551	GSE276974	human	ONT	barcode_resolved	/gpfs/home/fuzc/Seq_Database/scLong/results/science_first/phase1_resolved_reads_v4/SRR30639551/resolved_read_facts.parquet	True	47371186	200000	57989	92936	92936	"{""E0_OBSERVED_ONLY"": 37107, ""E1_POLYA_CONSISTENT_3P"": 55829, ""__NULL__"": 7064}"	"{""__NULL__"": 40273, ""True"": 55863, ""False"": 3864}"	"{""False"": 100000}"	"{""GENIC_INTRON"": 31933, ""NNC"": 23977, ""__NULL__"": 7064, ""NIC"": 2601, ""GENIC"": 956, ""ISM"": 17092, ""INTERGENIC"": 1683, ""FSM"": 6036, ""CLASSIFICATION_UNKNOWN"": 366, ""ANTISENSE"": 2095, ""CLASSIFICATION_AMBIGUOUS"": 6154, ""MONO_EXON_MATCH"": 43}"	"{""noninformative"": 39793, ""inconsistent"": 8907, ""inconsistent_ambiguous"": 13583, ""unique"": 10396, ""inconsistent_non_intronic"": 7234, ""__NULL__"": 238, ""unique_minor_difference"": 599, ""ambiguous"": 19008, ""intergenic"": 242}"	"{""GRCh38"": 100000}"	"{""READ"": 100000}"	OK
SRR30639552	GSE276974	human	ONT	barcode_resolved	/gpfs/home/fuzc/Seq_Database/scLong/results/science_first/phase1_resolved_reads_v4/SRR30639552/resolved_read_facts.parquet	True	216494505	200000	74816	93348	93348	"{""E1_POLYA_CONSISTENT_3P"": 72955, ""__NULL__"": 6652, ""E0_OBSERVED_ONLY"": 20393}"	"{""True"": 72978, ""False"": 3680, ""__NULL__"": 23342}"	"{""False"": 100000}"	"{""CLASSIFICATION_AMBIGUOUS"": 3736, ""__NULL__"": 6652, ""GENIC_INTRON"": 16946, ""FSM"": 3635, ""CLASSIFICATION_UNKNOWN"": 182, ""ISM"": 16934, ""NNC"": 44200, ""ANTISENSE"": 2004, ""GENIC"": 926, ""INTERGENIC"": 682, ""NIC"": 3321, ""MONO_EXON_MATCH"": 782}"	"{""ambiguous"": 9575, ""noninformative"": 21090, ""unique"": 15008, ""inconsistent_non_intronic"": 36036, ""inconsistent_ambiguous"": 5696, ""__NULL__"": 2232, ""inconsistent"": 8934, ""unique_minor_difference"": 1409, ""intergenic"": 20}"	"{""GRCh38"": 100000}"	"{""READ"": 100000}"	OK
SRR30639553	GSE276974	human	ONT	barcode_resolved	/gpfs/home/fuzc/Seq_Database/scLong/results/science_first/phase1_resolved_reads_v4/SRR30639553/resolved_read_facts.parquet	True	139268083	200000	95018	98876	98876	"{""E1_POLYA_CONSISTENT_3P"": 85925, ""E0_OBSERVED_ONLY"": 12951, ""__NULL__"": 1124}"	"{""True"": 85931, ""False"": 9320, ""__NULL__"": 4749}"	"{""False"": 100000}"	"{""NNC"": 71980, ""ISM"": 14861, ""FSM"": 7359, ""GENIC_INTRON"": 3639, ""__NULL__"": 1124, ""NIC"": 119, ""ANTISENSE"": 501, ""GENIC"": 141, ""CLASSIFICATION_UNKNOWN"": 76, ""INTERGENIC"": 9, ""CLASSIFICATION_AMBIGUOUS"": 4, ""MONO_EXON_MATCH"": 187}"	"{""inconsistent_non_intronic"": 70386, ""unique"": 20077, ""inconsistent"": 696, ""noninformative"": 4472, ""ambiguous"": 2536, ""__NULL__"": 277, ""inconsistent_ambiguous"": 1423, ""unique_minor_difference"": 133}"	"{""GRCh38"": 100000}"	"{""READ"": 100000}"	OK
