run	filter	n_common_models	spearman_usage_rho	RA_like_f0	RA_like_filtered	RA_like_delta	RO_like_f0	RO_like_filtered	RO_like_delta
SRR30639543	F1_pas_supported_models	4	1.0	0.07592484989347278	0.21645499723909442	0.14053014734562164	0.0	0.0	0.0
SRR30639543	F2_high_confidence_reference_models	2	0.9999999999999999	0.07592484989347278	0.8691796008869179	0.7932547509934451	0.0	0.0	0.0
SRR30639544	F1_pas_supported_models	4	1.0	0.08431836091410559	0.24276800907543958	0.158449648161334	0.0	0.0	0.0
SRR30639544	F2_high_confidence_reference_models	2	0.9999999999999999	0.08431836091410559	0.8214971209213052	0.7371787600071996	0.0	0.0	0.0
SRR30639545	F1_pas_supported_models	4	1.0	0.06925207756232687	0.19953051643192488	0.130278438869598	0.0	0.0	0.0
SRR30639545	F2_high_confidence_reference_models	2	0.9999999999999999	0.06925207756232687	0.8585858585858586	0.7893337810235317	0.0	0.0	0.0
SRR30639546	F1_pas_supported_models	3	1.0	0.06869948567229978	0.46808510638297873	0.39938562071067896	0.0	0.0	0.0
SRR30639546	F2_high_confidence_reference_models	2	0.9999999999999999	0.06869948567229978	0.82560706401766	0.7569075783453603	0.0	0.0	0.0
SRR30639548	F1_pas_supported_models	5	0.9999999999999999	0.056052379431491536	0.1890145395799677	0.13296216014847617	0.03593101245608432	0.12116316639741519	0.08523215394133087
SRR30639548	F2_high_confidence_reference_models	3	1.0	0.056052379431491536	0.49022346368715086	0.4341710842556593	0.03593101245608432	0.31424581005586594	0.2783147975997816
SRR30639549	F1_pas_supported_models	4	1.0	0.05514265164229202	0.20034843205574912	0.1452057804134571	0.0	0.0	0.0
SRR30639549	F2_high_confidence_reference_models	2	0.9999999999999999	0.05514265164229202	0.9274193548387096	0.8722767031964176	0.0	0.0	0.0
SRR30639551	F1_pas_supported_models	4	1.0	0.09545199326221224	0.22606382978723405	0.1306118365250218	0.0	0.0	0.0
SRR30639551	F2_high_confidence_reference_models	2	0.9999999999999999	0.09545199326221224	0.9497206703910615	0.8542686771288492	0.0	0.0	0.0
SRR30639552	F1_pas_supported_models	5	0.9999999999999999	0.09413098950949815	0.19426565242832067	0.10013466291882252	0.046498440601077405	0.09596255119953188	0.04946411059845448
