run	study	filter	n_positive_models	total_count	n_unmapped_positive_models	unmapped_positive_count	scorable
SRR30639543	GSE276974	F0_all_positive_models	12	5163.0	9	1542.0	True
SRR30639543	GSE276974	F1_pas_supported_models	4	1811.0	9	1542.0	True
SRR30639543	GSE276974	F2_high_confidence_reference_models	2	451.0	9	1542.0	True
SRR30639543	GSE276974	F3_pas_supported_novel_models	0	0	9	1542.0	False
SRR30639544	GSE276974	F0_all_positive_models	12	5076.0	10	1618.0	True
SRR30639544	GSE276974	F1_pas_supported_models	4	1763.0	10	1618.0	True
SRR30639544	GSE276974	F2_high_confidence_reference_models	2	521.0	10	1618.0	True
SRR30639544	GSE276974	F3_pas_supported_novel_models	0	0	10	1618.0	False
SRR30639545	GSE276974	F0_all_positive_models	12	12274.0	8	2786.0	True
SRR30639545	GSE276974	F1_pas_supported_models	4	4260.0	8	2786.0	True
SRR30639545	GSE276974	F2_high_confidence_reference_models	2	990.0	8	2786.0	True
SRR30639545	GSE276974	F3_pas_supported_novel_models	0	0	8	2786.0	False
SRR30639546	GSE276974	F0_all_positive_models	10	5444.0	12	2266.0	True
SRR30639546	GSE276974	F1_pas_supported_models	3	799.0	12	2266.0	True
SRR30639546	GSE276974	F2_high_confidence_reference_models	2	453.0	12	2266.0	True
SRR30639546	GSE276974	F3_pas_supported_novel_models	0	0	12	2266.0	False
SRR30639548	GSE276974	F0_all_positive_models	13	6262.0	8	844.0	True
SRR30639548	GSE276974	F1_pas_supported_models	5	1857.0	8	844.0	True
SRR30639548	GSE276974	F2_high_confidence_reference_models	3	716.0	8	844.0	True
SRR30639548	GSE276974	F3_pas_supported_novel_models	0	0	8	844.0	False
SRR30639549	GSE276974	F0_all_positive_models	9	4171.0	10	758.0	True
SRR30639549	GSE276974	F1_pas_supported_models	4	1148.0	10	758.0	True
SRR30639549	GSE276974	F2_high_confidence_reference_models	2	248.0	10	758.0	True
SRR30639549	GSE276974	F3_pas_supported_novel_models	0	0	10	758.0	False
SRR30639551	GSE276974	F0_all_positive_models	9	1781.0	11	1658.0	True
SRR30639551	GSE276974	F1_pas_supported_models	4	752.0	11	1658.0	True
SRR30639551	GSE276974	F2_high_confidence_reference_models	2	179.0	11	1658.0	True
SRR30639551	GSE276974	F3_pas_supported_novel_models	0	0	11	1658.0	False
SRR30639552	GSE276974	F0_all_positive_models	11	3527.0	9	3053.0	True
SRR30639552	GSE276974	F1_pas_supported_models	5	1709.0	9	3053.0	True
SRR30639552	GSE276974	F2_high_confidence_reference_models	3	527.0	9	3053.0	True
SRR30639552	GSE276974	F3_pas_supported_novel_models	0	0	9	3053.0	False
SRR30639553	GSE276974	F0_all_positive_models	11	3159.0	9	621.0	True
SRR30639553	GSE276974	F1_pas_supported_models	4	975.0	9	621.0	True
SRR30639553	GSE276974	F2_high_confidence_reference_models	2	202.0	9	621.0	True
SRR30639553	GSE276974	F3_pas_supported_novel_models	0	0	9	621.0	False
SRR30639554	GSE276974	F0_all_positive_models	9	3486.0	9	3438.0	True
SRR30639554	GSE276974	F1_pas_supported_models	4	1672.0	9	3438.0	True
SRR30639554	GSE276974	F2_high_confidence_reference_models	2	475.0	9	3438.0	True
SRR30639554	GSE276974	F3_pas_supported_novel_models	0	0	9	3438.0	False
SRR30639555	GSE276974	F0_all_positive_models	11	6128.0	11	1183.0	True
SRR30639555	GSE276974	F1_pas_supported_models	4	1796.0	11	1183.0	True
SRR30639555	GSE276974	F2_high_confidence_reference_models	2	475.0	11	1183.0	True
SRR30639555	GSE276974	F3_pas_supported_novel_models	0	0	11	1183.0	False
SRR30639556	GSE276974	F0_all_positive_models	9	4087.0	10	4087.0	True
SRR30639556	GSE276974	F1_pas_supported_models	5	2166.0	10	4087.0	True
SRR30639556	GSE276974	F2_high_confidence_reference_models	3	736.0	10	4087.0	True
SRR30639556	GSE276974	F3_pas_supported_novel_models	0	0	10	4087.0	False
SRR30639557	GSE276974	F0_all_positive_models	13	4148.0	9	4082.0	True
SRR30639557	GSE276974	F1_pas_supported_models	6	2062.0	9	4082.0	True
SRR30639557	GSE276974	F2_high_confidence_reference_models	3	590.0	9	4082.0	True
SRR30639557	GSE276974	F3_pas_supported_novel_models	0	0	9	4082.0	False
SRR30639558	GSE276974	F0_all_positive_models	11	3667.0	11	3293.0	True
SRR30639558	GSE276974	F1_pas_supported_models	5	1883.0	11	3293.0	True
SRR30639558	GSE276974	F2_high_confidence_reference_models	3	688.0	11	3293.0	True
SRR30639558	GSE276974	F3_pas_supported_novel_models	0	0	11	3293.0	False
SRR35267327	GSE307660	F0_all_positive_models	10	4457.0	6	217.0	True
SRR35267327	GSE307660	F1_pas_supported_models	5	818.0	6	217.0	True
SRR35267327	GSE307660	F2_high_confidence_reference_models	3	382.0	6	217.0	True
SRR35267327	GSE307660	F3_pas_supported_novel_models	0	0	6	217.0	False
SRR35267328	GSE307660	F0_all_positive_models	6	347.0	4	142.0	True
SRR35267328	GSE307660	F1_pas_supported_models	3	43.0	4	142.0	True
SRR35267328	GSE307660	F2_high_confidence_reference_models	3	43.0	4	142.0	True
SRR35267328	GSE307660	F3_pas_supported_novel_models	0	0	4	142.0	False
SRR35267329	GSE307660	F0_all_positive_models	16	11932.0	5	925.0	True
SRR35267329	GSE307660	F1_pas_supported_models	4	1466.0	5	925.0	True
SRR35267329	GSE307660	F2_high_confidence_reference_models	3	896.0	5	925.0	True
SRR35267329	GSE307660	F3_pas_supported_novel_models	0	0	5	925.0	False
SRR35267330	GSE307660	F0_all_positive_models	8	3299.0	10	361.0	True
SRR35267330	GSE307660	F1_pas_supported_models	3	198.0	10	361.0	True
SRR35267330	GSE307660	F2_high_confidence_reference_models	2	142.0	10	361.0	True
SRR35267330	GSE307660	F3_pas_supported_novel_models	0	0	10	361.0	False
SRR35267331	GSE307660	F0_all_positive_models	11	5792.0	9	190.0	True
SRR35267331	GSE307660	F1_pas_supported_models	5	1560.0	9	190.0	True
SRR35267331	GSE307660	F2_high_confidence_reference_models	3	1129.0	9	190.0	True
SRR35267331	GSE307660	F3_pas_supported_novel_models	0	0	9	190.0	False
SRR35267332	GSE307660	F0_all_positive_models	8	623.0	7	247.0	True
SRR35267332	GSE307660	F1_pas_supported_models	3	94.0	7	247.0	True
SRR35267332	GSE307660	F2_high_confidence_reference_models	2	87.0	7	247.0	True
SRR35267332	GSE307660	F3_pas_supported_novel_models	0	0	7	247.0	False
SRR35267333	GSE307660	F0_all_positive_models	12	17560.0	9	1426.0	True
SRR35267333	GSE307660	F1_pas_supported_models	5	3392.0	9	1426.0	True
SRR35267333	GSE307660	F2_high_confidence_reference_models	3	1352.0	9	1426.0	True
SRR35267333	GSE307660	F3_pas_supported_novel_models	0	0	9	1426.0	False
SRR35267334	GSE307660	F0_all_positive_models	10	1254.0	9	541.0	True
SRR35267334	GSE307660	F1_pas_supported_models	2	129.0	9	541.0	True
SRR35267334	GSE307660	F2_high_confidence_reference_models	1	109.0	9	541.0	True
SRR35267334	GSE307660	F3_pas_supported_novel_models	0	0	9	541.0	False
SRR35267335	GSE307660	F0_all_positive_models	6	250.0	4	186.0	True
SRR35267335	GSE307660	F1_pas_supported_models	3	88.0	4	186.0	True
SRR35267335	GSE307660	F2_high_confidence_reference_models	2	72.0	4	186.0	True
SRR35267335	GSE307660	F3_pas_supported_novel_models	0	0	4	186.0	False
SRR35267336	GSE307660	F0_all_positive_models	6	233.0	5	193.0	True
SRR35267336	GSE307660	F1_pas_supported_models	3	116.0	5	193.0	True
SRR35267336	GSE307660	F2_high_confidence_reference_models	1	4.0	5	193.0	True
SRR35267336	GSE307660	F3_pas_supported_novel_models	0	0	5	193.0	False
SRR35267337	GSE307660	F0_all_positive_models	6	277.0	7	172.0	True
SRR35267337	GSE307660	F1_pas_supported_models	3	64.0	7	172.0	True
SRR35267337	GSE307660	F2_high_confidence_reference_models	2	37.0	7	172.0	True
SRR35267337	GSE307660	F3_pas_supported_novel_models	0	0	7	172.0	False
SRR35267338	GSE307660	F0_all_positive_models	10	8993.0	8	436.0	True
SRR35267338	GSE307660	F1_pas_supported_models	4	1169.0	8	436.0	True
SRR35267338	GSE307660	F2_high_confidence_reference_models	2	617.0	8	436.0	True
SRR35267338	GSE307660	F3_pas_supported_novel_models	0	0	8	436.0	False
SRR35267339	GSE307660	F0_all_positive_models	6	399.0	8	93.0	True
SRR35267339	GSE307660	F1_pas_supported_models	3	34.0	8	93.0	True
SRR35267339	GSE307660	F2_high_confidence_reference_models	2	27.0	8	93.0	True
SRR35267339	GSE307660	F3_pas_supported_novel_models	0	0	8	93.0	False
SRR35267340	GSE307660	F0_all_positive_models	10	4633.0	9	612.0	True
SRR35267340	GSE307660	F1_pas_supported_models	3	208.0	9	612.0	True
SRR35267340	GSE307660	F2_high_confidence_reference_models	2	185.0	9	612.0	True
