gene	cell_type	median_usage	estimable_donors
CCND3	B	0.0	20
CCND3	CD4	0.0246382294523787	20
CCND3	CD8	0.03620669475655431	20
CCND3	NK	0.19598946135831383	14
CCND3	Monocyte	0.8969979296066253	20
CCND3	Neutrophil	0.39170731707317075	20
CCND3	Whole_Blood	0.2991452991452992	20
CUTA	B	0.2572842998585573	20
CUTA	CD4	0.1834733893557423	20
CUTA	CD8	0.2368131868131868	20
CUTA	NK	0.29128959276018096	14
CUTA	Monocyte	0.6411764705882352	20
CUTA	Neutrophil	0.16666666666666666	1
CUTA	Whole_Blood	0.23786563805850208	20
PSMB8	B	0.5960144927536233	20
PSMB8	CD4	0.5641025641025641	19
PSMB8	CD8	0.4724702380952381	20
PSMB8	NK	0.5071428571428571	14
PSMB8	Monocyte	0.8894523326572008	20
PSMB8	Neutrophil	0.8094484629294756	20
PSMB8	Whole_Blood	0.8427829698857736	20
