tissue	cls	n_reads	frac
Myeloma marrow	NNC	267258470	0.407846051935825
Myeloma marrow	FSM	222372578	0.3393485639429549
Myeloma marrow	ISM	93029880	0.14196694783915947
Myeloma marrow	NIC	37544861	0.05729481026112785
Myeloma marrow	MONO_EXON_MATCH	14736274	0.022488084928214053
Myeloma marrow	ANTISENSE	8083039	0.012335008667052906
Myeloma marrow	CLASSIFICATION_AMBIGUOUS	10043930	0.015327398964829032
Myeloma marrow	GENIC	2223495	0.0033931334608367967
CCUS marrow	FSM	258344838	0.311496191303917
CCUS marrow	NNC	293507468	0.3538931108863739
CCUS marrow	ISM	160322032	0.19330636809590404
CCUS marrow	NIC	58265575	0.07025301855124631
CCUS marrow	MONO_EXON_MATCH	21057447	0.025389764277326466
CCUS marrow	ANTISENSE	20817174	0.02510005798804049
CCUS marrow	CLASSIFICATION_AMBIGUOUS	13829116	0.016674290829453535
CCUS marrow	GENIC	3223916	0.0038871980677382795
Heart	NNC	72367990	0.39544499195908006
Heart	ISM	51235545	0.2799696340957388
Heart	MONO_EXON_MATCH	15744700	0.08603476156928122
Heart	ANTISENSE	21338072	0.11659897850503062
Heart	FSM	9749383	0.05327417110853834
Heart	NIC	6995183	0.0382242215817697
Heart	CLASSIFICATION_AMBIGUOUS	4395253	0.024017259388344522
Heart	GENIC	1177810	0.0064359817922167535
Cortex	NNC	21092358	0.6018453099477845
Cortex	ISM	7430574	0.21202257766153737
Cortex	NIC	3375687	0.0963212073681713
Cortex	FSM	1320514	0.03767929397084901
Cortex	ANTISENSE	944807	0.026958942274535474
Cortex	GENIC	474045	0.013526309384384502
Cortex	MONO_EXON_MATCH	185945	0.005305719074095026
Cortex	CLASSIFICATION_AMBIGUOUS	222215	0.006340640318642749
