marker	cell_type	logcpm
CD14	B cell	0.8883540643299543
CD14	Erythroid	0.766260712078661
CD14	Monocyte	3.845430079413012
CD14	NK	2.3666101677466447
CD14	Plasma cell	0.8749855202524993
CD14	Progenitor	1.2447648081772411
CD14	T cell	0.991310891681022
CD34	B cell	0.504377477983465
CD34	Dendritic cell	1.6855158869084377
CD34	Erythroid	0.4908084214291133
CD34	Monocyte	0.3898810029060101
CD34	NK	0.6488669235647196
CD34	Progenitor	2.12706832847047
CD34	T cell	0.6625245477408211
CD3D	B cell	3.4635835214855297
CD3D	Dendritic cell	3.614204010987484
CD3D	Erythroid	2.369346944879625
CD3D	Monocyte	3.8760919058691576
CD3D	NK	5.844542198867626
CD3D	Plasma cell	3.2785332582944204
CD3D	Progenitor	4.0449856243784
CD3D	T cell	7.505931463385451
CD8A	B cell	0.7712805741882378
CD8A	Dendritic cell	1.6863925321420667
CD8A	Erythroid	0.43928306189979777
CD8A	Monocyte	1.1289091537971727
CD8A	NK	3.0333008990115853
CD8A	Plasma cell	0.6836078362552043
CD8A	Progenitor	0.5557992857742777
CD8A	T cell	3.779102909791524
GATA1	B cell	0.40748253275489704
GATA1	Dendritic cell	2.89842004915701
GATA1	Erythroid	4.5453923396864635
GATA1	Monocyte	1.0559703447771507
GATA1	NK	0.2817131923901814
GATA1	Plasma cell	1.1301656487455318
GATA1	Progenitor	1.5178491758992128
GATA1	T cell	0.2444694405424143
HBB	B cell	3.5457370734795424
HBB	Dendritic cell	4.667061728349778
HBB	Erythroid	9.618613639960397
HBB	Monocyte	3.231049973894895
HBB	NK	4.43967026260292
HBB	Plasma cell	3.454226560897481
HBB	Progenitor	3.078843823035206
HBB	T cell	3.478594417796201
IRF8	B cell	3.673726650971187
IRF8	Dendritic cell	4.973437252242067
IRF8	Erythroid	0.5871260835370494
IRF8	Monocyte	2.9632402536554796
IRF8	NK	2.1624345400684892
IRF8	Plasma cell	1.9408876075275507
IRF8	Progenitor	2.746700538975778
IRF8	T cell	1.0565540979729453
LYZ	B cell	3.3503985844753084
LYZ	Dendritic cell	5.87115235022279
LYZ	Erythroid	2.7244287855041462
LYZ	Monocyte	8.950065381137026
LYZ	NK	4.684755472881818
LYZ	Plasma cell	2.8872493570311746
LYZ	Progenitor	6.861161583076688
LYZ	T cell	3.573082000347697
MPO	B cell	1.618039199391865
MPO	Dendritic cell	3.6899728767151974
MPO	Erythroid	1.0245982312999964
MPO	Monocyte	4.767875569174457
MPO	NK	2.681443117386098
MPO	Plasma cell	2.011086703182915
MPO	Progenitor	7.512668582523072
MPO	T cell	1.46003751938715
MS4A1	B cell	5.750901761780514
MS4A1	Dendritic cell	2.3683495243791532
MS4A1	Erythroid	0.6792443578133329
MS4A1	Monocyte	1.5624840894673202
MS4A1	NK	1.8828784944234824
MS4A1	Plasma cell	2.581058158670791
MS4A1	Progenitor	2.507737552631185
MS4A1	T cell	1.5090331728672566
MZB1	B cell	3.8776830176651575
MZB1	Dendritic cell	4.484718143897027
MZB1	Erythroid	1.171320768505636
MZB1	Monocyte	1.221863622703282
MZB1	NK	1.559492699297191
MZB1	Plasma cell	5.87580227513484
MZB1	Progenitor	3.626054553504926
MZB1	T cell	1.199104653838971
NKG7	B cell	3.9928382419637884
NKG7	Dendritic cell	4.380454490267054
NKG7	Erythroid	2.491301688720749
NKG7	Monocyte	5.8139116231822445
NKG7	NK	7.793626627314984
NKG7	Plasma cell	3.318674526314579
NKG7	Progenitor	5.442289933868503
NKG7	T cell	8.455313541584143
