run	gse	tissue	jclass	support	n_junctions	canonical_rate
SRR14808743	GSE178175	Cortex	known	all	47889	0.9590720207145691
SRR14808743	GSE178175	Cortex	known	ge2mol	44763	0.9824185152916471
SRR14808743	GSE178175	Cortex	known	ge5mol	41566	0.9885002165231198
SRR14808743	GSE178175	Cortex	novel	all	407520	0.6901428150765606
SRR14808743	GSE178175	Cortex	novel	ge2mol	168218	0.9214471697440226
SRR14808743	GSE178175	Cortex	novel	ge5mol	105614	0.9726835457420417
SRR14808745	GSE178175	Cortex	known	all	70068	0.9335074499058058
SRR14808745	GSE178175	Cortex	known	ge2mol	64414	0.971947092247027
SRR14808745	GSE178175	Cortex	known	ge5mol	60014	0.9841870230279601
SRR14808745	GSE178175	Cortex	novel	all	762339	0.5732436619404229
SRR14808745	GSE178175	Cortex	novel	ge2mol	246526	0.8299489708996212
SRR14808745	GSE178175	Cortex	novel	ge5mol	131359	0.9417093613684635
SRR14808746	GSE178175	Cortex	known	all	52731	0.9484553678102066
SRR14808746	GSE178175	Cortex	known	ge2mol	48822	0.9792921224038343
SRR14808746	GSE178175	Cortex	known	ge5mol	45193	0.9871661540504061
SRR14808746	GSE178175	Cortex	novel	all	496289	0.6513583819105401
SRR14808746	GSE178175	Cortex	novel	ge2mol	184237	0.9012739026362783
SRR14808746	GSE178175	Cortex	novel	ge5mol	109537	0.9670796169330911
SRR30639545	GSE276974	CCUS marrow	known	all	115581	0.8445678788036096
SRR30639545	GSE276974	CCUS marrow	known	ge2mol	97624	0.9285421617635008
SRR30639545	GSE276974	CCUS marrow	known	ge5mol	86198	0.9639202765725423
SRR30639545	GSE276974	CCUS marrow	novel	all	1143306	0.5149951106702843
SRR30639545	GSE276974	CCUS marrow	novel	ge2mol	324186	0.7292511089312925
SRR30639545	GSE276974	CCUS marrow	novel	ge5mol	130984	0.8602424723630367
SRR30639548	GSE276974	CCUS marrow	known	all	138551	0.8357283599540963
SRR30639548	GSE276974	CCUS marrow	known	ge2mol	116863	0.9198976579413501
SRR30639548	GSE276974	CCUS marrow	known	ge5mol	103553	0.9559259509623091
SRR30639548	GSE276974	CCUS marrow	novel	all	1584353	0.5084018523649717
SRR30639548	GSE276974	CCUS marrow	novel	ge2mol	426174	0.7189739402215997
