gse	tissue	cell_type	splice_reads	novel_reads	novel_frac
GSE307660	Myeloma marrow	B cell	31666461	17649435	0.5573541988162176
GSE307660	Myeloma marrow	Dendritic cell	17526793	8452231	0.4822462957142245
GSE307660	Myeloma marrow	Erythroid	131114567	27502668	0.2097605828954154
GSE307660	Myeloma marrow	Malignant plasma cell	30253659	24224408	0.8007100232074408
GSE307660	Myeloma marrow	Monocyte/Myeloid	137375935	70755007	0.5150465909476795
GSE307660	Myeloma marrow	NK cell	4489188	3427526	0.7635068970156741
GSE307660	Myeloma marrow	T cell	41155014	23525948	0.5716423277124872
GSE276974	CCUS marrow	B cell	96638326	44236699	0.4577552285001294
GSE276974	CCUS marrow	CD4 T	69196223	29564525	0.4272563402774166
GSE276974	CCUS marrow	CD8 T	30917347	14114376	0.4565196360476855
GSE276974	CCUS marrow	Dendritic cell	4180892	1953423	0.467226371788604
GSE276974	CCUS marrow	Erythroid	144163215	53317490	0.3698411553876625
GSE276974	CCUS marrow	Granulo/Myeloid progenitor	7041359	2726605	0.3872270963602339
GSE276974	CCUS marrow	HSPC	38458148	16881301	0.4389525205425909
GSE276974	CCUS marrow	Monocyte	22119984	9247211	0.4180478159477873
GSE276974	CCUS marrow	NK	102926904	48555110	0.4717436171984732
GSE276974	CCUS marrow	Plasma cell	10063094	7148283	0.710346440170389
GSE178175	Cortex	Astrocyte	3726722	2751578	0.738337337746148
GSE178175	Cortex	Excitatory neuron	10082110	7305905	0.7246404770429999
GSE178175	Cortex	InN PVALB	3202780	2370408	0.7401095298459464
GSE178175	Cortex	InN SST	480990	358959	0.7462920227031747
GSE178175	Cortex	Microglia	1318286	996919	0.7562236115683547
GSE178175	Cortex	OPC	1120422	837285	0.7472943230318576
GSE178175	Cortex	Oligodendrocyte	2388728	1732451	0.7252608919893768
GSE292324	AML marrow (PacBio)	B cell	8333214	4273192	0.5127903831582868
GSE292324	AML marrow (PacBio)	Dendritic cell	6320970	3149064	0.4981931570629191
GSE292324	AML marrow (PacBio)	NK cell	72130480	35928374	0.498102521985158
GSE292324	AML marrow (PacBio)	Granulo/Myeloid	187115814	92875083	0.4963507948077547
GSE292324	AML marrow (PacBio)	T cell	6150233	3014045	0.4900700510045717
GSE292324	AML marrow (PacBio)	Monocyte	187988264	80034029	0.4257394972273375
GSE292324	AML marrow (PacBio)	Erythroid	1404727	116441	0.0828922630518243
