gse	tissue	cell_type	total_cells	mol_per_cell	novel_frac	n_mol
GSE276974	CCUS marrow	NK	14503	2585.96800661932	0.46071948454755607	37504294
GSE276974	CCUS marrow	CD8 T	4487	2679.745709828393	0.44412978722006347	12024019
GSE276974	CCUS marrow	Monocyte	3186	3115.6927181418705	0.4097414249817939	9926597
GSE276974	CCUS marrow	B cell	11879	3143.44355585487	0.4411123429426009	37340966
GSE276974	CCUS marrow	Granulo/Myeloid progenitor	636	4343.397798742139	0.37680228178312997	2762401
GSE276974	CCUS marrow	CD4 T	7314	4355.16201804758	0.41736149273921624	31853655
GSE276974	CCUS marrow	Dendritic cell	399	4563.561403508772	0.4575231168112228	1820861
GSE276974	CCUS marrow	Plasma cell	432	9361.018518518518	0.6680241644328826	4043960
GSE276974	CCUS marrow	Erythroid	4956	10687.934826472962	0.3681319622147917	52969405
GSE276974	CCUS marrow	HSPC	1401	11397.028551034975	0.42611279584564316	15967237
GSE178175	Cortex	InN SST	979	362.61184882533195	0.7238173843722623	354997
GSE178175	Cortex	Microglia	2161	419.6783896344285	0.7323009069107148	906925
GSE178175	Cortex	OPC	1775	438.21352112676055	0.726245742958928	777829
GSE178175	Cortex	Oligodendrocyte	3381	472.5874001774623	0.6999614474239244	1597818
GSE178175	Cortex	Astrocyte	4101	618.3299195318215	0.7135979550203863	2535771
GSE178175	Cortex	InN PVALB	2336	947.304794520548	0.7143030154041928	2212904
GSE178175	Cortex	Excitatory neuron	4975	1462.5507537688443	0.7004503730661239	7276190
GSE307660	Myeloma marrow	NK cell	3365	599.1881129271917	0.7474700783824373	2016268
GSE307660	Myeloma marrow	Malignant plasma cell	4151	3066.1920019272466	0.7244904701635315	12727763
GSE307660	Myeloma marrow	Monocyte/Myeloid	17097	3719.4214189623913	0.5013113816136221	63590948
GSE307660	Myeloma marrow	T cell	4148	4278.812680810029	0.5479501242780029	17748515
GSE307660	Myeloma marrow	B cell	2171	5669.913864578535	0.5393791874052501	12309383
GSE307660	Myeloma marrow	Erythroid	3703	15556.57142857143	0.2310658906546931	57605984
GSE307660	Myeloma marrow	Dendritic cell	538	15678.691449814127	0.4671342584162247	8435136
