run	cell_type	mol_per_cell	novel_frac	cells
SRR35267343	B cell	5551.5548098434	0.5509640163688347	447
SRR35267343	Malignant plasma cell	45212.757575757576	0.733220242878619	33
SRR35267343	Monocyte/Myeloid	3212.719162141195	0.5361860525766113	1289
SRR35267343	NK cell	533.5217391304348	0.7753239344796675	92
SRR35267337	B cell	3828.7823529411767	0.4328852822199655	170
SRR35267337	Dendritic cell	15599.625	0.42043278283933105	32
SRR35267337	Erythroid	22831.753036437247	0.17035937769031445	247
SRR35267337	Monocyte/Myeloid	3856.427450980392	0.3685642202627851	255
SRR35267337	T cell	5254.883211678832	0.429480260973804	137
SRR35267329	Monocyte/Myeloid	4234.964485981309	0.5389753421965016	1605
SRR35267329	NK cell	557.1195876288659	0.8000688371335626	485
SRR35267329	T cell	2564.75	0.5754829905448874	100
SRR35267342	B cell	7456.9655172413795	0.5432469988716867	116
SRR35267342	Erythroid	29566.628865979383	0.4309658109257337	97
SRR35267342	Monocyte/Myeloid	4538.2656587473	0.5223689414277536	926
SRR35267342	NK cell	565.5321100917431	0.774070048505102	109
SRR35267342	T cell	4600.5625	0.5507954190384328	32
SRR35267345	Monocyte/Myeloid	10586.680373831776	0.42151096581597686	535
SRR35267345	NK cell	464.0192307692308	0.6945169712793734	156
SRR35267345	T cell	1814.2763157894738	0.4652210175145955	228
SRR35267341	B cell	4864.065743944637	0.5811270421102428	289
SRR35267341	Erythroid	9358.252873563219	0.2686386593430349	87
SRR35267341	Monocyte/Myeloid	3850.4273504273506	0.551513190472125	1521
SRR35267341	NK cell	562.9292604501608	0.7490732331454095	311
SRR35267341	T cell	5792.508771929824	0.587226620589812	456
SRR35267335	B cell	2150.962962962963	0.40326468765066464	135
SRR35267335	Dendritic cell	9093.633027522936	0.37603888596316004	109
SRR35267335	Erythroid	16419.107920792077	0.13069769772588674	1010
SRR35267335	Malignant plasma cell	17276.0	0.7352904140415869	57
SRR35267335	Monocyte/Myeloid	1435.3182640144666	0.27068805426523596	1106
SRR35267335	T cell	2324.9242902208202	0.3718122499155361	317
SRR35267344	Dendritic cell	35298.14	0.46363462777358805	50
SRR35267344	Erythroid	28899.444444444445	0.45804161300037805	54
SRR35267344	Monocyte/Myeloid	3258.9321167883213	0.5111062532910673	1370
SRR35267344	NK cell	611.6481481481482	0.6830058433497835	54
SRR35267344	T cell	1599.012987012987	0.5212752996978656	154
SRR35267334	B cell	2947.017094017094	0.5041342687521208	117
SRR35267334	Dendritic cell	8918.125	0.5109389235405425	128
SRR35267334	Erythroid	13714.809696969696	0.19818116545193615	825
SRR35267334	Malignant plasma cell	12628.11855670103	0.7507725967455217	194
SRR35267334	Monocyte/Myeloid	4634.355665467626	0.4469696580133886	2224
SRR35267334	NK cell	301.1142857142857	0.7142043837176203	35
SRR35267334	T cell	2774.104922279793	0.522888631865107	772
SRR35267336	Dendritic cell	19005.854545454546	0.4073175538255198	55
SRR35267336	Erythroid	21569.857868020306	0.17096580535631833	394
SRR35267336	Malignant plasma cell	31471.108108108107	0.7821236294808366	37
SRR35267336	Monocyte/Myeloid	2370.680473372781	0.32967464962747567	338
SRR35267336	T cell	4035.292079207921	0.42181912310812153	202
SRR35267338	B cell	7906.412698412699	0.5442269084367923	315
SRR35267338	Erythroid	22369.191489361703	0.5027326718358837	47
SRR35267338	Monocyte/Myeloid	2892.714985308521	0.5859814685274434	1021
SRR35267338	NK cell	983.7348993288591	0.7640992928607246	298
SRR35267338	T cell	8584.776173285198	0.5681548186004693	554
SRR35267333	B cell	4863.845070422535	0.5781897472874008	71
SRR35267333	Erythroid	4115.9152542372885	0.2664151969000037	118
SRR35267333	Monocyte/Myeloid	2747.796296296296	0.6317857407619574	648
SRR35267333	NK cell	658.8728584310189	0.7265475098879142	1109
SRR35267333	T cell	2703.3670886075947	0.5872423513106019	158
SRR35267340	B cell	4742.517857142857	0.5912132268498123	56
SRR35267340	Erythroid	25634.032258064515	0.5004788241438108	31
SRR35267340	Monocyte/Myeloid	2561.5741350906096	0.5532047421160087	1214
SRR35267340	NK cell	750.4054054054054	0.7387358184764992	74
SRR35267340	T cell	4848.722488038277	0.5925706272949122	836
SRR35267339	Erythroid	4040.309248554913	0.44510771867602994	346
SRR35267339	Malignant plasma cell	1025.2584722969339	0.6712310439566926	3718
SRR35267339	Monocyte/Myeloid	820.8528301886793	0.5065785239465627	530
SRR35267339	T cell	1746.3908045977012	0.5995221672283066	87
SRR35267327	B cell	8041.400809716599	0.5306646877042189	247
SRR35267327	Malignant plasma cell	34971.26190476191	0.7428909315335789	42
SRR35267327	Monocyte/Myeloid	2211.67576509512	0.5565780675234375	1209
SRR35267327	NK cell	400.69703872437356	0.735045990472184	439
SRR35267327	T cell	2255.8285714285716	0.5432593662132381	70
SRR35267331	B cell	6404.488888888889	0.5555466883181472	135
SRR35267331	Dendritic cell	13238.819672131147	0.5078086303568244	61
SRR35267331	Erythroid	12932.838874680307	0.38220434509189716	391
SRR35267331	Monocyte/Myeloid	5998.000765696784	0.5045989673179769	1306
SRR35267331	NK cell	486.1025641025641	0.7883874881316595	156
