cell_type	novel_frac_expr_wt	novel_frac_distinct
Cardiomyocyte	0.0587544579669761	0.10649108995920704
Fibroblast	0.0445467521475233	0.09957994959395128
Endothelial	0.04703896060333309	0.09927797833935018
Myeloid	0.04916920075140369	0.09366907455363227
Pericyte	0.04622950478062605	0.09075576258935025
Smooth muscle	0.045055039436579396	0.08354650567891128
Endocardial	0.04973591549295775	0.08025835775372286
Lymphatic	0.04778542438680078	0.07732331261743026
Neuronal	0.044521868812835874	0.07642429965376141
Lymphoid	0.04261911804059098	0.07421796503449661
