run	pattern
SRR32154422	%::HR380_%
SRR32154423	%::HR379_%
SRR32154424	%::HR378_%
SRR32154425	%::HR375_%
SRR32154426	%::HR374_%
SRR32154427	%::HR373_%
SRR32154428	%::HR248_%
SRR32154429	%::HR245_%
SRR32154430	%::HR236_%
SRR32154431	%::HR202_%
SRR32154433	%::HR178_%
SRR36251361	%::HR182_%
SRR9008428	%::s951_%
SRR9008429	%::s951_%
SRR9008433	%::s951_%
SRR12699089	%
SRR34364189	%
SRR14808726	%::SRR14808745::%
SRR14808727	%::SRR14808746::%
SRR14808728	%::SRR14808745::%
SRR14808729	%::SRR14808745::%
SRR14808730	%::SRR14808745::%
SRR14808732	%::SRR14808745::%
SRR14808733	%::SRR14808745::%
SRR14808735	%::SRR14808745::%
SRR14808736	%::SRR14808746::%
SRR14808737	%::SRR14808746::%
SRR14808738	%::SRR14808746::%
SRR14808739	%::SRR14808746::%
SRR14808740	%::SRR14808746::%
SRR14808741	%::SRR14808746::%
SRR14808742	%::SRR14808746::%
SRR14808743	%::SRR14808745::%
SRR14808744	%::SRR14808745::%
SRR14808745	%::SRR14808745::%
SRR14808746	%::SRR14808746::%
SRR14808747	%::SRR14808746::%
SRR17074937	%::SRR14808745::%
