	n_runs
LAMP1	60
RBM3	56
ADRM1	53
MZT1	52
CNDP2	52
STOML2	52
RPL21	50
BCAP31	50
PCID2	50
SIGMAR1	50
CYC1	49
YBEY	48
ST6GALNAC4	48
ABCA2	48
UFM1	48
COX4I1	48
MAP1LC3B	47
MRFAP1L1	47
IFITM1	47
VPS28	47
TMEM276	46
PRAF2	46
CENPN	46
UBE2I	46
DMAC1	45
CIAO2A	45
UBALD1	45
SARAF	45
NUDT22	44
SRSF2	44
ATP5PO	44
MRPL57	44
ZDHHC12	44
CST3	44
DKC1	44
TSSC4	44
DBNDD2	43
COQ4	43
MRPL39	43
RNASEK	43
FKBP2	43
MAZ	43
N6AMT1	43
ING1	43
MGST2	43
ARHGDIA	43
ZNF24	43
AK1	43
TIMM8B	43
FBXL6	42
PEX16	42
IMP3	42
AIP	42
PRDX5	42
CCNQ	42
NINJ1	42
UCK1	42
COQ9	42
BST2	41
NDUFV1	41
PFKL	41
RPN2	41
RTL8A	41
AARSD1	41
FAM3A	41
PTGES2	41
LSM4	41
MRPS7	41
PSMA7	41
SNHG19	41
POLR3F	40
UBL4A	40
KIF22	40
CARHSP1	40
DCTN6-DT	40
SLC2A4RG	40
UQCRFS1	40
GNPDA2	40
PSME3IP1	40
LENG1	40
NME3	39
COMMD8	39
STMN3	39
G6PD	39
PTGDS	39
SRP14	39
GSPT2	39
ENSG00000288012	39
FADS3	39
NDUFC2	39
CYBA	39
TMED3	39
AGA	39
MYL12B	39
HADH	38
GRIPAP1	38
RPS4X	38
HSBP1L1	38
CLN8-AS1	38
CAPNS1	38
AEN	38
NDUFV2	37
BBLN	37
TOR2A	37
NBDY	37
ORMDL3	37
MRFAP1	37
SIRT6	37
ECHS1	37
BLCAP	37
ZNF830	37
ZNF524	36
NSMCE4A	36
USE1	36
PQBP1	36
POLR2E	36
CD320	36
CIRBP	36
PTPA	36
SYS1	36
NUBP2	36
CTSB	36
CCDC107	35
CNEP1R1	35
DDX41	35
PEX2	35
MAFG	35
NT5C	35
LY6E	35
FUS	35
YTHDC1	35
EIF4A1	35
GPR108	35
DYNC2I2	35
C17orf49	35
TRPT1	34
MED11	34
MBD1	34
PAXX	34
TMSB4X	34
CTSZ	34
SCRN2	34
BAX	34
LDHB	34
ACP2	34
HOMER3	34
ELOF1	34
UBXN8	34
CHRAC1	34
TXNL4A	34
WDR13	33
SDHAF2	33
SIRT7	33
RPL27	33
TMEM216	33
SLC25A5	33
PSMB3	33
ACTG1	33
ERCC5	33
POMT1	33
SFXN4	33
GRHPR	33
ENSG00000288839	33
MINCR	33
ZFTRAF1	33
C11orf68	32
SPSB3	32
SPG21	32
RPLP1	32
FAM174C	32
COMMD9	32
RAB11B	32
ZNF674-AS1	32
SPART	32
CYB561A3	32
KAT8	32
EGFL7	32
ZNF407-AS1	31
ETFA	31
DYNLL2	31
KBTBD4	31
RNF40	31
EBP	31
FN3KRP	31
ENSG00000286264	31
VAMP2	31
NAPA	31
ZNHIT2	31
CLPTM1	31
BAG1	31
SIGIRR	31
POLR2L	31
ADA	31
CNBP	31
MYG1	31
ZNF22	31
TMED9	31
TLN1	31
GRSF1	30
RTF2	30
TMEM86B	30
STX8	30
AAAS	30
GLIDR	30
COMMD6	30
PHPT1	30
TOR4A	30
TM2D2	30
BRMS1	30
EEF2KMT	30
SNAPC5	30
LMF2	30
CRYL1	30
TIMP1	30
TMEM101	30
CLCN7	30
NDUFS4	30
CCDC137	30
ZGPAT	30
MAF1	30
EIF4G2	30
HNRNPM	30
VBP1	29
PLP2	29
GLRX5	29
H1-0	29
MRPL45	29
HRG-AS1	29
RPS2	29
TRIM69	29
ARL14EPL	29
HAGH	29
COMMD7	29
BMI1	29
PIH1D1	29
CHCHD1	29
DHCR7	29
PRELID1	29
SDHB	29
PPP1R14B	29
DNTTIP1	29
FAAP100	29
MRPS15	29
CRIP1	29
TOB1	29
C4orf48	28
GCSH	28
PTGES2-AS1	28
NT5C3B	28
SMIM20	28
SNRPD3	28
MAPKAPK3	28
TIMM17B	28
ABCD1	28
PIGT	28
POLR2C	28
HMGN2	28
ENSG00000272688	28
NKIRAS2	28
ZBTB14	28
VPS35	28
MED10	28
MTG1	28
NOP53	28
BGN	28
RECQL4	28
ZNF778-DT	28
LDHA	28
CCT5	28
TMEM170A	28
METTL4	28
UFSP2	28
SLC46A3	28
PHB1	28
RPL38	28
DPM2	28
HEXA	28
CA11	27
LY96	27
HEBP1	27
SUGT1-DT	27
THAP7	27
UQCC3	27
IKBKG	27
KRT10-AS1	27
TIPIN	27
PSME2	27
ISOC2	27
ENSG00000262050	27
ARL3	27
NAPRT	27
CARD19	27
RAB24	27
ENSG00000250697	27
NDUFA8	27
SKA3	27
RTL8B	27
NTMT1	27
RPS25	27
MAGOHB	27
SBNO1-AS1	27
HNRNPH3	27
PLXNB2	27
ZFPL1	27
RBMX	27
LINC00412	27
U2AF2	27
UBC	27
SAT1	27
RFK	27
NIPSNAP3A	27
SNRPA	27
IMPACT	27
BUD23	26
ZNF397	26
PHF5A	26
IRF2	26
RPL9	26
PRMT2	26
SCAMP1-AS1	26
COTL1	26
ASB6	26
CCDC22	26
MRPS21	26
TUBA1C	26
MRPL32	26
TRNT1	26
CAPS	26
TEPSIN	26
HMGB1	26
SLC25A45	26
NOB1	26
UBA2	26
HERPUD1	26
ENSG00000287104	26
RGS19	26
ENSG00000288924	26
SNHG11	26
SDR39U1	26
ENSG00000275964	26
ENSG00000273702	26
IFI35	26
RPSA2	26
DCK	26
PDLIM1	26
SNX15	25
PIR	25
GTF2A2	25
MROH6	25
NSG1	25
PIGO	25
HACD1	25
KHSRP	25
STN1	25
C15orf39	25
CERS2	25
TIMM13	25
SLC39A13	25
CHCHD10	25
ENSG00000272256	25
ULK3	25
CAPRIN1	25
MVD	25
SERPINF1	25
CXXC1	25
SLIRP	25
MYL12A	25
RPS26	25
CALM3	25
NAF1	25
UBE2Q2P13	25
CCDC106	25
MRPS18C	25
TXN	25
ORAI3	25
AKAP1-DT	25
PYCR1	25
PDHB	25
CAVIN1	25
CD68	25
MYADM	25
CNN2	25
WASH6P	25
CCDC90B	25
TRMT112	25
MYL12-AS1	25
DPP7	25
ANKRD10	25
GRINA	25
ENSG00000289401	24
ANKRD37	24
LINC00562	24
SDHD	24
SLC25A37	24
SNRNP25	24
ASAH1	24
DNAJA1	24
CRAT	24
PLIN3	24
MANBAL	24
NAGLU	24
VHL	24
SLCO4A1	24
AGPAT2	24
MRPS2	24
STOM	24
KIF9	24
ISG15	24
EIF3H	24
CAT	24
HTATIP2	24
SYVN1	24
CCDC12	24
GNAS	24
CD93	24
PDCD4	24
ATMIN	24
ZNF598	24
SDHAF1	24
CCDC25	24
CD82	24
P3H4	24
METTL2A	24
MOB2	24
RPSA	24
LSM7	24
RHOT2	24
TMED2	24
CAVIN3	24
PELP1	24
GDE1	24
PSMC2	24
PDK2	24
C19orf73	24
DYNLT3	24
PLXNA3	24
TMBIM4	24
ENSG00000278743	24
TKFC	24
BOLA2	24
AURKB	24
SH3BGRL	24
SLC35C2	24
QPRT	23
CTSH	23
PRDX3	23
EEF1D	23
CD151	23
MTMR6	23
SET	23
LSM5	23
SRSF6	23
SELENOW	23
NGDN	23
LDAF1	23
ZFAND1	23
SLC35C1	23
ZNF681	23
HPF1	23
RCN2	23
NOA1	23
ENSG00000257732	23
FDX2	23
MPG	23
MAN1B1	23
CTU2	23
PWWP3A	23
REEP5	23
NAXE	23
IGBP1	23
C4orf33	23
RASD1	23
DDT	23
DDOST	23
MAGED2	23
NUFIP1	23
RNF113A	23
C4orf46	23
SRSF8	23
DUSP3	23
ENSG00000278376	23
NCBP2	23
ENSG00000254682	23
MUSTN1	23
MPHOSPH6	23
ENSG00000289084	23
TMEM68	23
USP11	23
TAX1BP3	23
LIME1	23
ZDHHC9	23
ENSG00000289019	23
EIF4B	23
ILVBL	23
TFE3	23
MRPS17	23
RPS28	23
PLA2G4B	23
PSMD9	23
POLR1E	23
THAP9-AS1	23
ISCU	22
ENSG00000267058	22
SYDE1	22
NEIL2	22
EFEMP2	22
FDXR	22
UBA52	22
IDS	22
FAM78A	22
PHYH	22
KHNYN	22
PIM3	22
PUS3	22
ENHO	22
SUV39H1	22
ALAD	22
RPL39	22
FLNA	22
MGP	22
KBTBD7	22
AP1S1	22
ENSG00000280195	22
TGS1	22
HDAC10	22
HIGD1A	22
PDLIM3	22
POMP	22
UBE2G2	22
JAGN1	22
VDAC1	22
RPL14	22
HOXB2	22
UBAC1	22
CDKN2A	22
SPPL2B	22
KPNB1	22
SNRPD2	22
SF1	22
PSAT1	22
NDUFS8	22
RPS6	22
PCBD1	22
BEX4	22
IRAK1	22
MDH2	22
HMGCL	22
HNRNPDL	22
RSKR	22
TMEM161A	22
CALM1	22
ABRAXAS1	22
UBAC2-AS1	22
SLC25A19	22
SHARPIN	22
NANS	22
FN3K	22
ENSG00000290396	22
ENSG00000288899	22
NSDHL	22
SRRD	22
ENSG00000277368	22
LYPLA2	22
MCPH1-DT	21
CDK3	21
DNAJA3	21
ENSG00000289306	21
PGLS	21
SAP18	21
TSPAN6	21
DNAJB11	21
NOC2L	21
SEPTIN9	21
NCBP2AS2	21
NAP1L5	21
ADH5	21
B3GAT3	21
ST6GALNAC6	21
ANXA5	21
NUCB1	21
DMKN	21
RPL7	21
ENSG00000289001	21
ENSG00000289515	21
HEXA-AS1	21
VPS25	21
GUCD1	21
VASN	21
CDC42SE1	21
PBDC1	21
ENSG00000288939	21
MIR503HG	21
RAB5IF	21
NUMA1	21
S100P	21
IRF7	21
PYM1	21
RGS16	21
MYZAP	21
MAP1LC3A	21
NAGPA	21
TXNIP	21
FKBP10	21
UQCR10	21
GET1	21
THEM4	21
NAT9	21
HNRNPUL1	21
AAMP	21
DYNLL1	21
ILF3-DT	21
MRGBP	21
CYB5D2	21
NOP14-AS1	21
BSG-AS1	21
NOMO1	21
CSNK2A3	21
FAM241B	21
ENSG00000225411	21
CCNB1IP1	21
GRWD1	21
TSPAN4	21
CCDC34	21
CRELD1	21
ATRAID	21
LGALS3BP	21
WASHC1	21
ENSG00000291066	21
PER1	21
TMEM186	21
HAUS7	21
HSPH1	21
AKAP1	21
NEURL2	21
CDKN2D	21
RAB1B	21
GASK1B	21
MAPRE1	21
XPA	21
GEMIN4	21
TRAPPC2B	21
GSTZ1	20
TRAM1	20
CMC2	20
STK16	20
SLC25A39	20
CHCHD2	20
NELFB	20
TCIRG1	20
GLIPR1	20
AIFM1	20
ZNF699	20
AFG3L2	20
NDUFA1	20
GTF3A	20
RFXAP	20
CEP55	20
SKA1	20
NARS1	20
FBXO22	20
SCO2	20
CLUH	20
KDELR2	20
CDK5RAP2	20
MAN1B1-DT	20
LAP3	20
GFUS	20
CHMP2B	20
CKB	20
LOXL1	20
OMA1	20
ARF3	20
RRAGC	20
HERC2P7	20
CINP	20
CDC123	20
ECH1	20
TCIM	20
RAB8A	20
SNHG17	20
AGTRAP	20
MON1B	20
PCNP	20
SUCLG1	20
POLR2A	20
UQCRQ	20
ARPP19	20
PDCD4-AS1	20
CSTB	20
GPX4	20
ZNF675	20
GEM	20
SKIC8	20
HDHD3	20
VCPKMT	20
SERP2	20
IFITM2	20
FHL1	20
ARL2	20
LAMTOR1	20
ISG20	20
ZNF275	20
TAF9B	19
RNF166	19
CCNA2	19
RWDD3	19
RNF167	19
SLC35A5	19
MRPL13	19
NDUFB6	19
ENSG00000274828	19
ENSG00000273226	19
BEX2	19
PIGBOS1	19
RPL10	19
NECAB3	19
ADAMTS1	19
ENSG00000288841	19
GTPBP4	19
PSMG1	19
MRPL37	19
BORCS7	19
PHF19	19
NEMF	19
ZNF106	19
TRABD	19
MORF4L2	19
FBXL3	19
PTP4A3	19
LSM8	19
EIF3F	19
CREG1	19
KLHDC2	19
PIGP	19
