run	gse	n_tested	n_ase_gated	frac_qsig_nogate
SRR35267327	GSE307660	6832	1231	0.5114168618266979
SRR35267329	GSE307660	1708	322	0.5942622950819673
SRR30639551	GSE276974	938	178	0.523454157782516
SRR30166097	GSE274249	12241	1165	0.2922146883424557
SRR32370261	GSE289790	14255	3703	0.6350052613118204
SRR21492157	GSE212945	13055	1487	0.3348142474147836
SRR30639554	GSE276974	1779	331	0.5356942102304666
SRR32154426	GSE288222	15724	1593	0.3655558382091071
SRR35267330	GSE307660	3483	688	0.5291415446454206
SRR21492154	GSE212945	11916	1768	0.438821752265861
SRR35267335	GSE307660	9137	1438	0.3553682828061727
SRR31632206	GSE283658	6838	1662	0.4062591400994443
SRR30639545	GSE276974	2003	356	0.5466799800299551
SRR32154428	GSE288222	16938	1742	0.3991026095170622
SRR33369387	?	10448	2249	0.5012442572741195
SRR32154424	GSE288222	5214	517	0.33294975067126964
SRR23271781	GSE224045	7890	1538	0.5902408111533587
SRR31435219	GSE283629	11096	1170	0.2782984859408796
SRR32154425	GSE288222	17305	1559	0.37295579312337473
SRR33369388	?	864	274	0.4212962962962963
SRR35267334	GSE307660	11183	1958	0.4186711973531253
SRR35267336	GSE307660	9906	1751	0.35231173026448614
SRR35267333	GSE307660	6456	1171	0.5206009913258984
SRR36251361	GSE288222	15460	1477	0.3423673997412678
SRR35267340	GSE307660	8944	1586	0.4995527728085868
SRR32154422	GSE288222	17110	1494	0.3918176504967855
SRR14808745	GSE178175	9628	1838	0.5108018280016619
SRR32154433	GSE288222	3423	184	0.07887817703768624
SRR35267339	GSE307660	11174	1592	0.4672453910864507
SRR34318914	GSE212945	12524	2250	0.5736186521877994
SRR35267341	GSE307660	3484	566	0.5407577497129736
SRR26865982	GSE248118	7573	1090	0.5732206523174436
SRR14808746	GSE178175	12321	1996	0.4212320428536645
SRR31632207	GSE283658	9202	1572	0.4796783307976527
SRR32370262	GSE289790	2924	720	0.6108071135430917
SRR31632208	GSE283658	14172	2107	0.4466553767993226
SRR30639552	GSE276974	14887	2659	0.5142070262645261
SRR31435217	GSE283629	11863	1178	0.27328668970749387
SRR30639550	GSE276974	611	130	0.49427168576104746
SRR35267337	GSE307660	9060	1454	0.3369757174392936
SRR35267331	GSE307660	754	130	0.5729442970822282
SRR33369385	?	10486	2428	0.49227541483883275
SRR31435216	GSE283629	17453	2005	0.4461697129433335
SRR32154430	GSE288222	8442	910	0.41589670694148306
SRR30639557	GSE276974	843	132	0.5148279952550415
SRR34364189	GSE301658	7576	661	0.2848468848996832
SRR30947478	GSE303762	4567	634	0.5995182833369826
SRR30166098	GSE274249	11914	1483	0.5063790498573107
SRR30639553	GSE276974	2435	407	0.5047227926078028
SRR30947479	GSE303762	5303	903	0.620026400150858
SRR32154429	GSE288222	15285	1575	0.40124304874059535
SRR30639548	GSE276974	220	34	0.5954545454545455
SRR30639556	GSE276974	508	84	0.5216535433070866
SRR31435218	GSE283629	11158	1399	0.5255422118659258
SRR32154423	GSE288222	9373	877	0.39496425904192894
SRR30166099	GSE274249	11535	1177	0.2985695708712614
SRR30166096	GSE274249	10814	1319	0.5259848344738303
SRR33369386	?	759	247	0.38866930171277997
SRR35267344	GSE307660	7625	1636	0.539672131147541
SRR21492156	GSE212945	14009	1762	0.44143050895852665
SRR32154427	GSE288222	15779	1844	0.3939413144052221
SRR35267342	GSE307660	3512	708	0.5176537585421412
SRR21492155	GSE212945	15884	2119	0.4977335683706875
SRR32154431	GSE288222	17100	1294	0.3929239766081871
SRR35267345	GSE307660	3510	810	0.5401709401709401
SRR35267343	GSE307660	11878	2252	0.4991581074254925
SRR14808743	GSE178175	11570	1943	0.4226447709593777
