gse	tissue	jclass	support	n_junctions	canonical_rate
GSE178175	Cortex	known	all	170688	0.9452978533933258
GSE178175	Cortex	known	ge2mol	157999	0.9771833998949361
GSE178175	Cortex	known	ge5mol	146773	0.9863258228693288
GSE178175	Cortex	novel	all	1666148	0.6251035322192267
GSE178175	Cortex	novel	ge2mol	598981	0.8775837630909828
GSE178175	Cortex	novel	ge5mol	346510	0.9591700095235347
GSE276974	CCUS marrow	known	all	799128	0.8434030593346747
GSE276974	CCUS marrow	known	ge2mol	671623	0.9287368062142005
GSE276974	CCUS marrow	known	ge5mol	592184	0.963464058468314
GSE276974	CCUS marrow	novel	all	7477624	0.5210200459397263
GSE276974	CCUS marrow	novel	ge2mol	2110236	0.7346874946688428
GSE276974	CCUS marrow	novel	ge5mol	821937	0.8671747348032757
GSE288222	Heart	known	all	543348	0.9223425870712693
GSE288222	Heart	known	ge2mol	484182	0.9635508961506211
GSE288222	Heart	known	ge5mol	423143	0.9799051384520127
GSE288222	Heart	novel	all	5279076	0.5721715315331698
GSE288222	Heart	novel	ge2mol	1584186	0.8350427285684888
GSE288222	Heart	novel	ge5mol	762950	0.9314109705747428
GSE307660	Myeloma marrow	known	all	957162	0.9106953681821885
GSE307660	Myeloma marrow	known	ge2mol	854039	0.9611411188482025
GSE307660	Myeloma marrow	known	ge5mol	771927	0.9796936756973134
GSE307660	Myeloma marrow	novel	all	6838191	0.6012226040483514
GSE307660	Myeloma marrow	novel	ge2mol	2129958	0.8336380341771997
GSE307660	Myeloma marrow	novel	ge5mol	987911	0.9242947998352078
