gse	tissue	cls	n_reads	frac_of_splice_set
GSE307660	Myeloma marrow	FSM	222372578	0.45494330804534316
GSE307660	Myeloma marrow	ISM	41323693	0.08454251762135073
GSE307660	Myeloma marrow	NIC	35789686	0.07322071043644646
GSE307660	Myeloma marrow	NNC	189305886	0.38729346389685965
GSE276974	CCUS marrow	FSM	258344838	0.4480152257535389
GSE276974	CCUS marrow	ISM	67326612	0.11675614464725988
GSE276974	CCUS marrow	NIC	55467984	0.09619120539135248
GSE276974	CCUS marrow	NNC	195503553	0.3390374242078487
GSE288222	Heart	FSM	9749383	0.1848836782400175
GSE288222	Heart	ISM	8741254	0.16576589430841582
GSE288222	Heart	NIC	5665748	0.10744314078347549
GSE288222	Heart	NNC	28576139	0.5419072866680912
GSE178175	Cortex	FSM	1320514	0.056975055717820924
GSE178175	Cortex	ISM	4873801	0.2102856035850974
GSE178175	Cortex	NIC	3114508	0.13437893640930654
GSE178175	Cortex	NNC	13868232	0.5983604042877751
