gse	FSM	ISM	NIC	NNC	tissue	system	novel_frac
GSE283658	0.4580029595979417	0.1312013659164069	0.06414386943135848	0.34665180505429294	HSPC reprogramming	Blood/marrow	0.4107956744856514
GSE276974	0.4480152257535389	0.11675614464725988	0.09619120539135248	0.3390374242078487	CCUS marrow	Blood/marrow	0.43522862959920117
GSE307660	0.45494330804534316	0.08454251762135073	0.07322071043644646	0.38729346389685965	Myeloma marrow	Blood/marrow	0.4605141743333061
GSE283629	0.3658936592604981	0.1528894333769741	0.07689067862480713	0.40432622873772067	Neuron	Brain	0.4812169073625278
GSE178175	0.056975055717820924	0.2102856035850974	0.13437893640930654	0.5983604042877751	Cortex	Brain	0.7327393406970817
GSE289790	0.4453607055046337	0.13005171330675294	0.08030687629477357	0.34428070489383983	Prostate cancer	Cancer	0.4245875811886134
GSE301658	0.05453102969162998	0.2600763205360015	0.04804783244824776	0.6373448173241207	Glioma	Cancer	0.6853926497723685
GSE288222	0.1848836782400175	0.16576589430841582	0.10744314078347549	0.5419072866680912	Heart	Heart	0.6493504274515667
GSE248118	0.40617918992885294	0.17653777144977978	0.06691121311869311	0.3503718255026742	Benchmark cell line	Other/benchmark	0.4172830386213673
GSE303762	0.4011344300006685	0.14381119835073986	0.07308390955544132	0.38197046209315033	Benchmark (LongBench)	Other/benchmark	0.45505437164859164
GSE224045	0.37109547909138396	0.17232034676194358	0.06426162700133457	0.3923225471453379	scATAC-paired	Other/benchmark	0.45658417414667246
GSE274249	0.35400723748534485	0.1586818993369064	0.07428856116990322	0.41302230200784557	Long-isoform panel	Other/benchmark	0.4873108631777488
GSE212945	0.29267097544605825	0.18755800636998757	0.07738163460726356	0.4423893835766906	Single-cell multiome	Other/benchmark	0.5197710181839542
