cell_type	frac	recurrent_paths	private_paths	n_mol
B cell	0.1	15752.708333333334	41868.125	94949.29166666667
B cell	0.25	29274.666666666668	103405.33333333333	237374.16666666666
B cell	0.5	43733.375	202877.5	474748.875
B cell	0.75	53201.583333333336	298892.25	712123.25
B cell	1.0	59794.416666666664	391791.4166666667	949498.2083333334
CD4 T	0.1	17359.75	52137.5	164811.625
CD4 T	0.25	28952.0	127022.75	412030.125
CD4 T	0.5	39192.0	245489.625	824060.5
CD4 T	0.75	44776.125	357813.375	1236090.75
CD4 T	1.0	48130.25	464929.875	1648121.375
CD8 T	0.1	10805.75	30664.0	65949.875
CD8 T	0.25	19983.0	75674.375	164875.125
CD8 T	0.5	29513.75	148420.5	329750.75
CD8 T	0.75	35660.0	218598.875	494626.125
CD8 T	1.0	39834.0	286509.5	659501.875
Dendritic cell	0.1	3509.875	10705.791666666666	19716.208333333332
Dendritic cell	0.25	6563.166666666667	26416.083333333332	49291.708333333336
Dendritic cell	0.5	9901.708333333334	51741.291666666664	98584.04166666667
Dendritic cell	0.75	12170.166666666666	76196.54166666667	147876.08333333334
Dendritic cell	1.0	13800.208333333334	99910.95833333333	197168.66666666666
Erythroid	0.1	27268.791666666668	52402.5	135309.54166666666
Erythroid	0.25	50245.625	128939.45833333333	338274.5416666667
Erythroid	0.5	74649.83333333333	252274.125	676549.5833333334
Erythroid	0.75	90785.5	370655.4166666667	1014824.4583333334
Erythroid	1.0	102229.20833333333	484995.2916666667	1353099.7083333333
Granulo/Myeloid progenitor	0.1	1952.5	7265.5	12902.625
Granulo/Myeloid progenitor	0.25	3529.625	17859.625	32257.25
Granulo/Myeloid progenitor	0.5	5150.875	35058.25	64515.0
Granulo/Myeloid progenitor	0.75	6169.25	51619.375	96772.5
Granulo/Myeloid progenitor	1.0	6848.0	67673.25	129030.5
HSPC	0.1	13124.375	35209.875	84172.875
HSPC	0.25	23814.875	86839.25	210432.5
HSPC	0.5	34730.25	170124.5	420865.5
HSPC	0.75	41633.75	250319.75	631298.0
HSPC	1.0	46345.5	327849.375	841731.0
Malignant plasma cell	0.1	5603.285714285715	24306.071428571428	61221.142857142855
Malignant plasma cell	0.25	9800.42857142857	57432.642857142855	153053.64285714287
Malignant plasma cell	0.5	14070.07142857143	109404.14285714286	306107.5714285714
Malignant plasma cell	0.75	16846.85714285714	158577.5	459161.28571428574
Malignant plasma cell	1.0	18738.714285714286	205970.35714285713	612215.5
Monocyte	0.1	6780.25	28246.0	50395.375
Monocyte	0.25	12122.5	69067.375	125989.125
Monocyte	0.5	17644.125	134279.0	251978.75
Monocyte	0.75	21196.25	196843.5	377968.0
Monocyte	1.0	23631.25	257171.375	503957.875
Monocyte/Myeloid	0.1	42508.125	97865.4375	197334.6875
Monocyte/Myeloid	0.25	81281.125	241864.0625	493337.5625
Monocyte/Myeloid	0.5	124116.25	476048.375	986675.5625
Monocyte/Myeloid	0.75	153350.3125	703341.1875	1480013.3125
Monocyte/Myeloid	1.0	174615.3125	924620.75	1973351.625
NK	0.1	38190.625	97450.125	213202.625
NK	0.25	70899.0	240517.875	533007.25
NK	0.5	104999.375	471738.25	1066015.0
NK	0.75	126791.5	694634.75	1599022.75
NK	1.0	141682.125	909955.375	2132030.625
NK cell	0.1	663.25	8277.875	9241.75
NK cell	0.25	1341.4375	20516.375	23105.125
NK cell	0.5	2107.0625	40513.9375	46210.75
NK cell	0.75	2624.1875	60034.75	69316.125
NK cell	1.0	2996.0625	79092.0625	92422.0
Plasma cell	0.1	2805.5	11372.75	30866.5
Plasma cell	0.25	4645.5	25950.875	77167.0
Plasma cell	0.5	6393.625	48170.75	154334.375
Plasma cell	0.75	7469.375	68762.125	231501.5
Plasma cell	1.0	8179.375	88310.625	308669.0
T cell	0.1	10686.25	30344.0	60120.8125
T cell	0.25	19863.6875	74964.875	150302.8125
T cell	0.5	29685.8125	146966.75	300605.875
T cell	0.75	36196.3125	216393.9375	450908.875
T cell	1.0	40796.0625	283677.5	601212.4375
Unassigned	0.1	20486.625	55150.416666666664	115662.75
Unassigned	0.25	38144.208333333336	135966.95833333334	289157.5833333333
Unassigned	0.5	56925.958333333336	266573.875	578315.7083333334
Unassigned	0.75	69291.875	392587.9166666667	867473.5
Unassigned	1.0	77906.79166666667	514656.375	1156631.9166666667
