gse	tissue	cell_type	n_donors_avail	n_novel_paths	recurrent_ge2_donors	recurrent_frac
GSE307660	Myeloma marrow	Monocyte/Myeloid	16	1392596	423657	0.3042210375442698
GSE307660	Myeloma marrow	Erythroid	16	667966	193619	0.2898635559294934
GSE307660	Myeloma marrow	T cell	16	514061	140593	0.273494779802397
GSE307660	Myeloma marrow	B cell	16	335623	84726	0.2524439624221224
GSE307660	Myeloma marrow	Dendritic cell	16	203473	50864	0.24997911270782855
GSE307660	Myeloma marrow	Malignant plasma cell	16	516814	76826	0.14865309376293986
GSE307660	Myeloma marrow	NK cell	16	76463	10380	0.13575193230712893
GSE276974	CCUS marrow	Erythroid	9	969592	305211	0.3147829190009819
GSE276974	CCUS marrow	NK	9	927727	265416	0.28609278376073993
GSE276974	CCUS marrow	B cell	9	761518	216906	0.284833713713924
GSE276974	CCUS marrow	HSPC	9	329210	91039	0.2765377722426415
GSE276974	CCUS marrow	CD8 T	9	272424	73681	0.2704644231051596
GSE276974	CCUS marrow	CD4 T	9	621954	159373	0.25624563874498757
GSE276974	CCUS marrow	Granulo/Myeloid progenitor	9	57100	13397	0.23462346760070052
GSE276974	CCUS marrow	Dendritic cell	9	49791	9682	0.19445281275732562
GSE276974	CCUS marrow	Monocyte	9	239158	46419	0.19409344450112478
GSE276974	CCUS marrow	Plasma cell	9	192711	24440	0.1268220288411144
GSE178175	Cortex	Astrocyte	3	135926	19016	0.139899651280844
GSE178175	Cortex	Excitatory neuron	3	412561	56119	0.13602594525415634
GSE178175	Cortex	Oligodendrocyte	3	84728	9710	0.1146020205835143
GSE178175	Cortex	InN PVALB	3	114748	12450	0.10849862306968314
GSE178175	Cortex	Microglia	3	44162	4362	0.09877270051175219
GSE178175	Cortex	OPC	3	35408	3326	0.09393357433348395
GSE178175	Cortex	InN SST	3	14953	652	0.04360329030963686
