gse	n_reads	n_distinct_chains	n_molecules
GSE307660	1	1	91532087
GSE307660	2	1	45764425
GSE307660	2	2	2654414
GSE307660	3	1	26961566
GSE307660	3	2	2125803
GSE307660	3	3	151331
GSE307660	4	1	15324050
GSE307660	4	2	1518650
GSE307660	4	3	108892
GSE307660	4	4	27465
GSE307660	5	1	8553765
GSE307660	5	2	1016669
GSE307660	5	3	80683
GSE307660	5	4	22516
GSE307660	5	5	6930
GSE307660	6	1	4648599
GSE307660	6	2	642115
GSE307660	6	3	56341
GSE307660	6	4	16181
GSE307660	6	5	5936
GSE307660	6	6	2015
GSE307660	7	1	2499208
GSE307660	7	2	386423
GSE307660	7	3	37332
GSE307660	7	4	11376
GSE307660	7	5	4520
GSE307660	7	6	1816
GSE307660	8	1	1377347
GSE307660	8	2	240546
GSE307660	8	3	27714
GSE307660	8	4	8832
GSE307660	8	5	3528
GSE307660	8	6	1456
GSE307660	8	7	582
GSE307660	9	1	763017
GSE307660	9	2	144777
GSE307660	9	3	18367
GSE307660	9	4	6296
GSE307660	9	5	2720
GSE307660	9	6	1190
GSE307660	9	7	510
GSE307660	10	1	430694
GSE307660	10	2	90137
GSE307660	10	3	13810
GSE307660	10	4	4934
GSE307660	10	5	2103
GSE307660	10	6	931
GSE307660	10	7	430
GSE307660	10	8	217
GSE307660	11	1	247485
GSE307660	11	2	56889
GSE307660	11	3	10500
GSE307660	11	4	3908
GSE307660	11	5	1770
GSE307660	11	6	787
GSE307660	11	7	410
GSE307660	11	8	169
GSE307660	12	1	142948
GSE307660	12	2	36123
GSE307660	12	3	7889
GSE307660	12	4	2984
GSE307660	12	5	1392
GSE307660	12	6	663
GSE307660	13	1	82855
GSE307660	13	2	23448
GSE307660	13	3	6148
GSE307660	13	4	2634
GSE307660	13	5	1139
GSE307660	13	6	621
GSE307660	13	7	301
GSE307660	14	1	49350
GSE307660	14	2	15466
GSE307660	14	3	4892
GSE307660	14	4	2199
GSE307660	14	5	925
GSE307660	14	6	448
GSE307660	14	7	245
GSE307660	15	1	29836
GSE307660	15	2	10485
GSE307660	15	3	3895
GSE307660	15	4	1762
GSE307660	15	5	814
GSE307660	15	6	383
GSE307660	15	7	209
GSE307660	15	9	64
GSE307660	16	1	19050
GSE307660	16	2	7409
GSE307660	16	3	3163
GSE307660	16	4	1488
GSE307660	16	5	659
GSE307660	16	6	343
GSE307660	16	7	189
GSE307660	16	8	95
GSE307660	17	1	12599
GSE307660	17	2	5440
GSE307660	17	3	2682
GSE307660	17	4	1348
GSE307660	17	5	610
GSE307660	17	6	284
GSE307660	17	7	167
GSE307660	17	8	85
GSE307660	18	1	8828
GSE307660	18	2	4124
GSE307660	18	3	2228
GSE307660	18	4	1139
GSE307660	18	5	564
GSE307660	18	6	244
GSE307660	18	7	121
GSE307660	18	8	90
GSE307660	19	1	6458
GSE307660	19	2	3297
GSE307660	19	3	1865
GSE307660	19	4	979
GSE307660	19	5	461
GSE307660	19	6	229
GSE307660	19	7	151
GSE307660	19	8	72
GSE307660	20	1	4778
GSE307660	20	2	2610
GSE307660	20	3	1573
GSE307660	20	4	836
GSE307660	20	5	411
GSE307660	20	6	197
GSE307660	20	7	90
GSE307660	20	8	64
GSE307660	21	1	3603
GSE307660	21	2	2102
GSE307660	21	3	1300
GSE307660	21	4	758
GSE307660	21	5	337
GSE307660	21	6	205
GSE307660	21	7	97
GSE307660	22	1	2828
GSE307660	22	2	1750
GSE307660	22	3	1114
GSE307660	22	4	647
GSE307660	22	5	313
GSE307660	22	6	160
GSE307660	22	7	71
GSE307660	22	8	36
GSE307660	23	1	2174
GSE307660	23	2	1411
GSE307660	23	3	949
GSE307660	23	4	569
GSE307660	23	5	312
GSE307660	23	6	131
GSE307660	23	7	84
GSE307660	23	10	8
GSE307660	24	1	1870
GSE307660	24	2	1196
GSE307660	24	3	767
GSE307660	24	4	518
GSE307660	24	5	279
GSE307660	24	6	112
GSE307660	24	7	48
GSE307660	25	1	1547
GSE307660	25	2	923
GSE307660	25	3	674
GSE307660	25	4	429
GSE307660	25	5	253
GSE307660	25	6	107
GSE307660	25	7	65
GSE307660	25	8	25
GSE307660	26	1	1219
GSE307660	26	2	817
GSE307660	26	3	613
GSE307660	26	4	378
GSE307660	26	5	256
GSE307660	26	6	94
GSE307660	26	7	47
GSE307660	26	8	30
GSE307660	27	1	1030
GSE307660	27	2	683
GSE307660	27	3	555
GSE307660	27	4	347
GSE307660	27	5	205
GSE307660	27	6	95
GSE307660	27	7	38
GSE307660	27	8	29
GSE307660	28	1	823
GSE307660	28	2	621
GSE307660	28	3	418
GSE307660	28	4	355
GSE307660	28	5	196
GSE307660	28	6	85
GSE307660	28	7	51
GSE307660	28	8	14
GSE307660	29	1	701
GSE307660	29	2	522
GSE307660	29	3	353
GSE307660	29	4	291
GSE307660	29	5	167
GSE307660	29	6	91
GSE307660	29	7	47
GSE307660	29	8	18
GSE307660	30	1	594
GSE307660	30	2	439
GSE307660	30	3	316
GSE307660	30	4	256
GSE307660	30	5	166
GSE307660	30	6	77
GSE307660	30	7	43
GSE307660	30	8	19
GSE307660	31	1	500
GSE307660	31	2	391
GSE307660	31	3	286
GSE307660	31	4	213
GSE307660	31	5	157
GSE307660	31	6	80
GSE307660	31	7	47
GSE307660	31	8	23
GSE307660	32	1	401
GSE307660	32	2	342
GSE307660	32	3	240
GSE307660	32	4	234
GSE307660	32	5	125
GSE307660	32	6	79
GSE307660	32	7	34
GSE307660	32	8	21
GSE307660	32	9	12
GSE307660	33	1	378
GSE307660	33	2	303
GSE307660	33	3	205
GSE307660	33	4	196
GSE307660	33	5	119
GSE307660	33	6	73
GSE307660	33	7	37
GSE307660	33	8	18
GSE307660	34	1	285
GSE307660	34	2	274
GSE307660	34	3	208
GSE307660	34	4	143
GSE307660	34	5	109
GSE307660	34	6	53
GSE307660	34	7	33
GSE307660	34	8	9
GSE307660	34	9	10
GSE307660	35	1	236
GSE307660	35	2	209
GSE307660	35	3	164
GSE307660	35	4	122
GSE307660	35	5	80
GSE307660	35	6	63
GSE307660	35	7	34
GSE307660	35	8	19
GSE307660	35	10	5
GSE307660	36	1	218
GSE307660	36	2	204
GSE307660	36	3	152
GSE307660	36	4	137
GSE307660	36	5	98
GSE307660	36	6	43
GSE307660	36	7	26
GSE307660	36	8	18
GSE307660	37	1	190
GSE307660	37	2	169
GSE307660	37	3	156
GSE307660	37	4	133
GSE307660	37	5	93
GSE307660	37	6	45
GSE307660	37	7	22
GSE307660	37	8	11
GSE307660	38	1	196
GSE307660	38	2	160
GSE307660	38	3	121
GSE307660	38	4	111
GSE307660	38	5	69
GSE307660	38	6	53
GSE307660	38	7	33
GSE307660	38	8	11
GSE307660	38	9	7
GSE307660	39	1	142
GSE307660	39	2	146
GSE307660	39	3	98
GSE307660	39	4	74
GSE307660	39	5	55
GSE307660	39	6	45
GSE307660	39	7	23
GSE307660	39	8	14
GSE307660	39	9	5
GSE307660	40	2	122
GSE307660	40	3	84
GSE307660	40	4	77
GSE307660	40	5	62
GSE307660	40	6	36
GSE307660	40	7	26
GSE307660	40	8	9
GSE307660	40	9	5
GSE307660	41	1	99
GSE307660	41	2	100
GSE307660	41	3	67
GSE307660	41	4	74
GSE307660	41	5	64
GSE307660	41	6	36
GSE307660	41	7	23
GSE307660	41	8	11
GSE307660	41	9	5
GSE307660	42	1	101
GSE307660	42	2	105
GSE307660	42	3	84
GSE307660	42	4	66
GSE307660	42	5	59
GSE307660	42	6	42
GSE307660	42	7	16
GSE307660	42	8	6
GSE307660	42	9	10
GSE307660	43	1	77
GSE307660	43	2	98
GSE307660	43	3	70
GSE307660	43	4	64
GSE307660	43	5	62
GSE307660	43	6	35
GSE307660	43	7	17
GSE307660	43	8	11
GSE307660	43	9	9
GSE307660	44	2	80
GSE307660	44	3	50
GSE307660	44	4	51
GSE307660	44	5	48
GSE307660	44	6	28
GSE307660	44	7	13
GSE307660	44	8	6
GSE307660	44	9	6
GSE307660	45	2	77
GSE307660	45	3	42
GSE307660	45	4	50
GSE307660	45	5	26
GSE307660	45	6	35
GSE307660	45	7	15
GSE307660	45	8	10
GSE307660	45	9	5
GSE307660	46	1	64
GSE307660	46	2	75
GSE307660	46	3	41
GSE307660	46	4	45
GSE307660	46	5	30
GSE307660	46	6	29
GSE307660	46	7	14
GSE307660	46	8	6
GSE307660	46	9	7
GSE307660	47	2	50
GSE307660	47	3	49
GSE307660	47	4	29
GSE307660	47	5	38
GSE307660	47	6	30
GSE307660	47	7	13
GSE307660	47	8	8
GSE307660	47	9	10
