ct	transcript_id	count	frac
B cell	ENST00000348564	45.0	0.003767582049564635
B cell	ENST00000367364	2294.0	0.1920629604822505
B cell	ENST00000367367	502.0	0.04202947086403215
B cell	ENST00000367379	160.0	0.013395847287340924
B cell	ENST00000391970	20.0	0.0016744809109176155
B cell	ENST00000413409	102.0	0.00853985264567984
B cell	ENST00000418674	59.0	0.004939718687206966
B cell	ENST00000442510	1543.0	0.12918620227729405
B cell	ENST00000462363	93.0	0.0077863362357669125
B cell	ENST00000484135	1552.0	0.12993971868720697
B cell	ENST00000491302	13.0	0.0010884125920964502
B cell	ENST00000529828	62.0	0.005190890823844608
B cell	ENST00000530727	178.0	0.014902880107166777
B cell	ENST00000643513	7.0	0.0005860683188211655
B cell	ENST00000645247	2.0	0.00016744809109176155
B cell	ENST00000646230	2.0	0.00016744809109176155
B cell	ENST00000697630	4054.0	0.3394172806430007
B cell	ENST00000697632	40.0	0.003348961821835231
B cell	ENST00000697633	15.0	0.0012558606831882117
B cell	ENST00000697634	42.0	0.0035164099129269925
B cell	ENST00000697635	1159.0	0.09703616878767582
Dendritic cell	ENST00000348564	40.0	0.04540295119182747
Dendritic cell	ENST00000367364	374.0	0.4245175936435868
Dendritic cell	ENST00000367367	31.0	0.03518728717366629
Dendritic cell	ENST00000367379	36.0	0.04086265607264472
Dendritic cell	ENST00000391970	1.0	0.0011350737797956867
Dendritic cell	ENST00000413409	4.0	0.004540295119182747
Dendritic cell	ENST00000418674	1.0	0.0011350737797956867
Dendritic cell	ENST00000442510	62.0	0.07037457434733257
Dendritic cell	ENST00000484135	56.0	0.06356413166855845
Dendritic cell	ENST00000529828	2.0	0.0022701475595913734
Dendritic cell	ENST00000530727	40.0	0.04540295119182747
Dendritic cell	ENST00000643513	1.0	0.0011350737797956867
Dendritic cell	ENST00000697630	192.0	0.21793416572077184
Dendritic cell	ENST00000697632	1.0	0.0011350737797956867
Dendritic cell	ENST00000697635	40.0	0.04540295119182747
Erythroid	ENST00000348564	116.0	0.04288354898336414
Erythroid	ENST00000367364	795.0	0.29390018484288355
Erythroid	ENST00000367367	33.0	0.012199630314232901
Erythroid	ENST00000367379	89.0	0.03290203327171904
Erythroid	ENST00000391970	7.0	0.002587800369685767
Erythroid	ENST00000413409	27.0	0.009981515711645102
Erythroid	ENST00000418674	4.0	0.0014787430683918669
Erythroid	ENST00000442510	101.0	0.03733826247689464
Erythroid	ENST00000462363	14.0	0.005175600739371534
Erythroid	ENST00000484135	384.0	0.1419593345656192
Erythroid	ENST00000491302	5.0	0.0018484288354898336
Erythroid	ENST00000529828	12.0	0.0044362292051756
Erythroid	ENST00000530727	54.0	0.019963031423290204
Erythroid	ENST00000645247	1.0	0.0003696857670979667
Erythroid	ENST00000646230	2.0	0.0007393715341959334
Erythroid	ENST00000697630	731.0	0.2702402957486137
Erythroid	ENST00000697631	7.0	0.002587800369685767
Erythroid	ENST00000697632	27.0	0.009981515711645102
Erythroid	ENST00000697633	2.0	0.0007393715341959334
Erythroid	ENST00000697634	1.0	0.0003696857670979667
Erythroid	ENST00000697635	293.0	0.10831792975970425
Monocyte	ENST00000348564	987.0	0.02582890639311229
Monocyte	ENST00000367364	22697.0	0.593960170622563
Monocyte	ENST00000367367	539.0	0.014105147462905294
Monocyte	ENST00000367379	743.0	0.019443644832910265
Monocyte	ENST00000391970	45.0	0.001177609713971685
Monocyte	ENST00000413409	376.0	0.009839583387852301
Monocyte	ENST00000418674	30.0	0.00078507314264779
Monocyte	ENST00000427110	6.0	0.00015701462852955801
Monocyte	ENST00000442510	575.0	0.015047235234082641
Monocyte	ENST00000462363	373.0	0.009761076073587522
Monocyte	ENST00000484135	2770.0	0.07248842017114594
Monocyte	ENST00000491302	20.0	0.0005233820950985267
Monocyte	ENST00000529828	633.0	0.01656504330986837
Monocyte	ENST00000530727	1741.0	0.04556041137832675
Monocyte	ENST00000643513	150.0	0.00392536571323895
Monocyte	ENST00000645247	14.0	0.00036636746656896867
Monocyte	ENST00000646230	16.0	0.00041870567607882135
