gene	pval	effect	hi_ct	lo_ct	T	qval	sig
SH3BGRL	0.000999000999000999	0.5861694677871148	NK	Dendritic cell	0.0007099866486005579	0.6385836385836386	False
TM9SF4	0.000999000999000999	0.13657711151598684	Plasma cell	B cell	0.0007533844577401704	0.6385836385836386	False
ZNF701	0.000999000999000999	0.38704318936877075	T cell	Plasma cell	0.002443259327061524	0.6385836385836386	False
PHF6	0.000999000999000999	0.6285714285714286	NK	Progenitor	0.00104551134696124	0.6385836385836386	False
EVI5	0.000999000999000999	0.22403174603174608	Monocyte	T cell	0.00043785380951261697	0.6385836385836386	False
WDFY2	0.000999000999000999	0.13247821563272205	Dendritic cell	Plasma cell	8.077345006727413e-05	0.6385836385836386	False
PLAUR	0.000999000999000999	0.5944309927360774	Progenitor	Plasma cell	0.000254616149185585	0.6385836385836386	False
AKR1C3	0.000999000999000999	0.4095238095238095	B cell	Monocyte	0.00036334558566985793	0.6385836385836386	False
FAM241A	0.000999000999000999	0.32657657657657657	Plasma cell	Progenitor	0.0010663096621894097	0.6385836385836386	False
TCF4	0.000999000999000999	0.1234452326186149	Monocyte	T cell	0.00019742373508017903	0.6385836385836386	False
IRF7	0.000999000999000999	0.5212464589235127	NK	Plasma cell	0.0009932173759403687	0.6385836385836386	False
CHD1L	0.000999000999000999	0.3888888888888889	Progenitor	T cell	0.0017954217994484885	0.6385836385836386	False
SCAND1	0.000999000999000999	0.11582308748438053	Dendritic cell	Monocyte	0.00030811399183008567	0.6385836385836386	False
FAM110A	0.000999000999000999	0.5431034482758621	T cell	Dendritic cell	0.001388641354849889	0.6385836385836386	False
DNMBP	0.000999000999000999	0.16973913043478261	Dendritic cell	Erythroid	0.0011094770736756955	0.6385836385836386	False
GNAQ	0.000999000999000999	0.13785488558628306	Plasma cell	B cell	0.00010255247627202077	0.6385836385836386	False
MGST3	0.000999000999000999	0.3627906976744186	NK	B cell	0.00010841565887723229	0.6385836385836386	False
ST3GAL3	0.000999000999000999	0.22023809523809523	Plasma cell	NK	0.0007612129880335833	0.6385836385836386	False
CD74	0.001998001998001998	0.49094512079493313	Progenitor	T cell	0.0012210225027033887	0.686239134000328	False
ERO1B	0.001998001998001998	0.2468598886895167	Plasma cell	Dendritic cell	0.0009194396674402606	0.686239134000328	False
ENSG00000290683	0.001998001998001998	0.37810448187268053	T cell	Erythroid	0.0037147900566981452	0.686239134000328	False
MBNL1-AS1	0.001998001998001998	0.35540233340222066	B cell	Monocyte	0.0014177229854857344	0.686239134000328	False
UTP23	0.001998001998001998	0.1475240206947524	NK	Monocyte	0.0006664059059970867	0.686239134000328	False
UROS	0.001998001998001998	0.34901335761991503	B cell	Plasma cell	0.001240369692101635	0.686239134000328	False
GALNS	0.001998001998001998	0.2121212121212121	Progenitor	Erythroid	0.0010120086346695	0.686239134000328	False
CEP63	0.001998001998001998	0.33340961098398164	NK	Plasma cell	0.0012266763485559557	0.686239134000328	False
CRACD	0.001998001998001998	0.14661654135338348	Plasma cell	NK	0.0003296197863827113	0.686239134000328	False
CPVL	0.001998001998001998	0.2342405008260151	Progenitor	Plasma cell	0.000245066220043571	0.686239134000328	False
COX4I1	0.001998001998001998	0.4320520506044741	Dendritic cell	Progenitor	0.00017858897101088412	0.686239134000328	False
CCDC126	0.001998001998001998	0.45400432900432897	Erythroid	Dendritic cell	0.005061216436414364	0.686239134000328	False
FCHO2	0.001998001998001998	0.17312212570260604	Progenitor	Monocyte	0.0004301094443688252	0.686239134000328	False
KARS1	0.001998001998001998	0.35136785539814364	Monocyte	Progenitor	0.00437397379278363	0.686239134000328	False
DNAJC24	0.002997002997002997	0.4399270388326213	NK	Plasma cell	0.0007833125454702092	0.686239134000328	False
RCL1	0.002997002997002997	0.26450592209347074	Erythroid	Plasma cell	0.00039578919208899127	0.686239134000328	False
DDX28	0.002997002997002997	0.17222525970475672	T cell	NK	0.0008034754487743834	0.686239134000328	False
ATP5PB	0.002997002997002997	0.33818181818181825	NK	Plasma cell	0.0013636820628123254	0.686239134000328	False
ENDOV	0.002997002997002997	0.33302253302253304	Plasma cell	B cell	0.001554839217440714	0.686239134000328	False
ZSWIM6	0.002997002997002997	0.2420650189122212	Progenitor	Plasma cell	0.0007575505694858264	0.686239134000328	False
CORO2B	0.002997002997002997	0.26016949152542374	T cell	Erythroid	0.002417125602923762	0.686239134000328	False
CENPC	0.002997002997002997	0.16226276435480425	Plasma cell	T cell	0.00013141730635585403	0.686239134000328	False
NCAPH2	0.002997002997002997	0.8821428571428571	Dendritic cell	Plasma cell	0.0003422040350168058	0.686239134000328	False
ADH5	0.002997002997002997	0.23764721808582645	Dendritic cell	Plasma cell	0.0007038222668668645	0.686239134000328	False
FLI1	0.002997002997002997	0.3352961984227721	Progenitor	Dendritic cell	0.0002433187746760313	0.686239134000328	False
ADAM28	0.002997002997002997	0.4511784511784511	NK	Dendritic cell	0.0004109475567884387	0.686239134000328	False
PAXBP1-AS1	0.002997002997002997	0.20098039215686275	NK	Progenitor	0.0019515418329831794	0.686239134000328	False
PRIM1	0.003996003996003996	0.5900163666121113	T cell	Progenitor	0.0005251476764386602	0.686239134000328	False
GRINA	0.003996003996003996	0.7563157894736842	B cell	Dendritic cell	0.0004188942144532626	0.686239134000328	False
COIL	0.003996003996003996	0.24380165289256195	Progenitor	Dendritic cell	0.0006251287768822905	0.686239134000328	False
EMD	0.003996003996003996	0.65625	Dendritic cell	NK	0.0027687399807126215	0.686239134000328	False
RNF168	0.003996003996003996	0.2876226843332107	Plasma cell	Monocyte	0.000616853140016588	0.686239134000328	False
BNIP3L	0.003996003996003996	0.281822018664124	T cell	Plasma cell	0.0005390266329209068	0.686239134000328	False
PXMP4	0.003996003996003996	0.7124741200828157	T cell	Plasma cell	0.0019426458975804492	0.686239134000328	False
ANKRA2	0.003996003996003996	0.3575050709939148	Dendritic cell	NK	0.0011428302576495495	0.686239134000328	False
ENSG00000290948	0.003996003996003996	0.3618187061424589	NK	Plasma cell	0.001978912336986018	0.686239134000328	False
PARP1	0.003996003996003996	0.23446811208317486	Plasma cell	Dendritic cell	0.0012653966513560084	0.686239134000328	False
PRKX	0.003996003996003996	0.1586542201478024	Plasma cell	Monocyte	0.0003553745372925325	0.686239134000328	False
ENSG00000286242	0.003996003996003996	0.3318062827225131	T cell	Dendritic cell	0.0012480343052801396	0.686239134000328	False
CD99L2	0.003996003996003996	0.2246579476861167	T cell	NK	0.0019099325812985735	0.686239134000328	False
MLX	0.003996003996003996	0.41438816674137163	Plasma cell	NK	0.001449956506615595	0.686239134000328	False
FBXO38	0.003996003996003996	0.32300962379702536	T cell	Dendritic cell	0.0013532544751382793	0.686239134000328	False
CYTH2	0.003996003996003996	0.3778353057199211	Plasma cell	Monocyte	0.002005613126337954	0.686239134000328	False
RPS2	0.003996003996003996	0.49241825243011655	T cell	Progenitor	0.00033051883159756893	0.686239134000328	False
EBP	0.003996003996003996	0.4813350522847729	Monocyte	Progenitor	0.0029948377779004188	0.686239134000328	False
SPN	0.003996003996003996	0.4487004103967168	NK	B cell	0.0012574614803309643	0.686239134000328	False
ENSG00000272256	0.003996003996003996	0.5747552149851001	Dendritic cell	NK	0.00014702419395820585	0.686239134000328	False
POLK	0.003996003996003996	0.1948219794880347	Monocyte	Plasma cell	0.0004059271814518186	0.686239134000328	False
CTSO	0.003996003996003996	0.5097402597402597	Progenitor	Plasma cell	0.0026010615040368713	0.686239134000328	False
SAP18	0.004995004995004995	0.17927923546433872	Dendritic cell	Progenitor	0.0001854102758713339	0.7368272752888138	False
PTPRS	0.004995004995004995	0.19540669856459325	Plasma cell	Erythroid	0.0020655055901910627	0.7368272752888138	False
NDUFS2	0.004995004995004995	0.1164817520359897	T cell	Erythroid	0.0009929155447715961	0.7368272752888138	False
HMGB1	0.004995004995004995	0.4568799518588563	Progenitor	Dendritic cell	9.7611358169858e-05	0.7368272752888138	False
BDP1	0.004995004995004995	0.16630061514075184	B cell	Plasma cell	0.00039070222715866215	0.7368272752888138	False
FKTN	0.004995004995004995	0.2245581666342979	Plasma cell	B cell	0.0013441137607852233	0.7368272752888138	False
SLC38A10	0.004995004995004995	0.26322115384615385	Dendritic cell	Erythroid	0.0017858456860383217	0.7368272752888138	False
CLTA	0.004995004995004995	0.2800908026487188	Plasma cell	Monocyte	0.000284828744792134	0.7368272752888138	False
CNPY2	0.004995004995004995	0.21727395411605938	B cell	NK	0.0023098513201855026	0.7368272752888138	False
ZNF776	0.004995004995004995	0.43298358891579225	NK	Monocyte	0.001902981510264632	0.7368272752888138	False
RNMT	0.004995004995004995	0.49639357025096176	Plasma cell	Progenitor	0.00023051563166685458	0.7368272752888138	False
BCKDHA	0.005994005994005994	0.7124423963133641	Progenitor	Plasma cell	0.0013987836430372034	0.7578794831542084	False
IKBIP	0.005994005994005994	0.32512539899680803	Progenitor	T cell	0.001694225459578827	0.7578794831542084	False
SPAG9	0.005994005994005994	0.1467663328917741	Progenitor	T cell	0.000307161013299794	0.7578794831542084	False
MAPKAPK2	0.005994005994005994	0.38378378378378375	Dendritic cell	Progenitor	0.0010068191110544605	0.7578794831542084	False
PITPNA	0.005994005994005994	0.19010357815442558	NK	Plasma cell	0.0007508016653367034	0.7578794831542084	False
CNNM2	0.005994005994005994	0.20197044334975367	NK	Dendritic cell	0.0006670630980026604	0.7578794831542084	False
ZNF664	0.005994005994005994	0.3702463054187192	Progenitor	Plasma cell	0.004441663825338317	0.7578794831542084	False
PCDH9	0.005994005994005994	0.25450734984477674	Plasma cell	NK	0.0004992991835826867	0.7578794831542084	False
ADAM19	0.005994005994005994	0.19823321554770318	Progenitor	Plasma cell	0.000432205044088419	0.7578794831542084	False
UBXN2B	0.005994005994005994	0.19844053529030864	Progenitor	T cell	0.0005510872161061236	0.7578794831542084	False
CYBB	0.005994005994005994	0.2665039734684938	Plasma cell	Monocyte	0.00042342218481656967	0.7578794831542084	False
HEXD	0.005994005994005994	0.24864864864864866	NK	Dendritic cell	0.0012727290489725732	0.7578794831542084	False
MIS18A	0.005994005994005994	0.595250944414463	Monocyte	Plasma cell	0.0005693016513819738	0.7578794831542084	False
RSL1D1-DT	0.006993006993006993	0.24455128205128207	Plasma cell	NK	0.0010955004796231512	0.7612255294374499	False
NARF	0.006993006993006993	0.36221876326588365	Plasma cell	T cell	0.00037377940677612486	0.7612255294374499	False
C18orf32	0.006993006993006993	0.18996966978512542	Progenitor	Monocyte	0.002488330303189128	0.7612255294374499	False
INVS	0.006993006993006993	0.1386784950470587	Dendritic cell	Plasma cell	0.00014324824951613416	0.7612255294374499	False
SKA3	0.006993006993006993	0.5583972719522592	Dendritic cell	Plasma cell	0.0006674810896276854	0.7612255294374499	False
ABCC4	0.006993006993006993	0.2111801242236025	NK	Plasma cell	0.00018028530991974373	0.7612255294374499	False
ZHX1	0.006993006993006993	0.24117647058823527	Progenitor	Plasma cell	0.0009442568683919849	0.7612255294374499	False
EFCAB13	0.006993006993006993	0.2807486631016043	Monocyte	NK	0.0010966635963798213	0.7612255294374499	False
UNC119	0.006993006993006993	0.282051282051282	Dendritic cell	Progenitor	0.0023655278758029975	0.7612255294374499	False
CSF2RA	0.006993006993006993	0.16547936266246122	Plasma cell	Dendritic cell	0.00012265739461632177	0.7612255294374499	False
JAML	0.006993006993006993	0.5620567375886525	Plasma cell	NK	0.00019368287528192214	0.7612255294374499	False
RFC4	0.007992007992007992	0.5154163393558523	Monocyte	Progenitor	0.001129958441751257	0.7612255294374499	False
ZSCAN29	0.007992007992007992	0.3	B cell	Progenitor	0.003996907182057333	0.7612255294374499	False
TREX1	0.007992007992007992	0.4455534038432891	Erythroid	Plasma cell	0.0046899664635867925	0.7612255294374499	False
FAM104A	0.007992007992007992	0.40109225830658274	Progenitor	T cell	0.0006319956413255763	0.7612255294374499	False
ENSG00000249207	0.007992007992007992	0.0953147353361945	Dendritic cell	T cell	0.0010284970919410175	0.7612255294374499	False
CD247	0.007992007992007992	0.3393117831074035	Plasma cell	T cell	0.0002533499771433661	0.7612255294374499	False
CERS4	0.007992007992007992	0.14044327896054637	Plasma cell	NK	0.0007178863469273143	0.7612255294374499	False
