cell_type	ENSMUST00000172812	ENSMUST00000245150	difference
Neural crest	0.2318840579710145	0.01932367149758454	-0.21256038647342995
Erythroid3	0.21304347826086956	0.075	-0.13804347826086955
Endothelium	0.19042316258351893	0.14699331848552338	-0.04342984409799555
Cardiomyocytes	0.18040435458786935	0.13841368584758942	-0.04199066874027993
FB MB HB	0.17664449371766444	0.15668883961566887	-0.019955654101995568
Pharyngeal mesoderm	0.1791958041958042	0.1687062937062937	-0.010489510489510495
ExE mesoderm	0.20342857142857143	0.19314285714285714	-0.010285714285714287
Gut	0.18857901726427623	0.18393094289508632	-0.004648074369189903
Spinal cord	0.17410714285714285	0.17261904761904762	-0.0014880952380952328
Paraxial mesoderm	0.1805993690851735	0.18138801261829654	0.0007886435331230512
Somitic mesoderm	0.17350157728706625	0.18506834910620398	0.011566771819137733
Parietal endoderm	0.2077375946173255	0.2220353238015139	0.014297729184188396
Erythroid2	0.19241573033707865	0.20786516853932585	0.015449438202247201
NMP	0.16116504854368932	0.1825242718446602	0.02135922330097087
Intermediate mesoderm	0.16622340425531915	0.19281914893617022	0.026595744680851074
Mesenchyme	0.1725774225774226	0.2002997002997003	0.0277222777222777
Notochord	0.16	0.19	0.03
ExE endoderm	0.17085216808973716	0.2041687594173782	0.03331659132764103
PGC	0.17164179104477612	0.208955223880597	0.03731343283582089
Surface ectoderm	0.1571627260083449	0.20166898470097358	0.04450625869262867
Caudal epiblast	0.17407878017789072	0.21982210927573062	0.0457433290978399
Erythroid1	0.15995397008055237	0.20713463751438435	0.04718066743383198
HE progenitor	0.17703349282296652	0.23205741626794257	0.05502392344497606
Allantois	0.15705128205128205	0.21474358974358973	0.05769230769230768
Primitive Streak	0.17958311063602353	0.23997862105825762	0.060395510422234094
Caudal mesoderm	0.15789473684210525	0.2236842105263158	0.06578947368421054
Rostral neurectoderm	0.15353968740422924	0.21973643885994484	0.0661967514557156
Visceral endoderm	0.15373563218390804	0.2260536398467433	0.07231800766283525
Blood progenitor 2	0.1386255924170616	0.22156398104265404	0.08293838862559244
Nascent mesoderm	0.15671641791044777	0.240205223880597	0.08348880597014924
Blood progenitor 1	0.15625	0.25	0.09375
Epiblast	0.18222823635543528	0.27776274244474514	0.09553450608930986
Mixed mesoderm	0.1580547112462006	0.2553191489361702	0.09726443768996959
ExE ectoderm	0.1766029246344207	0.2807649043869516	0.10416197975253091
Definitive endoderm	0.13428571428571429	0.2438095238095238	0.10952380952380952
Anterior PS	0.11347517730496454	0.24822695035460993	0.1347517730496454
