biological_unit	gene	monocyte_label_monocyte_role_molecules	monocyte_label_t_cell_role_molecules	monocyte_label_monocyte_role_usage	t_cell_label_monocyte_role_molecules	t_cell_label_t_cell_role_molecules	t_cell_label_monocyte_role_usage	monocyte_minus_t_cell_usage
mm00075	CCND3	204	36	0.85	0	20	0.0	0.85
mm00098	CCND3	110	20	0.8461538461538461	4	96	0.04	0.8061538461538461
mm00099	CCND3	53	2	0.9636363636363636	13	102	0.11304347826086956	0.850592885375494
mm00265	CCND3	212	91	0.6996699669966997	7	19	0.2692307692307692	0.4304391977659305
omb1791	CCND3	16	2	0.8888888888888888	6	54	0.1	0.7888888888888889
omb1798	CCND3	22	2	0.9166666666666666	3	120	0.024390243902439025	0.8922764227642276
omb1846	CCND3	10	2	0.8333333333333334	5	45	0.1	0.7333333333333334
omb2148	CCND3	91	12	0.883495145631068	7	44	0.13725490196078433	0.7462402436702837
orb1444	CCND3	218	48	0.8195488721804511	14	61	0.18666666666666668	0.6328822055137845
orb4718	CCND3	209	12	0.9457013574660633	4	18	0.18181818181818182	0.7638831756478814
orb7320	CCND3	82	26	0.7592592592592593	5	13	0.2777777777777778	0.4814814814814815
prom00006	CCND3	14	3	0.8235294117647058	5	14	0.2631578947368421	0.5603715170278638
prom00016	CCND3	52	10	0.8387096774193549	8	214	0.036036036036036036	0.8026736413833189
mm00075	CUTA	135	65	0.675	2	19	0.09523809523809523	0.5797619047619048
mm00098	CUTA	249	74	0.7708978328173375	89	195	0.31338028169014087	0.4575175511271966
mm00099	CUTA	72	38	0.6545454545454545	61	139	0.305	0.34954545454545455
mm00265	CUTA	328	138	0.703862660944206	7	26	0.21212121212121213	0.49174144882299387
omb1791	CUTA	32	9	0.7804878048780488	26	74	0.26	0.5204878048780488
omb1798	CUTA	29	8	0.7837837837837838	39	117	0.25	0.5337837837837838
omb1846	CUTA	46	14	0.7666666666666667	42	112	0.2727272727272727	0.493939393939394
omb2148	CUTA	531	170	0.7574893009985735	154	310	0.33189655172413796	0.4255927492744355
orb1444	CUTA	287	127	0.6932367149758454	17	57	0.22972972972972974	0.46350698524611567
orb4718	CUTA	178	109	0.6202090592334495	9	24	0.2727272727272727	0.3474817865061768
orb7320	CUTA	117	37	0.7597402597402597	9	15	0.375	0.3847402597402597
prom00006	CUTA	15	13	0.5357142857142857	7	14	0.3333333333333333	0.20238095238095238
prom00016	CUTA	105	54	0.660377358490566	140	416	0.2517985611510791	0.4085787973394869
mm00075	EMP3	630	3629	0.14792204742897394	3	58	0.04918032786885246	0.09874171956012148
mm00098	EMP3	2036	6892	0.22804659498207885	254	802	0.24053030303030304	-0.012483708048224185
mm00099	EMP3	1126	3215	0.25938723796360286	219	965	0.18496621621621623	0.07442102174738663
mm00265	EMP3	317	5600	0.05357444651005577	12	193	0.05853658536585366	-0.004962138855797889
omb1791	EMP3	25	355	0.06578947368421052	21	328	0.06017191977077364	0.005617553913436886
omb1798	EMP3	22	284	0.0718954248366013	23	448	0.04883227176220807	0.02306315307439323
omb1846	EMP3	31	342	0.08310991957104558	22	416	0.0502283105022831	0.032881609068762474
omb2148	EMP3	210	4465	0.044919786096256686	48	1170	0.03940886699507389	0.005510919101182794
orb1444	EMP3	429	5548	0.07177513802911159	16	306	0.049689440993788817	0.022085697035322774
orb4718	EMP3	619	3844	0.13869594443199643	3	207	0.014285714285714285	0.12441023014628214
orb7320	EMP3	224	2707	0.0764244285226885	5	71	0.06578947368421052	0.010634954838477984
