gene	n_donors	n_studies	n_donors_imbalanced	pooled_depth	pooled_ratio	study_baseline	pooled_deviation	pval	qval	sig_imbalanced	recurrent
CNDP2	67.0	15.0	66.0	47900.0	0.344384133611691	0.47696032355249296	-0.13257618994080195	0.0	0.0	True	True
COX4I1	66.0	14.0	64.0	377746.0	0.3583121992026388	0.47880474874526957	-0.12049254954263078	0.0	0.0	True	True
NME3	65.0	14.0	64.0	46277.0	0.6144088856235279	0.4799822101006182	0.1344266755229097	0.0	0.0	True	True
COQ4	63.0	15.0	63.0	24729.0	0.2844029277366655	0.4817322007812976	-0.1973292730446321	0.0	0.0	True	True
CIAO2A	62.0	15.0	61.0	50989.0	0.5938143521151621	0.47928630631061636	0.11452804580454573	0.0	0.0	True	True
FUS	63.0	14.0	61.0	117278.0	0.6362318593427583	0.4756463538618357	0.1605855054809226	0.0	0.0	True	True
NAA16	72.0	15.0	61.0	56799.0	0.5873166781105301	0.4769482336445484	0.11036844446598171	0.0	0.0	True	True
N6AMT1	70.0	15.0	61.0	14989.0	0.3685369270798586	0.4816112457730509	-0.11307431869319234	5.907625115259949e-169	1.9170320354505725e-167	True	True
FAM3A	65.0	15.0	60.0	20495.0	0.657379848743596	0.4783630843923293	0.17901676435126673	0.0	0.0	True	True
UBE2I	61.0	14.0	60.0	97325.0	0.3389057282301567	0.4788359337653382	-0.13993020553518148	0.0	0.0	True	True
ABCA2	59.0	15.0	59.0	14812.0	0.33223062381852553	0.4828165280526728	-0.15058590423414725	1.785701989008203e-294	9.898079987961765e-293	True	True
ING1	60.0	14.0	58.0	13775.0	0.6734664246823956	0.4761389617254292	0.1973274629569664	0.0	0.0	True	True
NDUFV2	75.0	15.0	58.0	180308.0	0.29186724937329456	0.4685831110497071	-0.17671586167641257	0.0	0.0	True	True
PQBP1	59.0	14.0	58.0	7236.0	0.35710337202874515	0.48414238823111555	-0.1270390162023704	1.0693478580068267e-103	2.1395534816751563e-102	True	True
