study	run	cell_type	class	reads
GSE307660	SRR35267327	B cell	A	87
GSE307660	SRR35267327	B cell	AB	337
GSE307660	SRR35267327	B cell	ABC	3219
GSE307660	SRR35267327	B cell	AC	4
GSE307660	SRR35267327	B cell	B	46
GSE307660	SRR35267327	B cell	BC	255
GSE307660	SRR35267327	B cell	C	3
GSE307660	SRR35267327	B cell	RO	31
GSE307660	SRR35267327	B cell	other	28
GSE307660	SRR35267327	Dendritic cell	B	64
GSE307660	SRR35267327	Dendritic cell	RO	34
GSE307660	SRR35267327	Erythroid	RO	40
GSE307660	SRR35267327	Monocyte / myeloid	A	15
GSE307660	SRR35267327	Monocyte / myeloid	AB	145
GSE307660	SRR35267327	Monocyte / myeloid	ABC	22
GSE307660	SRR35267327	Monocyte / myeloid	B	2792
GSE307660	SRR35267327	Monocyte / myeloid	BC	197
GSE307660	SRR35267327	Monocyte / myeloid	C	7
GSE307660	SRR35267327	Monocyte / myeloid	RO	2054
GSE307660	SRR35267327	Monocyte / myeloid	other	35
GSE307660	SRR35267327	NK	A	7
GSE307660	SRR35267327	NK	AB	35
GSE307660	SRR35267327	NK	ABC	15
GSE307660	SRR35267327	NK	B	50
GSE307660	SRR35267327	NK	BC	14
GSE307660	SRR35267327	NK	RO	13
GSE307660	SRR35267327	NK	other	1
GSE307660	SRR35267327	Plasma cell	ABC	2
GSE307660	SRR35267327	Plasma cell	B	23
GSE307660	SRR35267327	Plasma cell	BC	6
GSE307660	SRR35267327	Plasma cell	RO	6
GSE307660	SRR35267327	T cell	A	15
GSE307660	SRR35267327	T cell	AB	35
GSE307660	SRR35267327	T cell	ABC	36
GSE307660	SRR35267327	T cell	B	144
GSE307660	SRR35267327	T cell	BC	69
GSE307660	SRR35267327	T cell	RO	22
GSE307660	SRR35267327	Unassigned	A	102
GSE307660	SRR35267327	Unassigned	AB	1170
GSE307660	SRR35267327	Unassigned	ABC	962
GSE307660	SRR35267327	Unassigned	AC	6
GSE307660	SRR35267327	Unassigned	B	3879
