study	cell_type	acceptor	reads	frac	total_reads	runs
GSE276974	B cell	exon 7 (skip all)	1609	0.07325957291808952	21963	14
GSE276974	B cell	exon A	16246	0.7396985839821518	21963	14
GSE276974	B cell	exon B	4100	0.18667759413559168	21963	14
GSE276974	B cell	exon C	8	0.00036424896416700813	21963	14
GSE276974	Monocyte	exon 7 (skip all)	1471	0.28568654107593705	5149	13
GSE276974	Monocyte	exon A	1060	0.20586521654690232	5149	13
GSE276974	Monocyte	exon B	2605	0.5059234802874345	5149	13
GSE276974	Monocyte	exon C	13	0.0025247620897261604	5149	13
GSE276974	NK	exon 7 (skip all)	4736	0.08606683991495084	55027	13
GSE276974	NK	exon A	32483	0.5903102113507914	55027	13
GSE276974	NK	exon B	17748	0.32253257491776766	55027	13
GSE276974	NK	exon C	60	0.0010903738164900866	55027	13
GSE276974	T cell	exon 7 (skip all)	28319	0.4011019361783494	70603	13
GSE276974	T cell	exon A	13125	0.18589861620611023	70603	13
GSE276974	T cell	exon B	29068	0.41171055054317807	70603	13
GSE276974	T cell	exon C	91	0.0012888970723623642	70603	13
GSE307660	B cell	exon 7 (skip all)	76	0.0035879520347464828	21182	11
GSE307660	B cell	exon A	19229	0.9077990746860541	21182	11
GSE307660	B cell	exon B	1853	0.08747993579454254	21182	11
GSE307660	B cell	exon C	24	0.001133037484656784	21182	11
GSE307660	Monocyte	exon 7 (skip all)	26445	0.30515456779866373	86661	14
GSE307660	Monocyte	exon A	14630	0.16881873045545287	86661	14
GSE307660	Monocyte	exon B	45469	0.5246766134708808	86661	14
GSE307660	Monocyte	exon C	117	0.0013500882750025964	86661	14
GSE307660	NK	exon 7 (skip all)	465	0.16595289079229122	2802	8
GSE307660	NK	exon A	1554	0.5546038543897216	2802	8
GSE307660	NK	exon B	783	0.27944325481798715	2802	8
GSE307660	T cell	exon 7 (skip all)	7446	0.22154120797381732	33610	17
GSE307660	T cell	exon A	15228	0.45307944064266586	33610	17
GSE307660	T cell	exon B	10911	0.324635525141327	33610	17
GSE307660	T cell	exon C	25	0.0007438262421898245	33610	17
