study	run	cell_type	RO	n	RO_frac
GSE276974	ONT10X2_10	B cell	133	1435	0.09268292682926829
GSE276974	ONT10X2_10	Monocyte	256	870	0.2942528735632184
GSE276974	ONT10X2_10	NK	144	3876	0.03715170278637771
GSE276974	ONT10X2_10	T cell	5338	11985	0.4453900709219858
GSE276974	ONT10X2_19	B cell	95	1823	0.05211190345584202
GSE276974	ONT10X2_19	Monocyte	70	402	0.17412935323383086
GSE276974	ONT10X2_19	NK	95	2051	0.046318868844466114
GSE276974	ONT10X2_19	T cell	3320	11169	0.29725132061957205
GSE276974	ONT10X2_20	B cell	125	1817	0.06879471656576774
GSE276974	ONT10X2_20	Monocyte	42	289	0.1453287197231834
GSE276974	ONT10X2_20	NK	70	2086	0.03355704697986577
GSE276974	ONT10X2_20	T cell	3433	11400	0.301140350877193
GSE276974	ONT10X2_3	B cell	278	1972	0.140973630831643
GSE276974	ONT10X2_3	NK	1276	7808	0.16342213114754098
GSE276974	ONT10X2_3	T cell	176	373	0.4718498659517426
GSE276974	ONT10X2_6	B cell	78	1529	0.051013734466971876
GSE276974	ONT10X2_6	Monocyte	84	266	0.3157894736842105
GSE276974	ONT10X2_6	NK	443	6477	0.06839586228192064
GSE276974	ONT10X2_6	T cell	1108	2002	0.5534465534465535
GSE276974	ONT10X3_13	B cell	113	1191	0.0948782535684299
GSE276974	ONT10X3_13	Monocyte	81	147	0.5510204081632653
GSE276974	ONT10X3_13	NK	185	1483	0.12474713418745785
GSE276974	ONT10X3_13	T cell	1303	1958	0.6654749744637385
GSE276974	SRR30639545	B cell	84	2322	0.03617571059431524
GSE276974	SRR30639545	Monocyte	46	342	0.13450292397660818
GSE276974	SRR30639545	NK	145	2488	0.05827974276527331
GSE276974	SRR30639545	T cell	4215	12895	0.32687088018611865
GSE276974	SRR30639548	B cell	148	1238	0.11954765751211632
GSE276974	SRR30639548	Monocyte	305	1261	0.24187153053132435
GSE276974	SRR30639548	NK	167	3630	0.04600550964187328
GSE276974	SRR30639548	T cell	4048	9429	0.4293138190688302
GSE276974	SRR30639551	B cell	154	966	0.15942028985507245
GSE276974	SRR30639551	Monocyte	38	106	0.3584905660377358
GSE276974	SRR30639552	B cell	106	1303	0.08135072908672294
GSE276974	SRR30639552	Monocyte	129	272	0.4742647058823529
GSE276974	SRR30639552	NK	122	1940	0.06288659793814433
GSE276974	SRR30639552	T cell	1640	2595	0.6319845857418112
GSE276974	SRR30639553	B cell	71	1208	0.058774834437086095
GSE276974	SRR30639553	Monocyte	76	178	0.42696629213483145
GSE276974	SRR30639553	NK	96	1291	0.07436096049573973
GSE276974	SRR30639553	T cell	929	1541	0.6028552887735237
GSE276974	SRR30639554	B cell	46	1598	0.028785982478097622
GSE276974	SRR30639554	Monocyte	82	279	0.2939068100358423
GSE276974	SRR30639554	NK	984	7423	0.13256095918092414
GSE276974	SRR30639554	T cell	363	702	0.5170940170940171
GSE276974	SRR30639556	B cell	118	1728	0.06828703703703703
GSE276974	SRR30639556	Monocyte	108	325	0.3323076923076923
GSE276974	SRR30639556	NK	559	7406	0.07547934107480421
GSE276974	SRR30639556	T cell	1085	2118	0.512275731822474
GSE276974	SRR30639557	B cell	60	1833	0.03273322422258593
GSE276974	SRR30639557	Monocyte	154	412	0.3737864077669903
GSE276974	SRR30639557	NK	450	7068	0.0636672325976231
GSE276974	SRR30639557	T cell	1361	2436	0.5587027914614121
GSE307660	SRR35267327	B cell	31	3982	0.0077850326469111
GSE307660	SRR35267327	Monocyte	2054	5232	0.39258409785932724
GSE307660	SRR35267327	NK	13	134	0.09701492537313433
GSE307660	SRR35267327	T cell	22	321	0.06853582554517133
GSE307660	SRR35267329	B cell	1	214	0.004672897196261682
GSE307660	SRR35267329	Monocyte	5224	11699	0.4465338917856227
GSE307660	SRR35267329	NK	48	234	0.20512820512820512
GSE307660	SRR35267329	T cell	155	931	0.16648764769065522
GSE307660	SRR35267330	Monocyte	1179	3446	0.3421358096343587
GSE307660	SRR35267330	NK	47	283	0.16607773851590105
GSE307660	SRR35267330	T cell	1410	4240	0.33254716981132076
GSE307660	SRR35267331	B cell	0	2062	0.0
GSE307660	SRR35267331	Monocyte	3644	16922	0.2153409762439428
GSE307660	SRR35267331	NK	14	103	0.13592233009708737
GSE307660	SRR35267331	T cell	36	278	0.12949640287769784
GSE307660	SRR35267333	B cell	0	590	0.0
GSE307660	SRR35267333	Monocyte	574	2629	0.2183339672879422
GSE307660	SRR35267333	NK	166	790	0.21012658227848102
GSE307660	SRR35267333	T cell	336	1417	0.23712067748764998
GSE307660	SRR35267334	B cell	1	182	0.005494505494505495
GSE307660	SRR35267334	Monocyte	2447	4600	0.5319565217391304
GSE307660	SRR35267334	T cell	1237	3649	0.33899698547547275
GSE307660	SRR35267335	T cell	115	324	0.3549382716049383
GSE307660	SRR35267336	T cell	175	538	0.3252788104089219
GSE307660	SRR35267337	B cell	4	285	0.014035087719298246
GSE307660	SRR35267337	T cell	256	603	0.42454394693200664
GSE307660	SRR35267338	B cell	26	3590	0.0072423398328690805
GSE307660	SRR35267338	Monocyte	1113	4926	0.2259439707673569
GSE307660	SRR35267338	NK	133	870	0.1528735632183908
GSE307660	SRR35267338	T cell	1801	9955	0.18091411351079859
GSE307660	SRR35267339	Monocyte	75	257	0.2918287937743191
GSE307660	SRR35267339	T cell	19	279	0.06810035842293907
GSE307660	SRR35267340	B cell	0	291	0.0
GSE307660	SRR35267340	Monocyte	522	2265	0.2304635761589404
GSE307660	SRR35267340	T cell	970	5749	0.16872499565141763
GSE307660	SRR35267341	B cell	0	1580	0.0
GSE307660	SRR35267341	Monocyte	1214	4437	0.27360829389226954
GSE307660	SRR35267341	NK	36	233	0.15450643776824036
GSE307660	SRR35267341	T cell	280	3033	0.0923178371249588
GSE307660	SRR35267342	B cell	0	1668	0.0
GSE307660	SRR35267342	Monocyte	1511	6968	0.21684845005740527
GSE307660	SRR35267342	T cell	195	556	0.35071942446043164
