srr	gse	size_gb	platform	verified	kit	species	pipeline	status	cells	host	updated_at	dl_key	in_scthread_current	ena_platform	ena_assay	isoquant_status	isoquant_cells	isoquant_transcripts	isoquant_path	isoquant_route	isoquant_barcodes_raw	isoquant_cells_method	species_metadata_source	gsm	gsm_mapping_source	gse_metadata_check	ena_experiment_accession	biosample_accession	ena_sample_accession	ena_study_accession	ena_secondary_study_accession	ena_scientific_name	ena_tax_id	ena_sample_title	ena_experiment_title	ena_instrument_model	ena_library_name	ena_library_strategy	ena_library_source	ena_library_selection	ena_library_layout	geo_title	geo_source_name	geo_organism	geo_characteristics	geo_molecule	geo_description	metadata_status	metadata_conflicts	anchor_status	annotation_status	annotation_method	annotation_cells	annotation_scope	annotation_source	annotation_reproduce	annotation_ref
SRR7173239	GSE114157	0.14	ONT	True	n/a	mouse	EXCLUDE	excluded					no	OXFORD_NANOPORE	bulk-longread	done	1		data/isoquant_smartseq2/GSE114157	Smart-seq2	1	smartseq2_one_well	ENA	GSM3135848	GEO_SRX_RELATION	MATCH	SRX4090881	SAMN09090024	SRS3307621	PRJNA464433	SRP147921	Mus musculus	10090	Nano_OHC_002	MinION sequencing: GSM3135848: Nano_OHC_002 Mus musculus RNA-Seq	MinION		RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	Nano_OHC_002	Cochlea	Mus musculus	age: p15 || background: C3HeB/FeJ || cell type: OHC	polyA RNA	Single-Cell SmartSeq2 Nanopore	ENA_FOUND;GSM_EXACT;GEO_FOUND;GSE_MATCH;SPECIES_ENA			annotated	author_cell_type		study_only	AUTHOR_GEO_SUPP: GSE114157_p15_Metadata.csv (GEO suppl)	scripts/annotation_recovery/ (author extractor) -> author_annotations/GSE114157/	release_v1/active_cell_annotation.parquet
SRR7173240	GSE114157	0.13	ONT	True	n/a	mouse	EXCLUDE	excluded					no	OXFORD_NANOPORE	bulk-longread	done	1		data/isoquant_smartseq2/GSE114157	Smart-seq2	1	smartseq2_one_well	ENA	GSM3135849	GEO_SRX_RELATION	MATCH	SRX4090882	SAMN09090023	SRS3307632	PRJNA464433	SRP147921	Mus musculus	10090	Nano_OHC_003	MinION sequencing: GSM3135849: Nano_OHC_003 Mus musculus RNA-Seq	MinION		RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	Nano_OHC_003	Cochlea	Mus musculus	age: p15 || background: C3HeB/FeJ || cell type: OHC	polyA RNA	Single-Cell SmartSeq2 Nanopore	ENA_FOUND;GSM_EXACT;GEO_FOUND;GSE_MATCH;SPECIES_ENA			annotated	author_cell_type		study_only	AUTHOR_GEO_SUPP: GSE114157_p15_Metadata.csv (GEO suppl)	scripts/annotation_recovery/ (author extractor) -> author_annotations/GSE114157/	release_v1/active_cell_annotation.parquet
SRR7173241	GSE114157	0.13	ONT	True	n/a	mouse	EXCLUDE	excluded					no	OXFORD_NANOPORE	bulk-longread	done	1		data/isoquant_smartseq2/GSE114157	Smart-seq2	1	smartseq2_one_well	ENA	GSM3135850	GEO_SRX_RELATION	MATCH	SRX4090883	SAMN09090067	SRS3307623	PRJNA464433	SRP147921	Mus musculus	10090	Nano_OHC_004	MinION sequencing: GSM3135850: Nano_OHC_004 Mus musculus RNA-Seq	MinION		RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	Nano_OHC_004	Cochlea	Mus musculus	age: p15 || background: C3HeB/FeJ || cell type: OHC	polyA RNA	Single-Cell SmartSeq2 Nanopore	ENA_FOUND;GSM_EXACT;GEO_FOUND;GSE_MATCH;SPECIES_ENA			annotated	author_cell_type		study_only	AUTHOR_GEO_SUPP: GSE114157_p15_Metadata.csv (GEO suppl)	scripts/annotation_recovery/ (author extractor) -> author_annotations/GSE114157/	release_v1/active_cell_annotation.parquet
SRR7173242	GSE114157	0.36	ONT	True	n/a	mouse	EXCLUDE	excluded					no	OXFORD_NANOPORE	bulk-longread	done	1		data/isoquant_smartseq2/GSE114157	Smart-seq2	1	smartseq2_one_well	ENA	GSM3135851	GEO_SRX_RELATION	MATCH	SRX4090884	SAMN09090066	SRS3307624	PRJNA464433	SRP147921	Mus musculus	10090	Nano_OHC_005	MinION sequencing: GSM3135851: Nano_OHC_005 Mus musculus RNA-Seq	MinION		RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	Nano_OHC_005	Cochlea	Mus musculus	age: p15 || background: C3HeB/FeJ || cell type: OHC	polyA RNA	Single-Cell SmartSeq2 Nanopore	ENA_FOUND;GSM_EXACT;GEO_FOUND;GSE_MATCH;SPECIES_ENA			annotated	author_cell_type		study_only	AUTHOR_GEO_SUPP: GSE114157_p15_Metadata.csv (GEO suppl)	scripts/annotation_recovery/ (author extractor) -> author_annotations/GSE114157/	release_v1/active_cell_annotation.parquet
SRR7173246	GSE114157	0.32	ONT	True	n/a	mouse	EXCLUDE	excluded					no	OXFORD_NANOPORE	bulk-longread	done	1		data/isoquant_smartseq2/GSE114157	Smart-seq2	1	smartseq2_one_well	ENA	GSM3135855	GEO_SRX_RELATION	MATCH	SRX4090888	SAMN09090122	SRS3307628	PRJNA464433	SRP147921	Mus musculus	10090	Nano_OHC_009	MinION sequencing: GSM3135855: Nano_OHC_009 Mus musculus RNA-Seq	MinION		RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	Nano_OHC_009	Cochlea	Mus musculus	age: p15 || background: C3HeB/FeJ || cell type: OHC	polyA RNA	Single-Cell SmartSeq2 Nanopore	ENA_FOUND;GSM_EXACT;GEO_FOUND;GSE_MATCH;SPECIES_ENA			annotated	author_cell_type		study_only	AUTHOR_GEO_SUPP: GSE114157_p15_Metadata.csv (GEO suppl)	scripts/annotation_recovery/ (author extractor) -> author_annotations/GSE114157/	release_v1/active_cell_annotation.parquet
SRR8186085	GSE120839	0.01	PacBio	True	10x:chemistry_unknown	Influenza_A_virus_A_WSN_1933_H1N1	unclassified	downloaded					no	PACBIO_SMRT	scPacBio								ENA	GSM3416965	GEO_SRX_RELATION	MATCH	SRX5005927	SAMN10176809	SRS4040135	PRJNA494691	SRP168564	Influenza A virus (A/WSN/1933(H1N1))	382835	Influenza A virus (A/WSN/1933(H1N1))	Sequel sequencing: GSM3416965: Influenza A virus (A/WSN/1933(H1N1)) Influenza A virus (A/WSN/1933(H1N1)) OTHER	Sequel		OTHER	TRANSCRIPTOMIC	other	SINGLE	Influenza A virus (A/WSN/1933(H1N1))	Influenza virus infection	Influenza A virus (A/WSN/1933(H1N1))	time: 13 hours post-infection	total RNA	PacBio circular consensus sequencing for viral genotypes.	ENA_FOUND;GSM_EXACT;GEO_FOUND;GSE_MATCH;SPECIES_ENA			sample_identity_only	author_gsm_identity		study_identity_only	AUTHOR_GEO_SUPP: GSM3416965 PacBio annotated cells.tsv.gz (sample identity)	scripts/annotation_recovery/ (author extractor) -> author_annotations/GSE120839/	release_v1/active_cell_annotation.parquet
SRR8186086	GSE120839	0.06	PacBio	True	10x:chemistry_unknown	Influenza_A_virus_A_WSN_1933_H1N1	unclassified	downloaded					no	PACBIO_SMRT	scPacBio								ENA	GSM3416965	GEO_SRX_RELATION	MATCH	SRX5005927	SAMN10176809	SRS4040135	PRJNA494691	SRP168564	Influenza A virus (A/WSN/1933(H1N1))	382835	Influenza A virus (A/WSN/1933(H1N1))	Sequel sequencing: GSM3416965: Influenza A virus (A/WSN/1933(H1N1)) Influenza A virus (A/WSN/1933(H1N1)) OTHER	Sequel		OTHER	TRANSCRIPTOMIC	other	SINGLE	Influenza A virus (A/WSN/1933(H1N1))	Influenza virus infection	Influenza A virus (A/WSN/1933(H1N1))	time: 13 hours post-infection	total RNA	PacBio circular consensus sequencing for viral genotypes.	ENA_FOUND;GSM_EXACT;GEO_FOUND;GSE_MATCH;SPECIES_ENA			sample_identity_only	author_gsm_identity		study_identity_only	AUTHOR_GEO_SUPP: GSM3416965 PacBio annotated cells.tsv.gz (sample identity)	scripts/annotation_recovery/ (author extractor) -> author_annotations/GSE120839/	release_v1/active_cell_annotation.parquet
SRR8186087	GSE120839	0.07	PacBio	True	10x:chemistry_unknown	Influenza_A_virus_A_WSN_1933_H1N1	unclassified	downloaded					no	PACBIO_SMRT	scPacBio								ENA	GSM3416965	GEO_SRX_RELATION	MATCH	SRX5005927	SAMN10176809	SRS4040135	PRJNA494691	SRP168564	Influenza A virus (A/WSN/1933(H1N1))	382835	Influenza A virus (A/WSN/1933(H1N1))	Sequel sequencing: GSM3416965: Influenza A virus (A/WSN/1933(H1N1)) Influenza A virus (A/WSN/1933(H1N1)) OTHER	Sequel		OTHER	TRANSCRIPTOMIC	other	SINGLE	Influenza A virus (A/WSN/1933(H1N1))	Influenza virus infection	Influenza A virus (A/WSN/1933(H1N1))	time: 13 hours post-infection	total RNA	PacBio circular consensus sequencing for viral genotypes.	ENA_FOUND;GSM_EXACT;GEO_FOUND;GSE_MATCH;SPECIES_ENA			sample_identity_only	author_gsm_identity		study_identity_only	AUTHOR_GEO_SUPP: GSM3416965 PacBio annotated cells.tsv.gz (sample identity)	scripts/annotation_recovery/ (author extractor) -> author_annotations/GSE120839/	release_v1/active_cell_annotation.parquet
SRR8186088	GSE120839	0.05	PacBio	True	10x:chemistry_unknown	Influenza_A_virus_A_WSN_1933_H1N1	unclassified	downloaded					no	PACBIO_SMRT	scPacBio								ENA	GSM3416965	GEO_SRX_RELATION	MATCH	SRX5005927	SAMN10176809	SRS4040135	PRJNA494691	SRP168564	Influenza A virus (A/WSN/1933(H1N1))	382835	Influenza A virus (A/WSN/1933(H1N1))	Sequel sequencing: GSM3416965: Influenza A virus (A/WSN/1933(H1N1)) Influenza A virus (A/WSN/1933(H1N1)) OTHER	Sequel		OTHER	TRANSCRIPTOMIC	other	SINGLE	Influenza A virus (A/WSN/1933(H1N1))	Influenza virus infection	Influenza A virus (A/WSN/1933(H1N1))	time: 13 hours post-infection	total RNA	PacBio circular consensus sequencing for viral genotypes.	ENA_FOUND;GSM_EXACT;GEO_FOUND;GSE_MATCH;SPECIES_ENA			sample_identity_only	author_gsm_identity		study_identity_only	AUTHOR_GEO_SUPP: GSM3416965 PacBio annotated cells.tsv.gz (sample identity)	scripts/annotation_recovery/ (author extractor) -> author_annotations/GSE120839/	release_v1/active_cell_annotation.parquet
SRR8186089	GSE120839	0.06	PacBio	True	10x:chemistry_unknown	Influenza_A_virus_A_WSN_1933_H1N1	unclassified	downloaded					no	PACBIO_SMRT	scPacBio								ENA	GSM3416965	GEO_SRX_RELATION	MATCH	SRX5005927	SAMN10176809	SRS4040135	PRJNA494691	SRP168564	Influenza A virus (A/WSN/1933(H1N1))	382835	Influenza A virus (A/WSN/1933(H1N1))	Sequel sequencing: GSM3416965: Influenza A virus (A/WSN/1933(H1N1)) Influenza A virus (A/WSN/1933(H1N1)) OTHER	Sequel		OTHER	TRANSCRIPTOMIC	other	SINGLE	Influenza A virus (A/WSN/1933(H1N1))	Influenza virus infection	Influenza A virus (A/WSN/1933(H1N1))	time: 13 hours post-infection	total RNA	PacBio circular consensus sequencing for viral genotypes.	ENA_FOUND;GSM_EXACT;GEO_FOUND;GSE_MATCH;SPECIES_ENA			sample_identity_only	author_gsm_identity		study_identity_only	AUTHOR_GEO_SUPP: GSM3416965 PacBio annotated cells.tsv.gz (sample identity)	scripts/annotation_recovery/ (author extractor) -> author_annotations/GSE120839/	release_v1/active_cell_annotation.parquet
