Gene_ID	n_visible_isoforms	top2_expressing_cells	top2_molecules	max_abs_prop_diff	min_fdr	gene_name	top_isoforms
ENSMUSG00000040952	2	8929	14906.586830458595	0.0541083874308064	0.0001684791987416	Rps19	ENSMUST00000108430;ENSMUST00000108429
ENSMUSG00000044533	2	8922	17272.42757018981	0.0552219674045947	3.6059695335052e-07	Rps2	ENSMUST00000170715;ENSMUST00000054289
ENSMUSG00000028234	2	8902	18448.27000772652	0.107724706563696	1.26569937715744e-43	Rps20	ENSMUST00000138502;ENSMUST00000103009
ENSMUSG00000039001	2	8874	15570.038798453154	0.0441556928362876	1.6840373871031002e-16	Rps21	ENSMUST00000059080;ENSMUST00000148629
ENSMUSG00000052146	2	8870	16659.727426952977	0.063401663864312	1.70828323362098e-17	Rps10	ENSMUST00000114882;ENSMUST00000114881
ENSMUSG00000060938	2	8865	16070.327100454931	0.0533973818357046	1.49044472349358e-06	Rpl26	ENSMUST00000073471;ENSMUST00000101014
ENSMUSG00000037742	2	8853	14709.773321481427	0.0711537553549665	9.86197661168986e-34	Eef1a1	ENSMUST00000042235;ENSMUST00000156988
ENSMUSG00000020857	2	8849	13380.827483301004	0.0321520615379678	0.0422277482838498	Nme2	ENSMUST00000021217;ENSMUST00000072566
ENSMUSG00000006333	2	8838	14562.370724891229	0.10973450349132	4.6681085307189697e-26	Rps9	ENSMUST00000006496;ENSMUST00000108625
ENSMUSG00000024608	2	8838	13646.837657489154	0.0569236508871732	1.62524051171676e-07	Rps14	ENSMUST00000025511;ENSMUST00000118551
ENSMUSG00000063457	2	8828	13884.220431637244	0.0718528317742559	1.70848022199449e-13	Rps15	ENSMUST00000068408;ENSMUST00000062674
ENSMUSG00000033307	2	8826	15486.717375640328	0.0395676066261812	7.63486550502981e-10	Mif	ENSMUST00000038169;ENSMUST00000218267
ENSMUSG00000059070	2	8819	14482.469038570887	0.0412004764233687	3.69729437170176e-06	Rpl18	ENSMUST00000072503;ENSMUST00000209287
ENSMUSG00000029430	2	8812	12577.760465295472	0.0373822471047193	0.0299356343069021	Ran	ENSMUST00000031383;ENSMUST00000111343
ENSMUSG00000050708	2	8798	14185.864164482064	0.0508886254064902	7.8960327035011e-07	Ftl1	ENSMUST00000094434;ENSMUST00000211500
ENSMUSG00000003970	2	8794	15538.073243810793	0.0499023486991258	3.96182572925975e-13	Rpl8	ENSMUST00000004072;ENSMUST00000229183
ENSMUSG00000074129	2	8783	12981.699017071996	0.0545332660606471	1.41047189244658e-06	Rpl13a	ENSMUST00000150350;ENSMUST00000210191
ENSMUSG00000012848	2	8770	13659.872222299084	0.0434781567176067	0.0042595016850685	Rps5	ENSMUST00000004554;ENSMUST00000147435
ENSMUSG00000026238	2	8736	14722.169700357856	0.0159498290156203	0.0001994832885465	Ptma	ENSMUST00000045897;ENSMUST00000186255
ENSMUSG00000008668	2	8707	13209.231706435594	0.0909512644686213	2.568001128845e-16	Rps18	ENSMUST00000008812;ENSMUST00000174609
ENSMUSG00000067274	2	8700	15026.871893272093	0.0463288004582901	2.9826554932169804e-09	Rplp0	ENSMUST00000086519;ENSMUST00000156359
