Cell_Type	E6.5	E7.5	E8.5	Total	Pct_E6.5	Pct_E7.5	Pct_E8.5
Neuroectoderm	1731	865	291	2887	20.7	11.6	3.0
Visceral_Endoderm_Yolk_Sac	1344	835	635	2814	16.1	11.2	6.5
Embryonic_Epiblast	1107	591	1081	2779	13.2	7.9	11.0
Primitive_Streak_Epiblast	805	717	880	2402	9.6	9.6	9.0
Presomitic_Mesoderm	186	1006	971	2163	2.2	13.5	9.9
Extraembryonic_Ectoderm_Trophoblast_Stem	1084	381	4	1469	13.0	5.1	0.0
Streak_Mesoderm	42	361	1032	1435	0.5	4.8	10.5
Embryonic_liver	496	177	316	989	5.9	2.4	3.2
Early_Erythrocytes	4	236	746	986	0.0	3.2	7.6
Mesenchymal_Mesoderm	0	448	484	932	0.0	6.0	4.9
Cardiac_Mesoderm_Cardiomyocytes	0	287	623	910	0.0	3.9	6.4
Vascular_Endothelium	6	193	600	799	0.1	2.6	6.1
Somitic_Mesoderm	6	290	429	725	0.1	3.9	4.4
Foregut_Endoderm	229	275	214	718	2.7	3.7	2.2
PGCs	431	91	62	584	5.2	1.2	0.6
Surface_Ectoderm	17	195	349	561	0.2	2.6	3.6
Neuromesodermal_Progenitors_NMPs	111	173	255	539	1.3	2.3	2.6
Trophoblast_Giant_Cells	402	47	0	449	4.8	0.6	0.0
Neural_Crest	0	18	270	288	0.0	0.2	2.8
Allantoic_tissue	253	28	0	281	3.0	0.4	0.0
Definitive_Endoderm	103	78	95	276	1.2	1.0	1.0
Non_Neural_Ectoderm	0	54	211	265	0.0	0.7	2.2
Primitive_Erythrocytes_Yolk_Sac	2	33	211	246	0.0	0.4	2.2
Notochord	8	65	51	124	0.1	0.9	0.5
