cell_type	n_mol	ENST00000532073	ENST00000345732	ENST00000674194	ENST00000528313	ENST00000532418	ENST00000534668
B cell	21718.0	0.4430426374435952	0.21558154526199466	0.17607514504097982	0.09406943549129754	0.04240721981766277	0.01768118611290174
HSPC	234.0	0.5256410256410257	0.02564102564102564	0.14102564102564102	0.24786324786324787	0.05128205128205128	0.0
Monocyte	168.0	0.5773809523809523	0.07738095238095238	0.15476190476190477	0.16071428571428573	0.017857142857142856	0.011904761904761904
Erythroid	159.0	0.3270440251572327	0.14465408805031446	0.20125786163522014	0.20125786163522014	0.11320754716981132	0.012578616352201259
NK	140.0	0.6571428571428571	0.10714285714285714	0.14285714285714285	0.03571428571428571	0.05714285714285714	0.0
Unassigned	138.0	0.427536231884058	0.18115942028985507	0.13043478260869565	0.18840579710144928	0.050724637681159424	0.014492753623188406
CD8 T	136.0	0.4117647058823529	0.21323529411764705	0.15441176470588236	0.10294117647058823	0.03676470588235294	0.029411764705882353
Monocyte/Myeloid	85.0	0.4	0.17647058823529413	0.3058823529411765	0.08235294117647059	0.03529411764705882	0.0
Granulo/Myeloid progenitor	60.0	0.65	0.016666666666666666	0.23333333333333334	0.08333333333333333	0.016666666666666666	0.0
Dendritic cell	58.0	0.46551724137931033	0.06896551724137931	0.3275862068965517	0.1206896551724138	0.017241379310344827	0.0
