claim_id	claim_text	number	unit	source_path	verified_20260727	used_in_figure	notes
C0_cohort	Uniform reprocessing cohort size	15 / 67 / 452213	studies / runs / annotated_cells	results/paper1/figdata/cohort_headline.json	yes	Fig1	Do not use 1073105 as analysis cohort
C0_catalog	Public catalog scope (portal)	~450 / ~3.0e6 / >2e5	runs / cells / isoforms	web/app.py /api/statistics	yes	About/API	Approximate catalog language only
C0_core_contract	IsoQuant core file contract	136 / 24 / 845448	runs / studies / called_cells	tables/release_content/run_layer_contract.tsv	yes	Manuscript + Table S12	Six non-empty contracted IsoQuant outputs; excludes 333 membership-only records
C0_reference_detections	Positive reference transcript detections	4913367	run-by-reference-transcript rows	tables/release_content/molecular_inventory_headline.tsv	yes	Manuscript + Table S13	File recount; repeated transcript IDs across runs remain separate
C0_discovered_detections	Positive discovered transcript detections	11187653	run-by-discovered-transcript rows	tables/release_content/molecular_inventory_headline.tsv	yes	Manuscript + Table S13	Not a globally deduplicated isoform count
C0_novel_detections	Positive IsoQuant novel transcript detections	7918221	run-by-IsoQuant-novel-transcript rows	tables/release_content/molecular_inventory_headline.tsv	yes	Manuscript + Table S13	Novel identifiers are run-local
C0_unique_reference	Observed reference transcript union	198982	species-qualified Ensembl transcript IDs	tables/release_content/molecular_inventory_headline.tsv	yes	Manuscript + Table S13	Deduplicated within species
C0_unique_genes	Observed gene union	61514	species-qualified gene IDs	tables/release_content/molecular_inventory_headline.tsv	yes	Manuscript + Table S13	Deduplicated within species
C1_ase_sig	Cell-type ASE significant genes	0	genes (of 6930)	tables/p0_biological_unit_rerun/ase_observed_9999.tsv	yes	NAR Fig2 pending rerender	Two marrow studies; 19 independent sources; joint FDR/effect gate
C1_ase_p05	ASE raw p<0.05 fraction	0.07763	fraction	tables/p0_biological_unit_rerun/ase_observed_9999.tsv	yes	NAR Fig2 pending rerender	No FDR discoveries; do not claim biological absence
C1_diu_sig	Cell-type DIU significant genes	2008	genes (of 8092)	tables/p0_biological_unit_rerun/diu_observed_9999.tsv	yes	NAR Fig2 pending rerender	Biological-unit-aware restricted permutation
C1_diu_p05	DIU raw p<0.05 fraction	0.45848	fraction	tables/p0_biological_unit_rerun/diu_observed_9999.tsv	yes	NAR Fig2 pending rerender	
C1_apa_sig	Cell-type APA significant genes	2558	genes (of 10531)	tables/p0_biological_unit_rerun/apa_observed_9999.tsv	yes	NAR Fig2 pending rerender	Biological-unit-aware restricted permutation
C1_apa_p05	APA raw p<0.05 fraction	0.55066	fraction	tables/p0_biological_unit_rerun/apa_observed_9999.tsv	yes	NAR Fig2 pending rerender	
C2_negctrl_ase	Permutation null ASE frac p<0.05	0.04686 / 0.04099 / 0.03972	fraction	tables/p0_biological_unit_rerun/validation_summary.tsv	yes	NAR Fig2 pending rerender	Three full outer-null seeds; zero FDR discoveries
C2_negctrl_diu	Permutation null DIU frac p<0.05	0.02579 / 0.03949 / 0.06042	fraction	same	yes	NAR Fig2 pending rerender	Three full outer-null seeds; zero FDR discoveries
C2_negctrl_apa	Permutation null APA frac p<0.05	0.02688 / 0.04744 / 0.04902	fraction	same	yes	NAR Fig2 pending rerender	Three full outer-null seeds; zero FDR discoveries
C3_ptprc_diu	PTPRC DIU	q=0.00087861; equal-donor effect=0.338; n_iso=23; sig=True	—	tables/p0_biological_unit_rerun/diu_observed_9999.tsv gene=ENSG00000081237	yes	demo + website pending sync	Demo gene
C3_ptprc_apa	PTPRC APA	q=0.000601084; equal-donor effect=0.204; n_pas=51; sig=True	—	tables/p0_biological_unit_rerun/apa_observed_9999.tsv gene=ENSG00000081237	yes	demo + website pending sync	
C3_ptprc_ase	PTPRC ASE	q=0.948767; equal-donor effect=0.194; sig=False	—	tables/p0_biological_unit_rerun/ase_observed_9999.tsv gene=PTPRC	yes	demo + website pending sync	
C3_ptprc_iso_switch	PTPRC dominant isoform frac Monocyte ENST00000367364	0.594	fraction	results/paper1/figdata/ptprc_isoform_usage.tsv	yes	Fig2_v2d	B cell ENST00000697630=0.339
C4_gtag_1	Novel junction GT-AG at 1 study	0.494	rate	results/paper1/figdata/fig4_cross_study_junction.tsv	yes	Fig4_v2	recurrence axis NOT depth
C4_gtag_13	Novel junction GT-AG at 13 studies	0.970	rate; n=16983 junctions	same	yes	Fig4_v2	
C4_marrow_r	Marrow novel-frac Pearson r across cell types	0.76	Pearson r	Fig4 legend / fig4b panel source	yes	Fig4_v2	Spearman 0.83; two studies independent units
C4_f2_full	Held-out novel-junction usage Spearman (FULL 220 RBP)	0.44	Spearman rho	results/paper1/figdata/f2_prediction_summary.tsv	yes	Fig4_v2 optional	GroupKFold by junction; not LOSO study
C4_f2_shuffled	Shuffled-RBP negative	0.139	Spearman rho	same	yes	Fig4_v2 optional	
C5_url_browse	Public demo URL	https://scthread.ai4sc.ac.cn/browse?query=PTPRC	URL	live portal	yes	website walkthrough	HTTP 200 2026-07-23
C5_url_api	Public API demo	/api/gene/PTPRC/overview	endpoint	live API on :4173	yes	website walkthrough	reachable but statistical badges remain legacy until portal sync
