ct	transcript_id	count	frac
B cell	ENST00000348564	45.0	0.0037675820495646
B cell	ENST00000367364	2294.0	0.1920629604822505
B cell	ENST00000367367	502.0	0.0420294708640321
B cell	ENST00000367379	160.0	0.0133958472873409
B cell	ENST00000391970	20.0	0.0016744809109176
B cell	ENST00000413409	102.0	0.0085398526456798
B cell	ENST00000418674	59.0	0.0049397186872069
B cell	ENST00000442510	1543.0	0.129186202277294
B cell	ENST00000462363	93.0	0.0077863362357669
B cell	ENST00000484135	1552.0	0.1299397186872069
B cell	ENST00000491302	13.0	0.0010884125920964
B cell	ENST00000529828	62.0	0.0051908908238446
B cell	ENST00000530727	178.0	0.0149028801071667
B cell	ENST00000643513	7.0	0.0005860683188211
B cell	ENST00000645247	2.0	0.0001674480910917
B cell	ENST00000646230	2.0	0.0001674480910917
B cell	ENST00000697630	4054.0	0.3394172806430007
B cell	ENST00000697632	40.0	0.0033489618218352
B cell	ENST00000697633	15.0	0.0012558606831882
B cell	ENST00000697634	42.0	0.0035164099129269
B cell	ENST00000697635	1159.0	0.0970361687876758
Dendritic cell	ENST00000348564	40.0	0.0454029511918274
Dendritic cell	ENST00000367364	374.0	0.4245175936435868
Dendritic cell	ENST00000367367	31.0	0.0351872871736662
Dendritic cell	ENST00000367379	36.0	0.0408626560726447
Dendritic cell	ENST00000391970	1.0	0.0011350737797956
Dendritic cell	ENST00000413409	4.0	0.0045402951191827
Dendritic cell	ENST00000418674	1.0	0.0011350737797956
Dendritic cell	ENST00000442510	62.0	0.0703745743473325
Dendritic cell	ENST00000484135	56.0	0.0635641316685584
Dendritic cell	ENST00000529828	2.0	0.0022701475595913
Dendritic cell	ENST00000530727	40.0	0.0454029511918274
Dendritic cell	ENST00000643513	1.0	0.0011350737797956
Dendritic cell	ENST00000697630	192.0	0.2179341657207718
Dendritic cell	ENST00000697632	1.0	0.0011350737797956
Dendritic cell	ENST00000697635	40.0	0.0454029511918274
Erythroid	ENST00000348564	116.0	0.0428835489833641
Erythroid	ENST00000367364	795.0	0.2939001848428835
Erythroid	ENST00000367367	33.0	0.0121996303142329
Erythroid	ENST00000367379	89.0	0.032902033271719
Erythroid	ENST00000391970	7.0	0.0025878003696857
Erythroid	ENST00000413409	27.0	0.0099815157116451
Erythroid	ENST00000418674	4.0	0.0014787430683918
Erythroid	ENST00000442510	101.0	0.0373382624768946
Erythroid	ENST00000462363	14.0	0.0051756007393715
Erythroid	ENST00000484135	384.0	0.1419593345656192
Erythroid	ENST00000491302	5.0	0.0018484288354898
Erythroid	ENST00000529828	12.0	0.0044362292051756
Erythroid	ENST00000530727	54.0	0.0199630314232902
Erythroid	ENST00000645247	1.0	0.0003696857670979
Erythroid	ENST00000646230	2.0	0.0007393715341959
Erythroid	ENST00000697630	731.0	0.2702402957486137
Erythroid	ENST00000697631	7.0	0.0025878003696857
Erythroid	ENST00000697632	27.0	0.0099815157116451
Erythroid	ENST00000697633	2.0	0.0007393715341959
Erythroid	ENST00000697634	1.0	0.0003696857670979
Erythroid	ENST00000697635	293.0	0.1083179297597042
Monocyte	ENST00000348564	987.0	0.0258289063931122
Monocyte	ENST00000367364	22697.0	0.593960170622563
Monocyte	ENST00000367367	539.0	0.0141051474629052
Monocyte	ENST00000367379	743.0	0.0194436448329102
Monocyte	ENST00000391970	45.0	0.0011776097139716
Monocyte	ENST00000413409	376.0	0.0098395833878523
Monocyte	ENST00000418674	30.0	0.0007850731426477
Monocyte	ENST00000427110	6.0	0.0001570146285295
Monocyte	ENST00000442510	575.0	0.0150472352340826
Monocyte	ENST00000462363	373.0	0.0097610760735875
Monocyte	ENST00000484135	2770.0	0.0724884201711459
Monocyte	ENST00000491302	20.0	0.0005233820950985
Monocyte	ENST00000529828	633.0	0.0165650433098683
Monocyte	ENST00000530727	1741.0	0.0455604113783267
Monocyte	ENST00000643513	150.0	0.0039253657132389
Monocyte	ENST00000645247	14.0	0.0003663674665689
Monocyte	ENST00000646230	16.0	0.0004187056760788
Monocyte	ENST00000697630	5208.0	0.1362886975636563
Monocyte	ENST00000697631	18.0	0.0004710438855886
Monocyte	ENST00000697632	30.0	0.0007850731426477
Monocyte	ENST00000697633	56.0	0.0014654698662758
Monocyte	ENST00000697634	66.0	0.0017271609138251
Monocyte	ENST00000697635	1120.0	0.0293093973255174
NK	ENST00000348564	153.0	0.0068266999821524
NK	ENST00000367364	5391.0	0.2405407817240764
NK	ENST00000367367	1071.0	0.0477868998750669
NK	ENST00000367379	317.0	0.0141442084597537
NK	ENST00000391970	27.0	0.0012047117615563
NK	ENST00000413409	197.0	0.0087899339639478
NK	ENST00000418674	103.0	0.0045957522755666
NK	ENST00000427110	1.0	4.461895413171515e-05
NK	ENST00000442510	1260.0	0.056219882205961
NK	ENST00000462363	232.0	0.0103515973585579
NK	ENST00000484135	3091.0	0.1379171872211315
NK	ENST00000491302	39.0	0.0017401392111368
NK	ENST00000529828	271.0	0.0120917365696948
NK	ENST00000530727	482.0	0.0215063358914867
NK	ENST00000643513	20.0	0.0008923790826343
NK	ENST00000645247	8.0	0.0003569516330537
NK	ENST00000646230	20.0	0.0008923790826343
NK	ENST00000697630	7168.0	0.3198286632161342
NK	ENST00000697631	6.0	0.0002677137247902
NK	ENST00000697632	26.0	0.0011600928074245
NK	ENST00000697633	23.0	0.0010262359450294
NK	ENST00000697634	77.0	0.003435659468142
NK	ENST00000697635	2429.0	0.1083794395859361
Plasma cell	ENST00000348564	1.0	0.0026246719160104
Plasma cell	ENST00000367364	224.0	0.5879265091863517
Plasma cell	ENST00000367367	12.0	0.0314960629921259
Plasma cell	ENST00000413409	4.0	0.0104986876640419
Plasma cell	ENST00000442510	13.0	0.0341207349081364
Plasma cell	ENST00000462363	9.0	0.0236220472440944
Plasma cell	ENST00000484135	16.0	0.0419947506561679
Plasma cell	ENST00000491302	1.0	0.0026246719160104
Plasma cell	ENST00000529828	7.0	0.0183727034120734
Plasma cell	ENST00000530727	12.0	0.0314960629921259
Plasma cell	ENST00000697630	68.0	0.1784776902887139
Plasma cell	ENST00000697633	2.0	0.0052493438320209
Plasma cell	ENST00000697634	2.0	0.0052493438320209
Plasma cell	ENST00000697635	10.0	0.0262467191601049
Progenitor	ENST00000348564	21.0	0.0146853146853146
Progenitor	ENST00000367364	246.0	0.172027972027972
Progenitor	ENST00000367367	42.0	0.0293706293706293
Progenitor	ENST00000367379	24.0	0.0167832167832167
Progenitor	ENST00000413409	19.0	0.0132867132867132
Progenitor	ENST00000442510	60.0	0.0419580419580419
Progenitor	ENST00000462363	7.0	0.0048951048951048
Progenitor	ENST00000484135	295.0	0.2062937062937063
Progenitor	ENST00000491302	1.0	0.0006993006993006
Progenitor	ENST00000529828	3.0	0.002097902097902
Progenitor	ENST00000530727	40.0	0.0279720279720279
Progenitor	ENST00000643513	4.0	0.0027972027972027
Progenitor	ENST00000645247	4.0	0.0027972027972027
Progenitor	ENST00000646230	1.0	0.0006993006993006
Progenitor	ENST00000697630	575.0	0.4020979020979021
Progenitor	ENST00000697632	3.0	0.002097902097902
Progenitor	ENST00000697635	85.0	0.0594405594405594
T cell	ENST00000348564	827.0	0.0403828311929293
