gene	condition	relative_effect
CCND3	all	1.0
CCND3	low_cycle	0.9413322290880013
CCND3	low_common_activation	1.0425967312889255
CCND3	low_both	0.9653730943746694
CCND3	classical_like	1.031140476238371
CCND3	nonclassical_like	0.6435040105301352
CUTA	all	1.0
CUTA	low_cycle	0.9948447489229237
CUTA	low_common_activation	1.0542198746999822
CUTA	low_both	1.0244170344325423
CUTA	classical_like	0.9687581587409819
CUTA	nonclassical_like	1.4839060323578452
PSMB8	all	1.0
PSMB8	low_cycle	0.9461168596715311
PSMB8	low_common_activation	1.0490138064176255
PSMB8	low_both	0.9915144886961178
PSMB8	classical_like	1.0444883032767565
PSMB8	nonclassical_like	0.8888858744169312
