study	cells	runs	species	system	tissue	icon_labels	registry_source_name
GSE178175	121244	24	human/mouse	Neural/sensory	Frontal cortex; hippocampus	Brain	Frontal Cortex; Brain
GSE276974	117300	22	human	Blood/immune	Bone marrow, CCUS	Marrow	Bone Marrow
GSE283629	74540	4	human	Neural/sensory	iPSC-derived neurons and neural progenitors	Brain	Neurons; Neural progenitor cells
GSE303762	71800	46	human	Cancer	Lung-cancer cell lines	Lung;Cell line	NCI-H1975,HCC827,NCI-H2228,NCI-H146,NCI-H69,SHP-77,NCI-H526,NCI-H211; HCC827; NCI-H1975
OWN_ASE_scONT	68417	6	mouse	Development/embryo	Gastrulating embryo, E6.5-E8.5	Embryo	n/a
GSE307660	68407	19	human	Blood/immune	Bone marrow, myeloma	Marrow	Bone marrow
GSE292324	55507	10	human	Blood/immune	Bone marrow, AML	Marrow	Bone marrow
GSA_mouse_testis_11week	39585	2	mouse	Endocrine	Testis	Testis	n/a
GSE274249	34973	4	human	Neural/sensory	iPSC-derived neurons and neural progenitors	Brain	Neurons; Neural progenitor cells
benagen_human_ovary	31839	4	human	Endocrine	Ovary	Ovary	n/a
GSE214231	31587	14	human	Blood/immune	Donor TCR-negative T cells, CAR library	Blood	TCR negative T cells
GSE288222	30682	12	human	Heart/vascular	Heart, left ventricle	Heart	Heart, left ventricle
GSE212945	30040	16	human	Cancer	Renal-cell-carcinoma nuclei; melanoma and lung lines	Kidney;Cell line	Skin; Kidney; NA
GSE283658	29138	4	human	Development/embryo	Bone marrow; BJ foreskin fibroblast; reprogrammed HSC	Marrow;Cell line	induced hematopoietic stem cells; neonatal foreskin; bone marrow
GSE295352	22950	6	mouse	Blood/immune	Spleen	Spleen	spleen
GSE295932	21623	6	human	Cancer	Jurkat T-cell line, CRISPR	Cell line	T-Cell
GSE314176	19610	8	mouse	Neural/sensory	Hippocampus	Brain	Hippocampus
GSE255520	11689	4	mouse	Neural/sensory	Retina	Retina	retina
GSE158450	11478	6	mouse	Neural/sensory	Prefrontal cortex; hippocampus	Brain	Prefrontal cortex; Saggital section; Hippocampus
GSE252416	8621	5	human	Blood/immune	Lymph node	Lymph	lymph node
GSE295353	5907	7	mouse	Endocrine	Pancreatic islet	Islet	pancreatic islet
GSE289790	4015	2	human	Cancer	Prostate	Prostate	Prostate
GSE252344	3699	2	human	Blood/immune	Lymph node	Lymph	lymph node
GSE301658	3356	1	human	Cancer	Brain tumour	Brain	Brain
GSE248118	2331	12	human	Cancer	Ovarian-cancer cell lines	Cell line	IGROV-1; Mix (IGROV1, SK-OV-3, COV504); COV504
GSE224045	1265	9	human	Cancer	Lung adenocarcinoma	Lung	Lung adenocarcinoma
GSE130708	1121	6	mouse	Neural/sensory	E18 brain	Brain	E18 brain
GSE250381	243	4	mouse	Development/embryo	Preimplantation embryo	Embryo	preimplantation embryos
GSE309071	212	212	mouse	Development/embryo	Embryo yolk sac and AGM region	Embryo	mouse embryo yolk sac; mouse embryo AGM-region; mouse embryo
GSE114157	132	5	mouse	Neural/sensory	Cochlea, outer hair cells	Cochlea	Cochlea
GSE185554	42	42	mouse	Development/embryo	Embryo AGM region	Embryo	mouse embryonic cells
GSE274527	27	24	mouse	Development/embryo	Embryo yolk sac and AGM region	Embryo	YS_E10.5_HE_Gfi1; YS_E9.0_HE_Runx1; AGM_E10.5_HE_Gfi1
GSE76026	6	12	mouse	Neural/sensory	Oligodendrocyte lineage	Brain	Oligodendrocyte progenitor cell; Oligodendrocyte 1; Oligodendrocyte 5
GSE289428	3	3	human	Cancer	HeLa-S3	Cell line	HeLa-S3
