srr	gse	isoquant_cells	isoquant_cells_method	isoquant_transcripts	Assay Type	LibrarySource	LibrarySelection	LibraryLayout	Instrument	Platform	Sample Name	source_name	cell_type	ena_library_strategy	ena_library_source	pipeline	ncbi_says_transcriptomic	registry_agrees_with_ncbi
SRR10539959	GSE140890	1.0	smartseq2_one_well		OTHER	GENOMIC	other	SINGLE	MinION	OXFORD_NANOPORE	GSM4194589	mESC (Mouse embryoid body at day 0)	Embryoid body	OTHER	GENOMIC	EXCLUDE	False	True
SRR10539960	GSE140890	1.0	smartseq2_one_well		OTHER	GENOMIC	other	SINGLE	MinION	OXFORD_NANOPORE	GSM4194589	mESC (Mouse embryoid body at day 0)	Embryoid body	OTHER	GENOMIC	EXCLUDE	False	True
SRR10539961	GSE140890	1.0	smartseq2_one_well		OTHER	GENOMIC	other	SINGLE	MinION	OXFORD_NANOPORE	GSM4194589	mESC (Mouse embryoid body at day 0)	Embryoid body	OTHER	GENOMIC	EXCLUDE	False	True
SRR10539962	GSE140890	1.0	smartseq2_one_well		OTHER	GENOMIC	other	SINGLE	MinION	OXFORD_NANOPORE	GSM4194589	mESC (Mouse embryoid body at day 0)	Embryoid body	OTHER	GENOMIC	EXCLUDE	False	True
SRR10539964	GSE140890	1.0	smartseq2_one_well		OTHER	GENOMIC	other	SINGLE	MinION	OXFORD_NANOPORE	GSM4194590	mESC (Mouse embryoid body at day 0)	Embryoid body	OTHER	GENOMIC	EXCLUDE	False	True
SRR10539967	GSE140890	1.0	smartseq2_one_well		OTHER	GENOMIC	other	SINGLE	MinION	OXFORD_NANOPORE	GSM4194591	mESC (Mouse embryoid body at day 0)	Embryoid body	OTHER	GENOMIC	EXCLUDE	False	True
SRR10539968	GSE140890	1.0	smartseq2_one_well		OTHER	GENOMIC	other	SINGLE	MinION	OXFORD_NANOPORE	GSM4194591	mESC (Mouse embryoid body at day 0)	Embryoid body	OTHER	GENOMIC	EXCLUDE	False	True
SRR10539969	GSE140890	1.0	smartseq2_one_well		OTHER	GENOMIC	other	SINGLE	MinION	OXFORD_NANOPORE	GSM4194591	mESC (Mouse embryoid body at day 0)	Embryoid body	OTHER	GENOMIC	EXCLUDE	False	True
SRR10539970	GSE140890	1.0	smartseq2_one_well		OTHER	GENOMIC	other	SINGLE	MinION	OXFORD_NANOPORE	GSM4194591	mESC (Mouse embryoid body at day 0)	Embryoid body	OTHER	GENOMIC	EXCLUDE	False	True
SRR10539971	GSE140890	1.0	smartseq2_one_well		OTHER	GENOMIC	other	SINGLE	MinION	OXFORD_NANOPORE	GSM4194592	mESC (Mouse embryoid body at day 0)	Embryoid body	OTHER	GENOMIC	EXCLUDE	False	True
SRR10539972	GSE140890	1.0	smartseq2_one_well		OTHER	GENOMIC	other	SINGLE	MinION	OXFORD_NANOPORE	GSM4194592	mESC (Mouse embryoid body at day 0)	Embryoid body	OTHER	GENOMIC	EXCLUDE	False	True
SRR10539973	GSE140890	1.0	smartseq2_one_well		OTHER	GENOMIC	other	SINGLE	MinION	OXFORD_NANOPORE	GSM4194592	mESC (Mouse embryoid body at day 0)	Embryoid body	OTHER	GENOMIC	EXCLUDE	False	True
SRR10539974	GSE140890	1.0	smartseq2_one_well		OTHER	GENOMIC	other	SINGLE	MinION	OXFORD_NANOPORE	GSM4194592	mESC (Mouse embryoid body at day 0)	Embryoid body	OTHER	GENOMIC	EXCLUDE	False	True
SRR10539975	GSE140890	1.0	smartseq2_one_well		OTHER	GENOMIC	other	SINGLE	MinION	OXFORD_NANOPORE	GSM4194593	mESC (Mouse embryoid body at day 0)	Embryoid body	OTHER	GENOMIC	EXCLUDE	False	True
SRR10539977	GSE140890	1.0	smartseq2_one_well		OTHER	GENOMIC	other	SINGLE	MinION	OXFORD_NANOPORE	GSM4194593	mESC (Mouse embryoid body at day 0)	Embryoid body	OTHER	GENOMIC	EXCLUDE	False	True
SRR10539978	GSE140890	1.0	smartseq2_one_well		OTHER	GENOMIC	other	SINGLE	MinION	OXFORD_NANOPORE	GSM4194593	mESC (Mouse embryoid body at day 0)	Embryoid body	OTHER	GENOMIC	EXCLUDE	False	True
SRR10539979	GSE140890	1.0	smartseq2_one_well		OTHER	GENOMIC	other	SINGLE	MinION	OXFORD_NANOPORE	GSM4194594	mESC (Mouse embryoid body at day 0)	Embryoid body	OTHER	GENOMIC	EXCLUDE	False	True
SRR10539980	GSE140890	1.0	smartseq2_one_well		OTHER	GENOMIC	other	SINGLE	MinION	OXFORD_NANOPORE	GSM4194594	mESC (Mouse embryoid body at day 0)	Embryoid body	OTHER	GENOMIC	EXCLUDE	False	True
SRR10539981	GSE140890	1.0	smartseq2_one_well		OTHER	GENOMIC	other	SINGLE	MinION	OXFORD_NANOPORE	GSM4194594	mESC (Mouse embryoid body at day 0)	Embryoid body	OTHER	GENOMIC	EXCLUDE	False	True
SRR10539982	GSE140890	1.0	smartseq2_one_well		OTHER	GENOMIC	other	SINGLE	MinION	OXFORD_NANOPORE	GSM4194594	mESC (Mouse embryoid body at day 0)	Embryoid body	OTHER	GENOMIC	EXCLUDE	False	True
SRR10539983	GSE140890	1.0	smartseq2_one_well		OTHER	GENOMIC	other	SINGLE	MinION	OXFORD_NANOPORE	GSM4194595	mESC (Mouse embryoid body at day 0)	Embryoid body	OTHER	GENOMIC	EXCLUDE	False	True
SRR10539984	GSE140890	1.0	smartseq2_one_well		OTHER	GENOMIC	other	SINGLE	MinION	OXFORD_NANOPORE	GSM4194595	mESC (Mouse embryoid body at day 0)	Embryoid body	OTHER	GENOMIC	EXCLUDE	False	True
SRR10539985	GSE140890	1.0	smartseq2_one_well		OTHER	GENOMIC	other	SINGLE	MinION	OXFORD_NANOPORE	GSM4194595	mESC (Mouse embryoid body at day 0)	Embryoid body	OTHER	GENOMIC	EXCLUDE	False	True
SRR10539987	GSE140890	1.0	smartseq2_one_well		OTHER	GENOMIC	other	SINGLE	MinION	OXFORD_NANOPORE	GSM4194596	mESC (Mouse embryoid body at day 0)	Embryoid body	OTHER	GENOMIC	EXCLUDE	False	True
SRR10539988	GSE140890	1.0	smartseq2_one_well		OTHER	GENOMIC	other	SINGLE	MinION	OXFORD_NANOPORE	GSM4194596	mESC (Mouse embryoid body at day 0)	Embryoid body	OTHER	GENOMIC	EXCLUDE	False	True
