release_candidate	srr	gse	species	platform	biology_group	description	pipeline	isoquant_status	isoquant_cells	isoquant_cells_method	isoquant_transcripts	annotation_status	annotation_method	annotation_cells	metadata_resolution	eligibility
scTHREAD_NAR_candidate_20260801	SRR10539959	GSE140890	mouse	ONT			EXCLUDE	done	1	smartseq2_one_well		sample_identity_only	author_gsm_identity		frozen	excluded: non-transcriptomic library (INSDC LibrarySource=GENOMIC)
scTHREAD_NAR_candidate_20260801	SRR10539960	GSE140890	mouse	ONT			EXCLUDE	done	1	smartseq2_one_well		sample_identity_only	author_gsm_identity		frozen	excluded: non-transcriptomic library (INSDC LibrarySource=GENOMIC)
scTHREAD_NAR_candidate_20260801	SRR10539961	GSE140890	mouse	ONT			EXCLUDE	done	1	smartseq2_one_well		sample_identity_only	author_gsm_identity		frozen	excluded: non-transcriptomic library (INSDC LibrarySource=GENOMIC)
scTHREAD_NAR_candidate_20260801	SRR10539962	GSE140890	mouse	ONT			EXCLUDE	done	1	smartseq2_one_well		sample_identity_only	author_gsm_identity		frozen	excluded: non-transcriptomic library (INSDC LibrarySource=GENOMIC)
scTHREAD_NAR_candidate_20260801	SRR10539964	GSE140890	mouse	ONT			EXCLUDE	done	1	smartseq2_one_well		sample_identity_only	author_gsm_identity		frozen	excluded: non-transcriptomic library (INSDC LibrarySource=GENOMIC)
scTHREAD_NAR_candidate_20260801	SRR10539967	GSE140890	mouse	ONT			EXCLUDE	done	1	smartseq2_one_well		sample_identity_only	author_gsm_identity		frozen	excluded: non-transcriptomic library (INSDC LibrarySource=GENOMIC)
scTHREAD_NAR_candidate_20260801	SRR10539968	GSE140890	mouse	ONT			EXCLUDE	done	1	smartseq2_one_well		sample_identity_only	author_gsm_identity		frozen	excluded: non-transcriptomic library (INSDC LibrarySource=GENOMIC)
scTHREAD_NAR_candidate_20260801	SRR10539969	GSE140890	mouse	ONT			EXCLUDE	done	1	smartseq2_one_well		sample_identity_only	author_gsm_identity		frozen	excluded: non-transcriptomic library (INSDC LibrarySource=GENOMIC)
scTHREAD_NAR_candidate_20260801	SRR10539970	GSE140890	mouse	ONT			EXCLUDE	done	1	smartseq2_one_well		sample_identity_only	author_gsm_identity		frozen	excluded: non-transcriptomic library (INSDC LibrarySource=GENOMIC)
scTHREAD_NAR_candidate_20260801	SRR10539971	GSE140890	mouse	ONT			EXCLUDE	done	1	smartseq2_one_well		sample_identity_only	author_gsm_identity		frozen	excluded: non-transcriptomic library (INSDC LibrarySource=GENOMIC)
