srr	gse	manifest_cells	ondisk_barcodes	isoquant_path	status
SRR7173239	GSE114157	1.0		data/isoquant_smartseq2/GSE114157	no_barcode_file
SRR7173240	GSE114157	1.0		data/isoquant_smartseq2/GSE114157	no_barcode_file
SRR7173241	GSE114157	1.0		data/isoquant_smartseq2/GSE114157	no_barcode_file
SRR7173242	GSE114157	1.0		data/isoquant_smartseq2/GSE114157	no_barcode_file
SRR7173246	GSE114157	1.0		data/isoquant_smartseq2/GSE114157	no_barcode_file
SRR9008425	GSE130708	177.0	177.0	data/isoquant/GSE130708/SRR9008425	match
SRR9008427	GSE130708	827.0	827.0	data/isoquant/GSE130708/SRR9008427	match
SRR9008428	GSE130708	896.0	896.0	data/isoquant/GSE130708/SRR9008428	match
SRR9008429	GSE130708	922.0	922.0	data/isoquant/GSE130708/SRR9008429	match
SRR9008431	GSE130708	917.0	917.0	data/isoquant/GSE130708/SRR9008431	match
SRR9008433	GSE130708	905.0	905.0	data/isoquant/GSE130708/SRR9008433	match
SRR14808726	GSE178175	5135.0	5135.0	data/isoquant/GSE178175/SRR14808726	match
SRR14808727	GSE178175	5224.0	5224.0	data/isoquant/GSE178175/SRR14808727	match
SRR14808728	GSE178175	7739.0	7739.0	data/isoquant/GSE178175/SRR14808728	match
SRR14808729	GSE178175	7738.0	7738.0	data/isoquant/GSE178175/SRR14808729	match
SRR14808730	GSE178175	7658.0	7658.0	data/isoquant/GSE178175/SRR14808730	match
SRR14808732	GSE178175	7745.0	7745.0	data/isoquant/GSE178175/SRR14808732	match
SRR14808733	GSE178175	7692.0	7692.0	data/isoquant/GSE178175/SRR14808733	match
SRR14808735	GSE178175	7639.0	7639.0	data/isoquant/GSE178175/SRR14808735	match
SRR14808736	GSE178175	5851.0	5851.0	data/isoquant/GSE178175/SRR14808736	match
SRR14808737	GSE178175	3881.0	3881.0	data/isoquant/GSE178175/SRR14808737	match
SRR14808738	GSE178175	4719.0	4719.0	data/isoquant/GSE178175/SRR14808738	match
SRR14808739	GSE178175	4243.0	4243.0	data/isoquant/GSE178175/SRR14808739	match
SRR14808740	GSE178175	6239.0	6239.0	data/isoquant/GSE178175/SRR14808740	match
SRR14808741	GSE178175	4078.0	4078.0	data/isoquant/GSE178175/SRR14808741	match
SRR14808743	GSE178175	7770.0	7770.0	data/isoquant/GSE178175/SRR14808743	match
SRR14808744	GSE178175	678.0	678.0	data/isoquant/GSE178175/SRR14808744	match
SRR14808745	GSE178175	7879.0	7879.0	data/isoquant/GSE178175/SRR14808745	match
SRR14808746	GSE178175	7050.0	7050.0	data/isoquant/GSE178175/SRR14808746	match
SRR14808747	GSE178175	1153.0	1153.0	data/isoquant/GSE178175/SRR14808747	match
SRR17074937	GSE178175	6016.0	6016.0	data/isoquant/GSE178175/SRR17074937	match
SRR17074938	GSE178175	5117.0	5117.0	data/isoquant/GSE178175/SRR17074938	match
SRR16248566	GSE185554	1.0		data/isoquant_smartseq2/GSE185554	no_barcode_file
SRR16248568	GSE185554	1.0		data/isoquant_smartseq2/GSE185554	no_barcode_file
SRR16248569	GSE185554	1.0		data/isoquant_smartseq2/GSE185554	no_barcode_file
SRR16248570	GSE185554	1.0		data/isoquant_smartseq2/GSE185554	no_barcode_file
SRR16248571	GSE185554	1.0		data/isoquant_smartseq2/GSE185554	no_barcode_file
SRR16248573	GSE185554	1.0		data/isoquant_smartseq2/GSE185554	no_barcode_file
SRR16248574	GSE185554	1.0		data/isoquant_smartseq2/GSE185554	no_barcode_file
SRR16248575	GSE185554	1.0		data/isoquant_smartseq2/GSE185554	no_barcode_file
SRR16248576	GSE185554	1.0		data/isoquant_smartseq2/GSE185554	no_barcode_file
SRR16248577	GSE185554	1.0		data/isoquant_smartseq2/GSE185554	no_barcode_file
SRR16248578	GSE185554	1.0		data/isoquant_smartseq2/GSE185554	no_barcode_file
SRR16248579	GSE185554	1.0		data/isoquant_smartseq2/GSE185554	no_barcode_file
SRR16248581	GSE185554	1.0		data/isoquant_smartseq2/GSE185554	no_barcode_file
SRR16248582	GSE185554	1.0		data/isoquant_smartseq2/GSE185554	no_barcode_file
SRR16248583	GSE185554	1.0		data/isoquant_smartseq2/GSE185554	no_barcode_file
SRR16248584	GSE185554	1.0		data/isoquant_smartseq2/GSE185554	no_barcode_file
SRR16248585	GSE185554	1.0		data/isoquant_smartseq2/GSE185554	no_barcode_file
SRR16248586	GSE185554	1.0		data/isoquant_smartseq2/GSE185554	no_barcode_file
SRR16248587	GSE185554	1.0		data/isoquant_smartseq2/GSE185554	no_barcode_file
SRR16248588	GSE185554	1.0		data/isoquant_smartseq2/GSE185554	no_barcode_file
SRR16248589	GSE185554	1.0		data/isoquant_smartseq2/GSE185554	no_barcode_file
SRR16248590	GSE185554	1.0		data/isoquant_smartseq2/GSE185554	no_barcode_file
SRR16248591	GSE185554	1.0		data/isoquant_smartseq2/GSE185554	no_barcode_file
SRR16248592	GSE185554	1.0		data/isoquant_smartseq2/GSE185554	no_barcode_file
SRR16248593	GSE185554	1.0		data/isoquant_smartseq2/GSE185554	no_barcode_file
SRR16248594	GSE185554	1.0		data/isoquant_smartseq2/GSE185554	no_barcode_file
SRR16248595	GSE185554	1.0		data/isoquant_smartseq2/GSE185554	no_barcode_file
SRR16248596	GSE185554	1.0		data/isoquant_smartseq2/GSE185554	no_barcode_file
SRR16248597	GSE185554	1.0		data/isoquant_smartseq2/GSE185554	no_barcode_file
SRR16248598	GSE185554	1.0		data/isoquant_smartseq2/GSE185554	no_barcode_file
SRR16248599	GSE185554	1.0		data/isoquant_smartseq2/GSE185554	no_barcode_file
SRR16248601	GSE185554	1.0		data/isoquant_smartseq2/GSE185554	no_barcode_file
SRR16248602	GSE185554	1.0		data/isoquant_smartseq2/GSE185554	no_barcode_file
SRR16248603	GSE185554	1.0		data/isoquant_smartseq2/GSE185554	no_barcode_file
SRR16248606	GSE185554	1.0		data/isoquant_smartseq2/GSE185554	no_barcode_file
SRR16248607	GSE185554	1.0		data/isoquant_smartseq2/GSE185554	no_barcode_file
SRR16248608	GSE185554	1.0		data/isoquant_smartseq2/GSE185554	no_barcode_file
SRR16248609	GSE185554	1.0		data/isoquant_smartseq2/GSE185554	no_barcode_file
SRR16248610	GSE185554	1.0		data/isoquant_smartseq2/GSE185554	no_barcode_file
SRR16248611	GSE185554	1.0		data/isoquant_smartseq2/GSE185554	no_barcode_file
SRR16248612	GSE185554	1.0		data/isoquant_smartseq2/GSE185554	no_barcode_file
SRR16248613	GSE185554	1.0		data/isoquant_smartseq2/GSE185554	no_barcode_file
SRR21492154	GSE212945	6603.0	6603.0	data/isoquant/GSE212945/SRR21492154	match
SRR21492155	GSE212945	8429.0	8429.0	data/isoquant/GSE212945/SRR21492155	match
SRR21492156	GSE212945	3690.0	3690.0	data/isoquant/GSE212945/SRR21492156	match
SRR21492157	GSE212945	3587.0	3587.0	data/isoquant/GSE212945/SRR21492157	match
SRR34318914	GSE212945	3672.0	3672.0	data/isoquant/GSE212945/SRR34318914	match
SRR21714350	GSE214231	0.0	5246.0	data/isoquant_pacbio/GSE214231/SRR21714350	mismatch
SRR21714351	GSE214231	0.0	5344.0	data/isoquant_pacbio/GSE214231/SRR21714351	mismatch
SRR21714352	GSE214231	0.0	4551.0	data/isoquant_pacbio/GSE214231/SRR21714352	mismatch
SRR21714353	GSE214231	0.0	4498.0	data/isoquant_pacbio/GSE214231/SRR21714353	mismatch
SRR21714354	GSE214231	0.0	1181.0	data/isoquant_pacbio/GSE214231/SRR21714354	mismatch
SRR21714355	GSE214231	0.0	2926.0	data/isoquant_pacbio/GSE214231/SRR21714355	mismatch
SRR23271781	GSE224045	8756.0	8756.0	data/isoquant/GSE224045/SRR23271781	match
SRR26865982	GSE248118	2331.0	2331.0	data/isoquant/GSE248118/SRR26865982	match
SRR27237241	GSE250381	17.0	9449.0	data/isoquant_pacbio/GSE250381/SRR27237241	mismatch
SRR27237242	GSE250381	88.0	8950.0	data/isoquant_pacbio/GSE250381/SRR27237242	mismatch
SRR27237243	GSE250381	87.0	14868.0	data/isoquant_pacbio/GSE250381/SRR27237243	mismatch
SRR27237244	GSE250381	51.0	20063.0	data/isoquant_pacbio/GSE250381/SRR27237244	mismatch
SRR27405402	GSE252344	45.0	24669.0	data/isoquant_pacbio/GSE252344/SRR27405402	mismatch
SRR27406895	GSE252416	0.0	16506.0	data/isoquant_pacbio/GSE252416/SRR27406895	mismatch
SRR27935476	GSE255520	2396.0		data/isoquant/GSE255520/Ms_Retina	no_barcode_file
SRR27935477	GSE255520	6398.0		data/isoquant/GSE255520/Ms_RGC	no_barcode_file
SRR27935479	GSE255520	2895.0		data/isoquant/GSE255520/Ms_WT_P40	no_barcode_file
SRR30166096	GSE274249	8736.0	8736.0	data/isoquant/GSE274249/SRR30166096	match
SRR30166097	GSE274249	8776.0	8776.0	data/isoquant/GSE274249/SRR30166097	match
SRR30166098	GSE274249	8730.0	8730.0	data/isoquant/GSE274249/SRR30166098	match
SRR30166099	GSE274249	8731.0	8731.0	data/isoquant/GSE274249/SRR30166099	match
SRR30209150	GSE274527	1.0		data/isoquant_smartseq2/GSE274527	no_barcode_file
SRR30209151	GSE274527	1.0		data/isoquant_smartseq2/GSE274527	no_barcode_file
SRR30209152	GSE274527	1.0		data/isoquant_smartseq2/GSE274527	no_barcode_file
SRR30209153	GSE274527	1.0		data/isoquant_smartseq2/GSE274527	no_barcode_file
SRR30209154	GSE274527	1.0		data/isoquant_smartseq2/GSE274527	no_barcode_file
SRR30209155	GSE274527	1.0		data/isoquant_smartseq2/GSE274527	no_barcode_file
SRR30209156	GSE274527	1.0		data/isoquant_smartseq2/GSE274527	no_barcode_file
SRR30209158	GSE274527	1.0		data/isoquant_smartseq2/GSE274527	no_barcode_file
SRR30209159	GSE274527	1.0		data/isoquant_smartseq2/GSE274527	no_barcode_file
SRR30209160	GSE274527	1.0		data/isoquant_smartseq2/GSE274527	no_barcode_file
SRR30209162	GSE274527	1.0		data/isoquant_smartseq2/GSE274527	no_barcode_file
SRR30209163	GSE274527	1.0		data/isoquant_smartseq2/GSE274527	no_barcode_file
SRR30209164	GSE274527	1.0		data/isoquant_smartseq2/GSE274527	no_barcode_file
SRR30209165	GSE274527	1.0		data/isoquant_smartseq2/GSE274527	no_barcode_file
SRR30209166	GSE274527	1.0		data/isoquant_smartseq2/GSE274527	no_barcode_file
SRR30209167	GSE274527	1.0		data/isoquant_smartseq2/GSE274527	no_barcode_file
SRR30209169	GSE274527	1.0		data/isoquant_smartseq2/GSE274527	no_barcode_file
SRR30209170	GSE274527	1.0		data/isoquant_smartseq2/GSE274527	no_barcode_file
SRR30209171	GSE274527	1.0		data/isoquant_smartseq2/GSE274527	no_barcode_file
SRR30209172	GSE274527	1.0		data/isoquant_smartseq2/GSE274527	no_barcode_file
SRR30209173	GSE274527	1.0		data/isoquant_smartseq2/GSE274527	no_barcode_file
SRR30209174	GSE274527	1.0		data/isoquant_smartseq2/GSE274527	no_barcode_file
SRR30209175	GSE274527	1.0		data/isoquant_smartseq2/GSE274527	no_barcode_file
SRR30209176	GSE274527	1.0		data/isoquant_smartseq2/GSE274527	no_barcode_file
SRR30639543	GSE276974	9352.0		data/isoquant/GSE276974/ONT10X2_20	no_barcode_file
SRR30639544	GSE276974	9684.0		data/isoquant/GSE276974/ONT10X2_19	no_barcode_file
SRR30639545	GSE276974	10232.0	10232.0	data/isoquant/GSE276974/SRR30639545	match
SRR30639546	GSE276974	8545.0		data/isoquant/GSE276974/ONT10X2_10	no_barcode_file
SRR30639548	GSE276974	11620.0	11620.0	data/isoquant/GSE276974/SRR30639548	match
