symbol	top_celltype	n_paths	max_studies	tot_mol	mean_spec
UBAC1	Erythroid	5	5	3092.0	0.7874
COL1A1	Fibroblast	101	4	53028.0	0.8527326732673268
PSAP	Monocyte/Myeloid	47	4	50989.0	0.7430425531914894
CSTA	Monocyte/Myeloid	13	4	35678.0	0.8314615384615384
CLU	Fibroblast	18	4	27634.0	0.7673333333333333
VCAN	Monocyte/Myeloid	24	4	18820.0	0.9186666666666667
CA2	Erythroid	14	4	18759.0	0.819
SLC25A37	Erythroid	19	4	13203.0	0.8173157894736842
SNCA	Erythroid	16	4	12294.0	0.8944375
TCEAL4	Fibroblast	16	4	9803.0	0.750625
TFRC	Erythroid	5	4	7222.0	0.727
CD302	Monocyte/Myeloid	9	4	7039.0	0.7611111111111111
FCGRT	Monocyte/Myeloid	14	4	6547.0	0.7897142857142857
SGK1	Fibroblast	7	4	5291.0	0.7501428571428572
YWHAZ	Fibroblast	5	4	3097.0	0.8366
DAB2	Fibroblast	1	4	2970.0	0.842
FOS	Monocyte/Myeloid	1	4	2763.0	0.72
TCEAL3	Fibroblast	3	4	2387.0	0.7133333333333333
CPVL	Monocyte/Myeloid	3	4	2229.0	0.7723333333333334
CD59	Fibroblast	5	4	2156.0	0.7916000000000001
SULT1A1	Monocyte/Myeloid	6	4	2050.0	0.7916666666666666
DERL3	Malignant plasma cell	2	4	1883.0	0.753
IGFBP7	Fibroblast	4	4	1577.0	0.74475
MINPP1	Erythroid	3	4	1548.0	0.7280000000000001
KRT18	Fibroblast	3	4	1469.0	0.7343333333333333
RAB31	Monocyte/Myeloid	3	4	1415.0	0.762
RFESD	Erythroid	2	4	1375.0	0.9445
LTA4H	Monocyte/Myeloid	2	4	1004.0	0.7104999999999999
UBE2D1	Monocyte/Myeloid	3	4	870.0	0.7043333333333334
NPC2	Monocyte/Myeloid	2	4	853.0	0.7095
SAT1	Monocyte/Myeloid	3	4	820.0	0.723
VIM	Monocyte/Myeloid	2	4	766.0	0.745
RNF130	Monocyte/Myeloid	2	4	525.0	0.8385
RALGPS2-AS1	B cell	2	4	518.0	0.7215
CTSH	Monocyte/Myeloid	2	4	512.0	0.725
PRDX5	Fibroblast	2	4	501.0	0.7585
PPP1R14B-AS1	Fibroblast	2	4	471.0	0.7415
LIMA1	Fibroblast	1	4	435.0	0.71
SLC2A1	Erythroid	1	4	250.0	0.72
TLCD4	Erythroid	1	4	244.0	0.861
MFSD1	Monocyte/Myeloid	1	4	230.0	0.748
DSC2	Monocyte/Myeloid	1	4	219.0	0.721
MGP	Fibroblast	52	3	147614.0	0.787826923076923
CTSS	Monocyte/Myeloid	16	3	24073.0	0.8653125
CFD	Monocyte/Myeloid	2	3	9753.0	0.8374999999999999
IGFL2-AS1	Fibroblast	1	3	7535.0	0.926
TPM2	Fibroblast	5	3	7189.0	0.7215999999999999
SERPINA1	Monocyte/Myeloid	6	3	6814.0	0.9473333333333334
TPM1	Fibroblast	5	3	6672.0	0.7548
HLA-DPA1	Monocyte/Myeloid	1	3	4564.0	0.766
ADIRF	Fibroblast	5	3	4230.0	0.7167999999999999
LYZ	Monocyte/Myeloid	1	3	3975.0	0.758
SERPINE1	Fibroblast	6	3	3846.0	0.7708333333333334
REL	Fibroblast	1	3	3610.0	0.829
DUSP6	Monocyte/Myeloid	5	3	3001.0	0.8193999999999999
CNTNAP2	Neural progenitor	2	3	2261.0	0.782
AIF1	Monocyte/Myeloid	1	3	1733.0	0.908
DKK1	Fibroblast	2	3	1667.0	0.759
TNFSF10	Monocyte/Myeloid	2	3	1471.0	0.764
ENC1	Excitatory neuron	4	3	1436.0	0.8385
TNFRSF11B	Fibroblast	3	3	1326.0	0.75
NECTIN3-AS1	Neural progenitor	1	3	1159.0	0.705
HRH2	Monocyte/Myeloid	1	3	1113.0	0.743
SLC25A21	Erythroid	1	3	976.0	0.714
THBS1	Fibroblast	1	3	973.0	0.777
CD83	B cell	1	3	849.0	0.724
FRMD6	Fibroblast	2	3	821.0	0.757
NCF2	Monocyte/Myeloid	1	3	792.0	0.955
EPB41L3	Monocyte/Myeloid	1	3	763.0	0.903
CFB	Fibroblast	1	3	693.0	0.906
DOCK8	Monocyte/Myeloid	1	3	669.0	0.795
COL1A2	Fibroblast	1	3	515.0	0.858
FPR1	Monocyte/Myeloid	1	3	514.0	0.965
PRDX2	Erythroid	2	3	485.0	0.7669999999999999
MT2A	Fibroblast	1	3	463.0	0.728
SERP1	Monocyte/Myeloid	1	3	451.0	0.71
RGS2	Monocyte/Myeloid	1	3	442.0	0.74
CST3	Monocyte/Myeloid	1	3	409.0	0.724
HIP1	Fibroblast	1	3	368.0	0.731
GCA	Monocyte/Myeloid	1	3	329.0	0.842
IRAK3	Monocyte/Myeloid	1	3	302.0	0.831
GLIPR2	Monocyte/Myeloid	1	3	301.0	0.704
APPL2	Fibroblast	1	3	288.0	0.722
ARPC5	Monocyte/Myeloid	1	3	262.0	0.767
TXN	Fibroblast	1	3	261.0	0.713
ANXA2	Fibroblast	1	3	255.0	0.71
PTGS2	Monocyte/Myeloid	1	3	246.0	0.789
CALD1	Fibroblast	1	3	245.0	0.714
IFI30	Monocyte/Myeloid	1	3	234.0	0.859
CPPED1	Monocyte/Myeloid	1	3	218.0	0.757
ENSG00000260877	Fibroblast	1	3	214.0	0.72
TLR5	Monocyte/Myeloid	1	3	214.0	0.771
DPYD	Monocyte/Myeloid	1	3	210.0	0.724
TREM1	Monocyte/Myeloid	1	3	207.0	0.947
RALGPS2	B cell	1	3	201.0	0.771
