gene_id	path_id	cls	tot_mol	tot_cells	n_celltypes	n_studies	n_runs	species	top_ct_mol	top_celltype	top_ct_frac	symbol
ENSG00000130560	SCLONG:RAWPATH:25b28039c5d914a54ae89b7b	NNC	862.0	735.0	16	5	22	human	620.0	Erythroid	0.719	UBAC1
ENSG00000121552	SCLONG:RAWPATH:01bb9fb00b96fdc32ce5a60d	NNC	14282.0	4916.0	20	4	16	human	11779.0	Monocyte/Myeloid	0.825	CSTA
ENSG00000121552	SCLONG:RAWPATH:1742dc0903b7135d29596e5e	NNC	13763.0	4612.0	17	4	16	human	12435.0	Monocyte/Myeloid	0.904	CSTA
ENSG00000120885	SCLONG:RAWPATH:ce67dce3ffdb294e33e57fea	NNC	12039.0	7351.0	26	4	11	human	9275.0	Fibroblast	0.77	CLU
ENSG00000104267	SCLONG:RAWPATH:f65aa2b93e6afcdd183b27fe	NNC	7543.0	2876.0	20	4	23	human	6314.0	Erythroid	0.837	CA2
ENSG00000072274	SCLONG:RAWPATH:9979a52d71ea03baa05584bf	NNC	5116.0	2410.0	27	4	23	human	3734.0	Erythroid	0.73	TFRC
ENSG00000197746	SCLONG:RAWPATH:6a512f561091d74d31d0e706	NNC	3599.0	2497.0	24	4	15	human	2646.0	Monocyte/Myeloid	0.735	PSAP
ENSG00000145335	SCLONG:RAWPATH:a579dd29a7e1e012c5dcd771	NNC	3489.0	1887.0	20	4	22	human	3233.0	Erythroid	0.927	SNCA
ENSG00000197746	SCLONG:RAWPATH:65aeb7f3e345eea049d59a29	NNC	3431.0	2410.0	27	4	15	human	2428.0	Monocyte/Myeloid	0.708	PSAP
ENSG00000197746	SCLONG:RAWPATH:1fd4ed0e3a96553f17f70674	NNC	3328.0	2283.0	27	4	15	human	2526.0	Monocyte/Myeloid	0.759	PSAP
ENSG00000197746	SCLONG:RAWPATH:6425be2af9da646843cf09d9	NNC	3013.0	2099.0	25	4	15	human	2259.0	Monocyte/Myeloid	0.75	PSAP
ENSG00000153071	SCLONG:RAWPATH:a6809bb4c7f6bb42dff3cc1d	NNC	2970.0	2513.0	15	4	8	human	2502.0	Fibroblast	0.842	DAB2
ENSG00000197746	SCLONG:RAWPATH:ac26095ff56546f43f887d67	NNC	2937.0	2077.0	26	4	14	human	2190.0	Monocyte/Myeloid	0.746	PSAP
ENSG00000108821	SCLONG:RAWPATH:32d2c3ada9b4c48b8524f1a3	NNC	2906.0	2596.0	10	4	8	human	2452.0	Fibroblast	0.844	COL1A1
ENSG00000170345	SCLONG:RAWPATH:49ec5ce6fad36027543a5e20	NNC	2763.0	1666.0	24	4	16	human	1990.0	Monocyte/Myeloid	0.72	FOS
ENSG00000147454	SCLONG:RAWPATH:936bb2fd8952470a70c4eb7a	NNC	2638.0	1892.0	23	4	22	human	1928.0	Erythroid	0.731	SLC25A37
ENSG00000197746	SCLONG:RAWPATH:4897efaa87ce6da5eead7a00	NNC	2603.0	1925.0	24	4	15	human	1931.0	Monocyte/Myeloid	0.742	PSAP
ENSG00000133142	SCLONG:RAWPATH:459fe5d113a8fb05db587ed6	NNC	2544.0	2268.0	16	4	7	human	1967.0	Fibroblast	0.773	TCEAL4
ENSG00000108821	SCLONG:RAWPATH:3d3ea8ffe145d6cee7d26bb7	NNC	2400.0	2203.0	12	4	8	human	1852.0	Fibroblast	0.772	COL1A1
ENSG00000197746	SCLONG:RAWPATH:7df907e13bd0d4f49e6c2d12	NNC	2391.0	1781.0	28	4	14	human	1783.0	Monocyte/Myeloid	0.746	PSAP
ENSG00000038427	SCLONG:RAWPATH:7a2a0e9e9ad897f5206af0ce	NNC	2246.0	1525.0	18	4	16	human	2063.0	Monocyte/Myeloid	0.919	VCAN
ENSG00000197746	SCLONG:RAWPATH:089f65b516d50cdeb5dfd9d8	NNC	2244.0	1680.0	25	4	14	human	1673.0	Monocyte/Myeloid	0.746	PSAP
ENSG00000197746	SCLONG:RAWPATH:0b9e357a06b745134eb1c0c5	NNC	2161.0	1651.0	23	4	13	human	1581.0	Monocyte/Myeloid	0.732	PSAP
ENSG00000241399	SCLONG:RAWPATH:a77795d9e018943383ab62c2	NNC	2040.0	1668.0	22	4	16	human	1543.0	Monocyte/Myeloid	0.756	CD302
ENSG00000147454	SCLONG:RAWPATH:de5cda6c8dfe10068a24d4f2	NNC	1987.0	1465.0	24	4	22	human	1494.0	Erythroid	0.752	SLC25A37
ENSG00000197746	SCLONG:RAWPATH:9e8bf98105774676d608f146	NNC	1923.0	1506.0	22	4	15	human	1438.0	Monocyte/Myeloid	0.748	PSAP
