release_candidate	srr	gse	species	platform	isoquant_cells	isoquant_transcripts_documented	isoquant_transcripts_registry	gene_counts_available	gene_counts_bytes	transcript_counts_available	transcript_counts_bytes	read_assignments_available	read_assignments_bytes	transcript_models_available	transcript_models_bytes	extended_annotation_available	extended_annotation_bytes	discovered_transcript_counts_available	discovered_transcript_counts_bytes	diu_available	diu_bytes	apa_available	apa_bytes	junction_available	junction_bytes	ase_available	ase_bytes	file_contract_status
scTHREAD_NAR_release_20260803	CT	GSA_mouse_testis_11week	mouse	ONT	23549	True	36273	True	836123	True	3038174	True	936283068	True	315	True	315	True	0	True	770004	True	3624349	True	25329992	True	317844	isoquant_core_complete
scTHREAD_NAR_release_20260803	MTECTRSCRNAONTR2	GSA_mouse_testis_11week	mouse	ONT	16036	True	36123	True	836646	True	3037640	True	869079552	True	385	True	385	True	0	True	818238	True	3567112	True	19984694	True	289891	isoquant_core_complete
scTHREAD_NAR_release_20260803	SRR7173239	GSE114157	mouse	ONT	1	False		False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	membership_only
scTHREAD_NAR_release_20260803	SRR7173240	GSE114157	mouse	ONT	1	False		False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	membership_only
scTHREAD_NAR_release_20260803	SRR7173241	GSE114157	mouse	ONT	1	False		False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	membership_only
scTHREAD_NAR_release_20260803	SRR7173242	GSE114157	mouse	ONT	1	False		False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	membership_only
scTHREAD_NAR_release_20260803	SRR7173246	GSE114157	mouse	ONT	1	False		False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	membership_only
scTHREAD_NAR_release_20260803	SRR9008425	GSE130708	mouse	ONT	177	True	17848	True	823529	True	3024425	True	62191114	True	153899402	True	777966821	True	875956	True	449237	False	0	False	0	False	0	isoquant_core_complete
scTHREAD_NAR_release_20260803	SRR9008427	GSE130708	mouse	ONT	827	True	16782	True	820503	True	3021398	True	44419444	True	154920318	True	772481204	True	668315	True	434130	False	0	False	0	False	0	isoquant_core_complete
scTHREAD_NAR_release_20260803	SRR9008428	GSE130708	mouse	ONT	896	True	20869	True	823655	True	3024109	True	77802458	True	159614230	True	769954835	True	725274	True	558016	True	1565630	True	9467524	True	446681	isoquant_core_complete
scTHREAD_NAR_release_20260803	SRR9008429	GSE130708	mouse	ONT	922	True	22375	True	824797	True	3025670	True	87907324	True	169656156	True	773156134	True	810746	True	608308	True	1680066	True	11514808	True	455362	isoquant_core_complete
