release	srr	gse	species	platform	ena_assay	biology_group	description	pipeline	isoquant_status	isoquant_cells	isoquant_cells_method	isoquant_transcripts	annotation_status	annotation_method	metadata_resolution
scTHREAD_NAR_release_20260803	CT	GSA_mouse_testis_11week	mouse	ONT	scONT	Tissue atlas	Adult mouse testis long-read transcriptomes		done	23549	wf_tagged_barcodes	36273	annotated	computational_v2	
scTHREAD_NAR_release_20260803	MTECTRSCRNAONTR2	GSA_mouse_testis_11week	mouse	ONT	scONT	Tissue atlas	Adult mouse testis long-read transcriptomes		done	16036	wf_tagged_barcodes	36123	annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR7173239	GSE114157	mouse	ONT	bulk-longread	Inner ear	Single-cell Nanopore sequencing of cochlear outer hair cells	EXCLUDE	done	1	smartseq2_one_well		annotated	author_cell_type	
scTHREAD_NAR_release_20260803	SRR7173240	GSE114157	mouse	ONT	bulk-longread	Inner ear	Single-cell Nanopore sequencing of cochlear outer hair cells	EXCLUDE	done	1	smartseq2_one_well		annotated	author_cell_type	
scTHREAD_NAR_release_20260803	SRR7173241	GSE114157	mouse	ONT	bulk-longread	Inner ear	Single-cell Nanopore sequencing of cochlear outer hair cells	EXCLUDE	done	1	smartseq2_one_well		annotated	author_cell_type	
scTHREAD_NAR_release_20260803	SRR7173242	GSE114157	mouse	ONT	bulk-longread	Inner ear	Single-cell Nanopore sequencing of cochlear outer hair cells	EXCLUDE	done	1	smartseq2_one_well		annotated	author_cell_type	
scTHREAD_NAR_release_20260803	SRR7173246	GSE114157	mouse	ONT	bulk-longread	Inner ear	Single-cell Nanopore sequencing of cochlear outer hair cells	EXCLUDE	done	1	smartseq2_one_well		annotated	author_cell_type	
scTHREAD_NAR_release_20260803	SRR9008425	GSE130708	mouse	ONT	scONT	Developmental atlas	Error-corrected Nanopore single-cell transcriptomes from the E18 brain	EXCLUDE	done	177	wf_tagged_barcodes	17848	annotated	author_cell_type	
scTHREAD_NAR_release_20260803	SRR9008427	GSE130708	mouse	ONT	scONT	Developmental atlas	Error-corrected Nanopore single-cell transcriptomes from the E18 brain	EXCLUDE	done	827	wf_tagged_barcodes	16782	annotated	author_cell_type	
scTHREAD_NAR_release_20260803	SRR9008428	GSE130708	mouse	ONT	scONT	Developmental atlas	Error-corrected Nanopore single-cell transcriptomes from the E18 brain	wf-single-cell	done	896	wf_tagged_barcodes	20869	annotated	author_cell_type	
