gse	n_runs	species	platforms	pipeline_cell_sum	cells	cell_count_method	pipeline_method	DIU	APA	F2	ASE	layers_present	n_layers	cells_agree_with_pipeline
GSA_mouse_testis_11week	2	mouse	ONT	39585	39585	T3_pipeline_caller	wf_tagged_barcodes	2	2	2	2	DIU,APA,F2,ASE	4	True
GSE114157	5	mouse	ONT	5	132	T1_author	smartseq2_one_well	0	0	0	0	none	0	False
GSE130708	6	mouse	ONT	4644	1121	T1_author	wf_tagged_barcodes	6	3	3	3	DIU,APA,F2,ASE	4	False
GSE158450	4	mouse	PacBio	18179	11478	T1_author	min_genes>=200	0	0	1	0	F2	1	False
GSE178175	21	human|mouse	ONT|PacBio	121244	121244	T3_pipeline_caller	wf_tagged_barcodes	18	3	3	20	DIU,APA,F2,ASE	4	True
GSE185554	42	mouse	ONT	42	42	SS2_wells	smartseq2_one_well	0	0	0	0	none	0	True
GSE212945	6	human	ONT	30040	30040	T3_pipeline_caller	wf_tagged_barcodes	5	5	5	5	DIU,APA,F2,ASE	4	True
GSE214231	6	human	PacBio	0	31587	T2_starsolo	min_genes>=200	6	0	0	0	DIU	1	False
GSE224045	1	human	ONT	8756	1265	T2_starsolo	wf_tagged_barcodes	1	1	1	1	DIU,APA,F2,ASE	4	False
GSE248118	1	human	ONT	2331	2331	T3_pipeline_caller	wf_tagged_barcodes	1	1	1	1	DIU,APA,F2,ASE	4	True
GSE250381	4	mouse	PacBio	243	243	T3_pipeline_caller	min_genes>=200	0	0	0	0	none	0	True
GSE252344	1	human	PacBio	45	3699	T2_starsolo	min_genes>=200	1	0	0	0	DIU	1	False
GSE252416	1	human	PacBio	0	8621	T2_starsolo	min_genes>=200	1	0	0	0	DIU	1	False
GSE255520	3	mouse	ONT	11689	11689	T3_pipeline_caller	wf_tagged_barcodes	0	0	0	1	ASE	1	True
GSE274249	4	human	ONT	34973	34973	T3_pipeline_caller	wf_tagged_barcodes	4	4	4	4	DIU,APA,F2,ASE	4	True
GSE274527	24	mouse	ONT	24	27	T1_author	smartseq2_one_well	0	0	0	0	none	0	False
GSE276974	15	human	ONT	117300	117300	T3_pipeline_caller	wf_tagged_barcodes	8	9	9	9	DIU,APA,F2,ASE	4	True
GSE283629	4	human	ONT	74540	74540	T3_pipeline_caller	wf_tagged_barcodes	4	4	4	4	DIU,APA,F2,ASE	4	True
GSE283658	4	human	ONT	29138	29138	T3_pipeline_caller	wf_tagged_barcodes	4	3	3	3	DIU,APA,F2,ASE	4	True
GSE288222	12	human	ONT	67992	30682	T1_author	wf_tagged_barcodes	12	12	12	12	DIU,APA,F2,ASE	4	False
GSE289428	3	human	ONT	3	3	T1_author	smartseq2_one_well	0	0	0	0	none	0	True
GSE289790	2	human	ONT	4015	4015	T3_pipeline_caller	wf_tagged_barcodes	2	2	2	2	DIU,APA,F2,ASE	4	True
GSE292324	8	human	PacBio	55507	55507	T3_pipeline_caller	annotation_v2_called	8	0	0	0	DIU	1	True
GSE295352	6	mouse	ONT	22950	22950	T3_pipeline_caller	wf_tagged_barcodes	6	0	0	0	DIU	1	True
GSE295353	6	mouse	ONT	90963	5907	T1_author	wf_tagged_barcodes	2	0	0	0	DIU	1	False
GSE295932	4	human	ONT	21623	21623	T3_pipeline_caller	wf_tagged_barcodes	0	0	0	4	ASE	1	True
GSE301658	1	human	ONT	3831	3356	T1_author	wf_tagged_barcodes	1	1	1	1	DIU,APA,F2,ASE	4	False
GSE303762	2	human	ONT	71800	71800	T3_pipeline_caller	wf_tagged_barcodes	2	2	2	2	DIU,APA,F2,ASE	4	True
GSE307660	19	human	ONT	68407	68407	T3_pipeline_caller	wf_tagged_barcodes	19	16	16	17	DIU,APA,F2,ASE	4	True
GSE309071	212	mouse	ONT	212	212	SS2_wells	smartseq2_one_well	0	0	0	0	none	0	True
GSE314176	3	mouse	PacBio	31224	19610	T1_author	min_genes>=200	3	0	0	0	DIU	1	False
GSE76026	12	mouse	PacBio	12	6	T1_author	smartseq2_one_well	0	0	0	0	none	0	False
OWN_ASE_scONT	6	mouse	ONT	68417	68417	T3_pipeline_caller	wf_tagged_barcodes	6	0	0	0	DIU	1	True
benagen_human_ovary	3	human	ONT	45497	31839	T1_author	wf_tagged_barcodes	2	2	2	2	DIU,APA,F2,ASE	4	False
