srr	gse	species	platform	isoquant_cells	registry_positive_reference_transcripts	transcript_rows_enumerated	observed_run_transcript_detections	registry_recount_delta	registry_recount_match	observed_reference_transcript_detections	observed_isoquant_novel_transcript_detections	observed_other_transcript_detections	transcript_assigned_molecules	transcript_duplicate_headers_skipped	discovered_transcript_rows_enumerated	observed_discovered_run_transcript_detections	observed_discovered_reference_transcript_detections	observed_discovered_isoquant_novel_transcript_detections	observed_discovered_other_transcript_detections	discovered_transcript_assigned_molecules	discovered_duplicate_headers_skipped	gene_rows_enumerated	observed_run_gene_detections	gene_assigned_molecules	gene_duplicate_headers_skipped	transcript_counts_path	discovered_transcript_counts_path	gene_counts_path
CT	GSA_mouse_testis_11week	mouse	ONT	23549	36273	125556	36273	0	True	36273	0	0	9081477.0	0	0	0	0	0	0	0.0	0	33696	21345	14687705.0	0	data/isoquant/GSA_mouse_testis_11week/CT/CT.transcript_counts.tsv	data/isoquant/GSA_mouse_testis_11week/CT/CT.discovered_transcript_counts.tsv	data/isoquant/GSA_mouse_testis_11week/CT/CT.gene_counts.tsv
MTECTRSCRNAONTR2	GSA_mouse_testis_11week	mouse	ONT	16036	36123	125556	36123	0	True	36123	0	0	8518219.0	0	0	0	0	0	0	0.0	0	33696	22181	13736517.0	0	data/isoquant/GSA_mouse_testis_11week/MTECTRSCRNAONTR2/MTECTRSCRNAONTR2.transcript_counts.tsv	data/isoquant/GSA_mouse_testis_11week/MTECTRSCRNAONTR2/MTECTRSCRNAONTR2.discovered_transcript_counts.tsv	data/isoquant/GSA_mouse_testis_11week/MTECTRSCRNAONTR2/MTECTRSCRNAONTR2.gene_counts.tsv
SRR9008425	GSE130708	mouse	ONT	177	17848	125556	17848	0	True	17848	0	0	1608138.0	0	31968	31828	15356	16472	0	1855683.0	0	33696	12309	2774089.0	0	data/isoquant/GSE130708/SRR9008425/SRR9008425/SRR9008425.transcript_counts.tsv	data/isoquant/GSE130708/SRR9008425/SRR9008425/SRR9008425.discovered_transcript_counts.tsv	data/isoquant/GSE130708/SRR9008425/SRR9008425/SRR9008425.gene_counts.tsv
SRR9008427	GSE130708	mouse	ONT	827	16782	125556	16782	0	True	16782	0	0	850143.0	0	25115	24985	15148	9837	0	998202.0	0	33696	11911	1539997.0	0	data/isoquant/GSE130708/SRR9008427/SRR9008427/SRR9008427.transcript_counts.tsv	data/isoquant/GSE130708/SRR9008427/SRR9008427/SRR9008427.discovered_transcript_counts.tsv	data/isoquant/GSE130708/SRR9008427/SRR9008427/SRR9008427.gene_counts.tsv
SRR9008428	GSE130708	mouse	ONT	896	20869	125556	20869	0	True	20869	0	0	1592554.0	0	27399	27268	17651	9617	0	1744414.0	0	33696	13864	2733034.0	0	data/isoquant/GSE130708/SRR9008428/SRR9008428/SRR9008428.transcript_counts.tsv	data/isoquant/GSE130708/SRR9008428/SRR9008428/SRR9008428.discovered_transcript_counts.tsv	data/isoquant/GSE130708/SRR9008428/SRR9008428/SRR9008428.gene_counts.tsv
SRR9008429	GSE130708	mouse	ONT	922	22375	125556	22375	0	True	22375	0	0	1762738.0	0	30333	30203	18387	11816	0	1950518.0	0	33696	14005	3073017.0	0	data/isoquant/GSE130708/SRR9008429/SRR9008429/SRR9008429.transcript_counts.tsv	data/isoquant/GSE130708/SRR9008429/SRR9008429/SRR9008429.discovered_transcript_counts.tsv	data/isoquant/GSE130708/SRR9008429/SRR9008429/SRR9008429.gene_counts.tsv
SRR9008431	GSE130708	mouse	ONT	917	20940	125556	20940	0	True	20940	0	0	1417229.0	0	27177	27042	17473	9569	0	1581313.0	0	33696	13673	2462581.0	0	data/isoquant/GSE130708/SRR9008431/SRR9008431/SRR9008431.transcript_counts.tsv	data/isoquant/GSE130708/SRR9008431/SRR9008431/SRR9008431.discovered_transcript_counts.tsv	data/isoquant/GSE130708/SRR9008431/SRR9008431/SRR9008431.gene_counts.tsv
SRR9008433	GSE130708	mouse	ONT	905	19001	125556	19001	0	True	19001	0	0	1333515.0	0	27017	26919	16070	10849	0	1513731.0	0	33696	13004	2424228.0	0	data/isoquant/GSE130708/SRR9008433/SRR9008433/SRR9008433.transcript_counts.tsv	data/isoquant/GSE130708/SRR9008433/SRR9008433/SRR9008433.discovered_transcript_counts.tsv	data/isoquant/GSE130708/SRR9008433/SRR9008433/SRR9008433.gene_counts.tsv
SRR12699083	GSE158450	mouse	PacBio	7286	37347	125556	37347	0	True	37347	0	0	7581521.0	0	177163	176909	26992	149917	0	9915456.0	0	33696	18570	12389250.0	0	data/isoquant_pacbio/GSE158450/SRR12699083/SRR12699083.transcript_counts.tsv	data/isoquant_pacbio/GSE158450/SRR12699083/SRR12699083.discovered_transcript_counts.tsv	data/isoquant_pacbio/GSE158450/SRR12699083/SRR12699083.gene_counts.tsv
SRR12699084	GSE158450	mouse	PacBio	5273	25993	125556	25993	0	True	25993	0	0	2641907.0	0	121010	120608	20831	99777	0	3538608.0	0	33696	16937	4410299.0	0	data/isoquant_pacbio/GSE158450/SRR12699084/SRR12699084.transcript_counts.tsv	data/isoquant_pacbio/GSE158450/SRR12699084/SRR12699084.discovered_transcript_counts.tsv	data/isoquant_pacbio/GSE158450/SRR12699084/SRR12699084.gene_counts.tsv
