paper	Abstract	Introduction	Materials and methods	Results	Database content	Discussion	Body	References
01_3D_Genome_Browser_2.0_gkaf1109	274	2533				65	2598	25
01_Human_scATAC_Corpus_gkaf1216	198	4385				323	4708	49
02_ATACdb_2.0_gkaf1222	216	4756				870	5626	74
02_Expression_Atlas_2026_gkaf1238	394	3107					3107	54
03_CircleBase_V2_gkaf1266	188	3631				540	4171	56
04_CIRCpedia_v3_gkaf1039	194	121	2055	1384		569	4129	98
04_LnCeVar_2.0_gkaf1009	236	98	316	2478		323	3215	43
05_CircTarget_gkaf1280	138	0	1660	1050		341	3051	61
05_m6AConquer_gkaf1204	210	1194	3113	2030		693	7030	157
06_CisBP-RNA_gkaf1081	177	551		2840		234	3625	42
06_NONCODE_v7.0_gkaf1132	203	0	901	1282		227	2410	43
07_ENSURE_gkaf1062	197	0	1381	764	556	514	3215	61
07_PolyA_DB_v4_gkaf1212	207	0	1819		1679	301	3799	55
08_EVmiRNA2.0_gkaf1054	213	2554				250	2804	32
08_RMPore_gkaf1144	203	0	2242	0	2151	17	4410	93
09_exoRBase_3.0_gkaf1004	180	0	4555			877	5432	39
10_GlycoRNAdb_gkaf1246	207	325	915	340	1131	914	3625	37
scTHREAD (this manuscript)	187	593	2021	2381		591	5586	53
