junction	span	molecules	reads	runs	studies
chr6:-:41936107-41936559	452 bp	32,673	60,200	72	16
chr6:-:41936695-41937235	540 bp	30,098	55,240	72	16
chr6:-:41937394-41940370	2,976 bp	19,190	33,206	71	16
chr6:-:41937394-42048501	111,107 bp	12,291	25,508	66	15
chr6:-:41940585-41941452	867 bp	11,062	17,849	72	16
chr6:-:41940585-42048501	107,916 bp	7,643	14,705	62	15
chr6:-:41936107-41937235	1,128 bp	3,672	7,266	47	12
chr6:-:41992041-42048501	56,460 bp	3,333	7,462	45	11
chr6:-:41992043-42048503	56,460 bp	304	459	8	1
chr6:-:41940654-42048501	107,847 bp	291	593	28	4
chr6:-:42030190-42048501	18,311 bp	261	619	35	9
chr6:-:42011067-42048501	37,434 bp	257	466	27	7
chr6:-:41937394-41941452	4,058 bp	236	370	42	11
chr6:-:41959286-42048501	89,215 bp	224	469	35	8
chr6:-:41940654-41941452	798 bp	128	249	33	9
chr6:+:41936104-41936552	448 bp	111	242	37	12
chr6:+:41936688-41937226	538 bp	106	228	35	12
chr6:-:41937394-41938166	772 bp	105	197	20	5
chr6:-:41936107-42048501	112,394 bp	102	237	18	3
chr6:-:42047407-42048501	1,094 bp	99	239	17	4
chr6:-:41934992-41937260	2,268 bp	85	179	16	6
chr6:-:41992041-42030009	37,968 bp	84	184	24	7
chr6:-:41940585-41959189	18,604 bp	82	181	19	5
chr6:-:42030193-42048504	18,311 bp	79	110	8	1
chr6:-:41934992-41935858	866 bp	63	134	29	11
chr6:-:42004283-42048501	44,218 bp	63	101	19	5
chr6:-:42011070-42048504	37,434 bp	61	80	8	1
chr6:-:42011055-42048501	37,446 bp	60	113	24	6
chr6:-:41940585-41940952	367 bp	59	93	24	9
chr6:-:42021469-42048501	27,032 bp	55	148	19	3
chr6:-:41936688-41937226	538 bp	52	69	21	6
chr6:-:41937394-41959189	21,795 bp	51	94	15	4
chr6:-:42046344-42048501	2,157 bp	51	111	12	2
chr6:-:42011151-42012602	1,451 bp	50	129	25	5
chr6:-:41936808-41937235	427 bp	49	84	19	8
chr6:-:41935449-41935526	77 bp	43	81	19	8
chr6:-:41934992-41940428	5,436 bp	40	102	20	6
chr6:-:42011057-42048503	37,446 bp	40	52	8	1
chr6:-:41935994-41937378	1,384 bp	37	75	17	3
chr6:-:41934989-41937258	2,269 bp	36	61	8	1
chr6:-:41937393-41940369	2,976 bp	36	51	22	9
chr6:-:41936106-41936559	453 bp	34	34	8	1
chr6:-:41934986-41935855	869 bp	32	51	8	1
chr6:-:41935400-41935990	590 bp	32	72	14	4
chr6:-:41937394-41937594	200 bp	32	53	16	4
chr6:-:41940588-41941458	870 bp	32	46	20	9
chr6:-:42011067-42030009	18,942 bp	32	96	14	4
chr6:-:42028769-42030009	1,240 bp	31	83	19	4
chr6:-:42046344-42047272	928 bp	31	72	6	1
