junction	span	molecules	reads	runs	studies
chr1:+:198639137-198639226	89 bp	212,632	537,730	44	6
chr1:+:198639341-198692347	53,006 bp	201,317	518,892	47	8
chr1:+:198704498-198706734	2,236 bp	136,750	362,688	48	9
chr1:+:198703372-198704472	1,100 bp	133,269	356,748	48	9
chr1:+:198706952-198708133	1,181 bp	124,450	326,609	49	9
chr1:+:198708261-198709687	1,426 bp	94,475	225,280	48	9
chr1:+:198734425-198735127	702 bp	72,895	165,418	52	11
chr1:+:198734232-198734328	96 bp	70,240	157,375	51	10
chr1:+:198732556-198734196	1,640 bp	67,864	151,885	50	10
chr1:+:198732390-198732480	90 bp	62,148	139,947	50	10
chr1:+:198731726-198732300	574 bp	60,140	135,143	50	10
chr1:+:198692373-198699564	7,191 bp	59,677	160,041	43	6
chr1:+:198699704-198703298	3,594 bp	58,808	157,031	44	6
chr1:+:198744203-198748109	3,906 bp	53,864	121,517	50	10
chr1:+:198728448-198729137	689 bp	52,366	113,794	50	10
chr1:+:198729171-198731617	2,446 bp	51,287	113,468	50	10
chr1:+:198709824-198712953	3,129 bp	49,575	102,128	47	8
chr1:+:198722476-198728340	5,864 bp	49,057	104,169	49	10
chr1:+:198718302-198722416	4,114 bp	47,872	100,876	49	10
chr1:+:198742367-198744054	1,687 bp	47,043	106,606	50	9
chr1:+:198692373-198696712	4,339 bp	47,013	122,808	34	5
chr1:+:198713072-198716682	3,610 bp	45,365	90,749	47	8
chr1:+:198696909-198699564	2,655 bp	44,955	119,828	34	4
chr1:+:198702530-198703298	768 bp	44,740	117,973	34	5
chr1:+:198742026-198742232	206 bp	43,257	100,438	50	9
chr1:+:198754404-198755906	1,502 bp	42,065	94,383	47	9
chr1:+:198699704-198702387	2,683 bp	41,317	109,199	32	4
chr1:+:198716840-198718094	1,254 bp	40,585	80,155	48	9
chr1:+:198752772-198754269	1,497 bp	39,728	88,472	47	9
chr1:+:198752371-198752594	223 bp	36,808	82,305	47	9
chr1:+:198735252-198741869	6,617 bp	35,088	81,111	49	9
chr1:+:198750626-198752249	1,623 bp	33,587	74,586	47	9
chr1:+:198692373-198703298	10,925 bp	31,884	85,994	48	9
chr1:+:198749549-198750492	943 bp	31,744	69,772	45	7
chr1:+:198748199-198749416	1,217 bp	27,181	58,738	45	7
chr1:+:198729171-198729634	463 bp	1,872	4,015	22	3
chr1:+:198735251-198741866	6,615 bp	1,676	3,025	33	6
chr1:+:198742020-198742225	205 bp	1,639	3,094	32	6
chr1:+:198729765-198731617	1,852 bp	1,561	3,374	20	2
chr1:+:198639334-198692347	53,013 bp	1,518	1,529	35	5
chr1:+:198731462-198731617	155 bp	1,263	2,962	23	2
chr1:+:198713069-198716679	3,610 bp	1,092	2,404	31	6
chr1:+:198709823-198712951	3,128 bp	946	2,183	28	5
chr1:+:198708261-198712953	4,692 bp	900	2,030	26	5
chr1:+:198639341-198653947	14,606 bp	891	1,887	28	5
chr1:+:198692373-198694018	1,645 bp	890	2,131	33	5
chr1:+:198706855-198708133	1,278 bp	886	2,254	22	3
chr1:+:198754404-198755903	1,499 bp	826	1,577	26	4
chr1:+:198734424-198735126	702 bp	803	1,499	28	4
chr1:+:198752766-198754263	1,497 bp	746	1,511	26	4
chr1:+:198750624-198752247	1,623 bp	722	1,444	26	4
chr1:+:198752369-198752592	223 bp	704	1,389	25	4
chr1:+:198699704-198702350	2,646 bp	701	1,810	22	2
chr1:+:198739210-198741869	2,659 bp	680	1,700	27	4
chr1:+:198744200-198748106	3,906 bp	673	1,292	24	4
chr1:+:198749556-198750498	942 bp	672	1,335	21	3
chr1:+:198748197-198749412	1,215 bp	658	1,329	23	4
chr1:+:198708260-198709686	1,426 bp	628	1,372	25	3
chr1:+:198710997-198712953	1,956 bp	543	1,070	23	4
chr1:+:198706949-198708130	1,181 bp	495	1,023	23	3
chr1:+:198696909-198703298	6,389 bp	493	1,371	22	3
chr1:-:198657821-198660623	2,802 bp	403	413	8	5
chr1:+:198694140-198696712	2,572 bp	385	903	21	2
chr1:+:198728445-198729135	690 bp	369	768	23	3
chr1:-:198660706-198666999	6,293 bp	338	344	6	3
chr1:+:198729171-198731370	2,199 bp	316	665	20	2
chr1:+:198708252-198709682	1,430 bp	305	723	23	5
chr1:+:198742374-198744055	1,681 bp	305	654	24	4
chr1:+:198732390-198732478	88 bp	303	636	28	4
chr1:+:198735252-198742232	6,980 bp	297	687	20	2
chr1:+:198703383-198706712	3,329 bp	289	589	24	4
chr1:+:198748199-198750492	2,293 bp	285	584	26	4
chr1:+:198748169-198749416	1,247 bp	252	552	20	2
chr1:+:198699704-198701775	2,071 bp	243	636	25	4
chr1:+:198696906-198699559	2,653 bp	240	503	23	4
chr1:+:198696909-198698913	2,004 bp	238	696	20	2
chr1:+:198734223-198734321	98 bp	234	447	23	3
chr1:+:198639341-198671895	32,554 bp	222	548	24	4
chr1:+:198731720-198732294	574 bp	221	437	23	3
chr1:+:198671996-198692347	20,351 bp	220	545	24	4
chr1:+:198699695-198702377	2,682 bp	214	498	22	4
chr1:+:198735252-198744054	8,802 bp	201	536	19	2
chr1:+:198629966-198639226	9,260 bp	189	446	22	3
chr1:+:198702532-198703300	768 bp	184	401	21	3
chr1:+:198718296-198722406	4,110 bp	181	358	23	3
chr1:+:198729170-198731616	2,446 bp	179	367	22	3
chr1:+:198692373-198702387	10,014 bp	178	437	23	3
chr1:+:198698931-198699564	633 bp	172	485	20	2
chr1:+:198708261-198708563	302 bp	153	371	20	2
chr1:+:198729765-198731370	1,605 bp	148	345	19	2
chr1:+:198735252-198739064	3,812 bp	147	349	20	3
chr1:+:198709797-198712953	3,156 bp	146	317	19	2
chr1:+:198638786-198639226	440 bp	144	336	26	3
chr1:+:198701933-198703298	1,365 bp	140	325	23	4
chr1:+:198729171-198731375	2,204 bp	123	251	20	2
chr1:+:198735252-198741871	6,619 bp	123	128	20	3
chr1:+:198742026-198744054	2,028 bp	114	287	20	2
chr1:+:198735252-198738844	3,592 bp	112	295	20	3
chr1:+:198729765-198731375	1,610 bp	108	229	19	2
chr1:+:198639351-198696699	57,348 bp	105	203	17	2
