chrom	strand	start	end	gid	gname	overlapped	species	assembly
GL456210.1	-	9124	58882	ENSMUSG00000079800	ENSMUSG00000079800	false	mouse	GRCm39
GL456210.1	-	108390	110303	ENSMUSG00000095092	ENSMUSG00000095092	false	mouse	GRCm39
GL456210.1	+	123792	124928	ENSMUSG00000079192	ENSMUSG00000079192	false	mouse	GRCm39
GL456210.1	-	135395	136519	ENSMUSG00000079794	ENSMUSG00000079794	false	mouse	GRCm39
GL456210.1	+	147792	149707	ENSMUSG00000094799	ENSMUSG00000094799	false	mouse	GRCm39
GL456211.1	-	30483	32396	ENSMUSG00000095250	ENSMUSG00000095250	false	mouse	GRCm39
GL456211.1	-	54469	54840	ENSMUSG00000095787	ENSMUSG00000095787	false	mouse	GRCm39
GL456211.1	+	66955	67326	ENSMUSG00000096100	ENSMUSG00000096100	false	mouse	GRCm39
GL456211.1	-	160465	162404	ENSMUSG00000095672	ENSMUSG00000095672	false	mouse	GRCm39
GL456211.1	+	167446	196478	ENSMUSG00000079190	ENSMUSG00000079190	false	mouse	GRCm39
GL456211.1	-	226405	229375	ENSMUSG00000094514	ENSMUSG00000094514	false	mouse	GRCm39
GL456212.1	-	31967	34932	ENSMUSG00000094915	ENSMUSG00000094915	false	mouse	GRCm39
GL456212.1	-	128555	150452	ENSMUSG00000079808	ENSMUSG00000079808	false	mouse	GRCm39
GL456219.1	-	94186	95088	ENSMUSG00000096776	Vmn1r186	false	mouse	GRCm39
GL456219.1	-	149261	150163	ENSMUSG00000096244	ENSMUSG00000096244	false	mouse	GRCm39
GL456221.1	-	17591	30203	ENSMUSG00000079222	ENSMUSG00000079222	false	mouse	GRCm39
GL456221.1	-	30394	32306	ENSMUSG00000094874	ENSMUSG00000094874	false	mouse	GRCm39
GL456221.1	+	32239	47294	ENSMUSG00000095500	ENSMUSG00000095500	false	mouse	GRCm39
GL456221.1	-	46295	46666	ENSMUSG00000095450	ENSMUSG00000095450	false	mouse	GRCm39
GL456221.1	+	58743	59114	ENSMUSG00000094728	ENSMUSG00000094728	false	mouse	GRCm39
GL456221.1	-	111572	163011	ENSMUSG00000062783	Csprs	false	mouse	GRCm39
GL456221.1	+	151235	152734	ENSMUSG00000096808	ENSMUSG00000096808	false	mouse	GRCm39
GL456354.1	+	6366	8939	ENSMUSG00000094741	ENSMUSG00000094741	false	mouse	GRCm39
GL456354.1	-	25923	27230	ENSMUSG00000074720	ENSMUSG00000074720	false	mouse	GRCm39
GL456354.1	-	82993	86051	ENSMUSG00000094337	ENSMUSG00000094337	false	mouse	GRCm39
GL456354.1	-	146926	149659	ENSMUSG00000095570	ENSMUSG00000095570	false	mouse	GRCm39
GL456354.1	+	158543	161339	ENSMUSG00000096728	ENSMUSG00000096728	false	mouse	GRCm39
JH584295.1	-	66	1479	ENSMUSG00000095742	ENSMUSG00000095742	false	mouse	GRCm39
JH584296.1	-	41338	44417	ENSMUSG00000095666	ENSMUSG00000095666	false	mouse	GRCm39
JH584296.1	-	130715	133448	ENSMUSG00000096680	ENSMUSG00000096680	false	mouse	GRCm39
JH584296.1	-	195181	197903	ENSMUSG00000095505	ENSMUSG00000095505	false	mouse	GRCm39
JH584297.1	-	19740	22248	ENSMUSG00000094303	ENSMUSG00000094303	false	mouse	GRCm39
JH584297.1	+	31101	33667	ENSMUSG00000096236	ENSMUSG00000096236	false	mouse	GRCm39
JH584297.1	-	108318	111392	ENSMUSG00000096756	ENSMUSG00000096756	false	mouse	GRCm39
JH584298.1	+	90528	93623	ENSMUSG00000094722	ENSMUSG00000094722	false	mouse	GRCm39
JH584298.1	-	168268	170838	ENSMUSG00000095728	ENSMUSG00000095728	false	mouse	GRCm39
JH584298.1	+	179693	182203	ENSMUSG00000095076	ENSMUSG00000095076	false	mouse	GRCm39
JH584299.1	+	4975	7356	ENSMUSG00000094836	ENSMUSG00000094836	false	mouse	GRCm39
JH584299.1	+	90482	93220	ENSMUSG00000094383	ENSMUSG00000094383	false	mouse	GRCm39
JH584299.1	+	173050	176134	ENSMUSG00000094474	ENSMUSG00000094474	false	mouse	GRCm39
JH584299.1	+	314841	317584	ENSMUSG00000094791	ENSMUSG00000094791	false	mouse	GRCm39
JH584299.1	+	477246	480331	ENSMUSG00000096550	Gm16367	false	mouse	GRCm39
JH584299.1	+	562161	564894	ENSMUSG00000094172	ENSMUSG00000094172	false	mouse	GRCm39
