srr	gse	species	platform	feature_id	model_class	molecules
SRR9008425	GSE130708	mouse	ONT	transcript1002.chr1.nic	NIC	4.0
SRR9008425	GSE130708	mouse	ONT	transcript1003.chr1.nnic	NNC	5.0
SRR9008425	GSE130708	mouse	ONT	transcript1006.chr1.nnic	NNC	6.0
SRR9008425	GSE130708	mouse	ONT	transcript1009.chr1.nic	NIC	4.0
SRR9008425	GSE130708	mouse	ONT	transcript1013.chr1.nic	NIC	13.0
SRR9008425	GSE130708	mouse	ONT	transcript1019.chr1.nic	NIC	7.0
SRR9008425	GSE130708	mouse	ONT	transcript1029.chr1.nic	NIC	4.0
SRR9008425	GSE130708	mouse	ONT	transcript1030.chr1.nnic	NNC	6.0
SRR9008425	GSE130708	mouse	ONT	transcript1033.chr1.nic	NIC	3.0
SRR9008425	GSE130708	mouse	ONT	transcript1039.chr1.nnic	NNC	3.0
SRR9008425	GSE130708	mouse	ONT	transcript104.chr1.nic	NIC	4.0
SRR9008425	GSE130708	mouse	ONT	transcript1041.chr1.nic	NIC	3.0
SRR9008425	GSE130708	mouse	ONT	transcript1044.chr1.nic	NIC	6.0
SRR9008425	GSE130708	mouse	ONT	transcript105.chr1.nnic	NNC	6.0
SRR9008425	GSE130708	mouse	ONT	transcript1052.chr1.nic	NIC	5.0
SRR9008425	GSE130708	mouse	ONT	transcript1053.chr1.nic	NIC	4.0
SRR9008425	GSE130708	mouse	ONT	transcript1055.chr1.nnic	NNC	8.0
SRR9008425	GSE130708	mouse	ONT	transcript1063.chr1.nic	NIC	7.0
SRR9008425	GSE130708	mouse	ONT	transcript1065.chr1.nic	NIC	6.0
SRR9008425	GSE130708	mouse	ONT	transcript1066.chr1.nnic	NNC	3.0
SRR9008425	GSE130708	mouse	ONT	transcript1067.chr1.nnic	NNC	7.0
SRR9008425	GSE130708	mouse	ONT	transcript1068.chr1.nic	NIC	3.0
SRR9008425	GSE130708	mouse	ONT	transcript1069.chr1.nic	NIC	18.0
SRR9008425	GSE130708	mouse	ONT	transcript1070.chr1.nic	NIC	18.0
SRR9008425	GSE130708	mouse	ONT	transcript1072.chr1.nic	NIC	3.0
