run	study	transcript_id	count	is_reference	hc_reference_model	pas_supported	pas_id	terminal_0based	tags	tsl	model_support_class
SRR30639543	GSE276974	ENST00000530727	313.0	True	False	False		198732555	mRNA_end_NF	1	reference_other
SRR30639543	GSE276974	ENST00000442510	392.0	True	True	True	1:198757474:+	198757475	basic	1	reference_hc
SRR30639543	GSE276974	ENST00000367367	213.0	True	False	True	1:198735248:+	198735251	mRNA_end_NF	2	reference_other
SRR30639543	GSE276974	ENST00000367364	1481.0	True	True	False		198693205	basic	1	reference_hc
SRR30639543	GSE276974	ENST00000697630	1285.0	True	False	False		198743044	RNA_Seq_supported_only		reference_other
SRR30639543	GSE276974	ENST00000529828	59.0	True	True	True	1:198735248:+	198735251		1	reference_hc
SRR30639543	GSE276974	ENST00000413409	48.0	True	True	False		198695170	basic	1	reference_hc
SRR30639543	GSE276974	ENST00000462363	130.0	True	True	False		198703873		1	reference_hc
SRR30639543	GSE276974	ENST00000391970	8.0	True	True	False		198703345		1	reference_hc
SRR30639543	GSE276974	ENST00000418674	27.0	True	True	False		198699619	alternative_5_UTR	2	reference_hc
SRR30639543	GSE276974	ENST00000484135	1147.0	True	False	True	1:198700135:+	198700145	mRNA_end_NF	5	reference_other
SRR30639543	GSE276974	ENST00000697634	60.0	True	False	False		198753303	RNA_Seq_supported_only		reference_other
SRR30639544	GSE276974	ENST00000367364	1596.0	True	True	False		198693205	basic	1	reference_hc
SRR30639544	GSE276974	ENST00000530727	320.0	True	False	False		198732555	mRNA_end_NF	1	reference_other
SRR30639544	GSE276974	ENST00000643513	18.0	True	False	False		198706874	mRNA_end_NF		reference_other
SRR30639544	GSE276974	ENST00000442510	428.0	True	True	True	1:198757474:+	198757475	basic	1	reference_hc
SRR30639544	GSE276974	ENST00000462363	86.0	True	True	False		198703873		1	reference_hc
SRR30639544	GSE276974	ENST00000367367	228.0	True	False	True	1:198735248:+	198735251	mRNA_end_NF	2	reference_other
SRR30639544	GSE276974	ENST00000529828	93.0	True	True	True	1:198735248:+	198735251		1	reference_hc
